"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"PERSISTANT HYPERINSULINEMIC HYPOGLYCEMIA OF INFANCY, PHHI",3,2,45.576,14.286,0.054904,1,0.0836
"3-PHOSPHOGLYCERATE DEHYDROGENASE DEFICIENCY",2,2,45.79,14.286,0.054959,1,0.0836
"JUVENILE MYOCLONIC EPILEPSY ",3,2,45.79,14.286,0.054959,1,0.0836
"PHOSPHOSERINE AMINOTRANSFERASE DEFICIENCY - NEW DISORDER?",2,2,45.79,14.286,0.054959,1,0.0836
"POST TRANSURETHRAL PROSTATIC RESECTION ",5,2,45.79,14.286,0.054959,1,0.0836
"PURINE NUCLEOSIDE PHOSPHORYLASE DEFICIENCY ",5,3,42,14.286,0.056087,1,0.084134
"ARGININEMIA. HYPERARGININEMIA, ARGINASE DEFICIENCY",5,3,33.686,14.286,0.056089,1,0.084134
"PYRUVATE DEHYDROGENASE DEFICIENCY (E3)",7,4,39.349,14.286,0.057934,1,0.086302
"HYPERTENSION ",12,4,40.298,14.286,0.060091,1,0.088805
"CARBAMOYL PHOSPHATE SYNTHETASE DEFICIENCY (CPS)",3,2,33.837,14.286,0.060437,1,0.088805
"DELTA-PYRROLIDINE-5-CARBOXYLATE SYNTHASE DEFICIENCY",5,4,28.706,14.286,0.061721,1,0.090079
"GLYCOGENOSIS, TYPE IXA",3,2,43.425,14.286,0.063848,1,0.092559
"GLYCEROL KINASE DEFICIENCY",2,2,42.498,14.286,0.06589,1,0.094298
"TYROSINEMIA I",5,2,42.774,14.286,0.065921,1,0.094298
"HYPERVALINEMIA",1,1,45.43,14.286,0.066809,1,0.094939
"METABOLITES AFFECTED BY GENDER",9,5,33.498,14.286,0.078694,1,0.1111
"FRUCTOSE INTOLERANCE, HEREDITARY",5,3,28.45,14.286,0.081005,1,0.11362
"OROTIC ACIDURIA, HEREDITARY",1,1,40.991,14.286,0.087255,1,0.12159
"CITRULLINEMIA TYPE I",3,2,32.099,14.286,0.090826,1,0.12576
"TRANSALDOLASE DEFICIENCY ",6,1,39.476,14.286,0.095257,1,0.13105
"SMOKER ",7,1,38.544,14.286,0.10046,1,0.13734
"GLUTARIC ACIDURIA II",8,2,34.57,14.286,0.10585,1,0.14379
"N-ACETYLGLUTAMATE SYNTHETASE DEFICIENCY. NAGS DEFICIENCY",5,3,25.808,14.286,0.10722,1,0.14436
"RHABDOMYOLYSIS ",4,3,29.531,14.286,0.1076,1,0.14436
"CIRRHOSIS ",23,6,27.842,14.286,0.11096,1,0.14747
"GLYCEROL INTOLERANCE SYNDROM",3,2,31.806,14.286,0.11129,1,0.14747
"ISOBUTYRYL-COA DEHYDROGENASE DEFICIENCY",2,1,36.592,14.286,0.1121,1,0.14765
"DIMETHYLGLYCINURIA",1,1,36.122,14.286,0.11506,1,0.15062
"METHYLMALONIC ACIDURIA (MMA)",8,4,27.447,14.286,0.11639,1,0.15145
"SHORT-BOWEL SYNDROME (PERMANENT INTESTINAL FAILURE)",2,2,28.71,14.286,0.11834,1,0.15292
"HYPERPROLINEMIA, TYPE II",2,2,28.7,14.286,0.11893,1,0.15292
"MALONYL-COA DECARBOXYLASE DEFICIENCY",3,2,30.971,14.286,0.13809,1,0.16692
"ADENYLOSUCCINASE DEFICIENCY",3,1,32.019,14.286,0.14375,1,0.16692
"FAMILIAL LIPOPROTEIN LIPASE DEFICIENCY",2,1,32.019,14.286,0.14375,1,0.16692
"GLYCOGENOSIS, TYPE VII. TARUI DISEASE",2,1,32.019,14.286,0.14375,1,0.16692
"GOUT | PHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE SUPERACTIVITY",1,1,32.019,14.286,0.14375,1,0.16692
"IMPAIRED GLUCOSE TOLERANCE ",2,1,32.019,14.286,0.14375,1,0.16692
"MOLYBDENIUM CO-FACTOR DEFICIENCY",2,1,32.019,14.286,0.14375,1,0.16692
"21-HYDROXYLASE DEFICIENCY (CYP21)",11,1,31.522,14.286,0.1476,1,0.16692
"3-BETA-HYDROXYSTEROID DEHYDROGENASE DEFICIENCY",9,1,31.522,14.286,0.1476,1,0.16692
"3-METHYL-CROTONYL-GLYCINURIA",4,1,31.522,14.286,0.1476,1,0.16692
"ACTH DEFICIENCY, ISOLATED | ADRENAL HYPOPLASIA. ADDISON DISEASE, X-LINKED",4,1,31.522,14.286,0.1476,1,0.16692
"BECKWITH-WIEDEMANN SYNDROME. EXOMPHALOS-MAKROGLOSSIA-GIGANTISM SYNDROME | EXERCISE-INDUCED-HYPERINSULINSM [EIHI] | HYPOGLYCEMIA, FAMILIAL NEONATAL",2,1,31.522,14.286,0.1476,1,0.16692
"CARNITINE DEFICIENCY, MYOPATHIC",3,1,31.522,14.286,0.1476,1,0.16692
"CARNITINE PALMITOYL TRANSFERASE DEFICIENCY (I)",5,1,31.522,14.286,0.1476,1,0.16692
"DIABETES MELLITUS, INSULIN-DEPENDENT",5,1,31.522,14.286,0.1476,1,0.16692
"DIABETES, FETAL EFFECTS FROM MATERNAL | GLUCAGON DEFICIENCY | GLUT-1 DEFICIENCY SYNDROME | GLYCOGENOSIS, TYPE IV. AMYLOPECTINOSIS, ANDERSON DISEASE | SHORT-CHAIN 3-HYDROXYACYL-COA DEHYDROGENASE DEFICIENCY (SCHAD) | TRIFUNCTIONAL PROTEIN DEFICIENCY | WOLFRAM SYNDROME, DIDMOAD",1,1,31.522,14.286,0.1476,1,0.16692
"FAMILIAL HYPERINSULINEMIA AND HYPERPROINSULINEAMIA WITH MILD DIABETES",3,1,31.522,14.286,0.1476,1,0.16692
"GALACTOSEMIA I",6,1,31.522,14.286,0.1476,1,0.16692
"GLUCOCORTICOID DEFICIENCY, FAMILIAL ISOLATED. MIGEON SYNDROME | HYPOADRENOCORTICISM, FAMILIAL",2,1,31.522,14.286,0.1476,1,0.16692
"KETOTIC HYPOGLYCEMIA",2,1,31.522,14.286,0.1476,1,0.16692
"NEONATAL HEMOCHROMATOSIS",2,1,31.522,14.286,0.1476,1,0.16692
"REYE SYNDROME",2,1,31.522,14.286,0.1476,1,0.16692
"REYE SYNDROME LIKE MANIFESTATIONS",2,1,31.522,14.286,0.1476,1,0.16692
"PEARSON SYNDROM",3,2,26.499,14.286,0.15034,1,0.16913
"CARNITINE TRANSPORTER DEFECT. PRIMARY SYSTEMIC CARNITINE DEFICIENCY",4,2,26.472,14.286,0.16013,1,0.17922
"DIHYDROPYRIMIDINASE DEFICIENCY ",5,2,25.409,14.286,0.16783,1,0.18687
"17-ALPHA-HYDROXYLASE DEFICIENCY (CYP17)",11,1,26.916,14.286,0.1877,1,0.20685
"LIPOID ADRENAL HYPERPLASIA (STAR DEFICIENCY)",8,1,26.916,14.286,0.1877,1,0.20685
"L-ARGININE:GLYCINE AMIDINOTRANSFERASE DEFICIENCY",2,2,21.878,14.286,0.22599,1,0.24779
"RIBOSE-5-PHOSPHATE ISOMERASE DEFICIENCY",6,1,22.807,14.286,0.2314,1,0.25243
"COBALAMIN (AND FOLATE) DEFICIENCY",3,1,20.258,14.286,0.26314,1,0.28277
"METHYLMALONIC ACIDURIA, CBLB TYPE",2,1,20.258,14.286,0.26314,1,0.28277
"MITOCHONDRIAL ENCEPHALOMYOPATHTHY WITH ELEVANTED METHYLMALONIC ACID, SUCLA2",1,1,20.258,14.286,0.26314,1,0.28277
"SEPTIC SHOCK ",2,1,19.91,14.286,0.26778,1,0.28634
"CREATINE DEFICIENCY, GUANIDINOACETATE METHYLTRANSFERASE DEFICIENCY",4,4,19.502,14.286,0.26992,1,0.28673
"BILIARY ATRESIA ",5,1,19.687,14.286,0.2708,1,0.28673
"CARNITINE PALMITOYL TRANSFERASE DEFICIENCY (II)",8,4,18.35,14.286,0.29808,1,0.31407
"NEPHROTIC SYNDROME ",3,1,11.195,14.286,0.41789,1,0.43818
"ISOVALERIC ACIDEMIA",9,4,12.63,14.286,0.50905,1,0.53119
"SARCOSINEMIA",1,1,4.6882,14.286,0.60653,1,0.62986
"ALZHEIMER'S DIESEASE ",2,1,3.378,14.286,0.66307,1,0.68202
"CARNOSINURIA, CARNOSINEMIA",1,1,3.378,14.286,0.66307,1,0.68202
"SHORT/BRANCHED-CHAIN ACYL-COA DEHYDROGENASE DEFICIENCY",3,1,2.8492,14.286,0.68947,1,0.70581
"CITRULLINEMIA TYPE II, ADULT-ONSET",2,1,1.2582,14.286,0.79144,1,0.80259
"NARP SYNDROME",1,1,1.2582,14.286,0.79144,1,0.80259
"HOMOCYSTINURIA, CYSTATHIONINE BETA-SYNTHASE DEFICIENCY",5,1,0.56545,14.286,0.85954,1,0.86757
"X-LINKED CREATINE-TRANSPORTER DEFECT",1,1,0.11068,14.286,0.93767,1,0.94203
"GESTATIONAL DIABETES MELLITUS ",3,2,0.11432,14.286,0.99393,1,0.99393
