"Query","Entrez","Symbol","Name","Comment"
"Itgb2","16414","Itgb2","integrin beta 2","1"
"Hddc2","69692","Hddc2","HD domain containing 2","1"
"Tpd52l1","21987","Tpd52l1","tumor protein D52-like 1","1"
"Pemt","18618","Pemt","phosphatidylethanolamine N-methyltransferase","1"
"Cdh1","12550","Cdh1","cadherin 1","1"
"Cdh4","12561","Cdh4","cadherin 4","1"
"Ckmt1","12716","Ckmt1","creatine kinase, mitochondrial 1, ubiquitous","1"
"Bcl6b","12029","Bcl6b","B cell CLL/lymphoma 6, member B","1"
"Clec10a","17312","Clec10a","C-type lectin domain family 10, member A","1"
"Alox12","11684","Alox12","arachidonate 12-lipoxygenase","1"
"Arvcf","11877","Arvcf","armadillo repeat gene deleted in velo-cardio-facial syndrome","1"
"Comt","12846","Comt","catechol-O-methyltransferase","1"
"Rtca","NA","NA","NA","0"
"Dbt","13171","Dbt","dihydrolipoamide branched chain transacylase E2","1"
"Dazap2","23994","Dazap2","DAZ associated protein 2","1"
"Mcts1","68995","Mcts1","malignant T cell amplified sequence 1","1"
"Rem1","19700","Rem1","rad and gem related GTP binding protein 1","1"
"Rnf17","30054","Rnf17","ring finger protein 17","1"
"Trappc10","216131","Trappc10","trafficking protein particle complex 10","1"
"Ccm2","216527","Ccm2","cerebral cavernous malformation 2 homolog (human)","1"
"Wap","22373","Wap","whey acidic protein","1"
"Tbrg4","21379","Tbrg4","transforming growth factor beta regulated gene 4","1"
"Tmprss2","50528","Tmprss2","transmembrane protease, serine 2","1"
"Mx1","17857","Mx1","myxovirus (influenza virus) resistance 1","1"
"Fap","14089","Fap","fibroblast activation protein","1"
"Gcg","14526","Gcg","glucagon","1"
"Ndufa9","66108","Ndufa9","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9","1"
"Egfl6","54156","Egfl6","EGF-like-domain, multiple 6","1"
"Lck","16818","Lck","lymphocyte protein tyrosine kinase","1"
"Tssk3","58864","Tssk3","testis-specific serine kinase 3","1"
"Cttnbp2","30785","Cttnbp2","cortactin binding protein 2","1"
"Galnt1","14423","Galnt1","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1","1"
"Myf5","17877","Myf5","myogenic factor 5","1"
"Mkrn2","67027","Mkrn2","makorin, ring finger protein, 2","1"
"Pparg","19016","Pparg","peroxisome proliferator activated receptor gamma","1"
"Raf1","110157","Raf1","v-raf-leukemia viral oncogene 1","1"
"1-Sep","NA","NA","NA","0"
"Pdgfb","18591","Pdgfb","platelet derived growth factor, B polypeptide","1"
"Acvrl1","11482","Acvrl1","activin A receptor, type II-like 1","1"
"Grasp","56149","Grasp","GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein","1"
"Acvr1b","11479","Acvr1b","activin A receptor, type 1B","1"
"Tom1l2","216810","Tom1l2","target of myb1-like 2 (chicken)","1"
"Gpa33","59290","Gpa33","glycoprotein A33 (transmembrane)","1"
"Zfp385a","29813","Zfp385a","zinc finger protein 385A","1"
"Itga5","16402","Itga5","integrin alpha 5 (fibronectin receptor alpha)","1"
"Gabra2","14395","Gabra2","gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2","1"
"Wdr77","70465","Wdr77","WD repeat domain 77","1"
"Adora3","11542","Adora3","adenosine A3 receptor","1"
"Atp5f1","11950","Atp5f1","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1","1"
"Sox9","20682","Sox9","SRY-box containing gene 9","1"
"Hnrnpd","11991","Hnrnpd","heterogeneous nuclear ribonucleoprotein D","1"
"Dynlt1c","100040563","Dynlt1c","dynein light chain Tctex-type 1C","1"
"C1d","57316","C1d","C1D nuclear receptor co-repressor","1"
"Gm2a","14667","Gm2a","GM2 ganglioside activator protein","1"
"Krit1","79264","Krit1","KRIT1, ankyrin repeat containing","1"
"Clcn4-2","12727","Clcn4-2","chloride channel 4-2","1"
"Vmn2r88","669149","Vmn2r88","vomeronasal 2, receptor 88","1"
"Grm6","108072","Grm6","glutamate receptor, metabotropic 6","1"
"Sema4f","20355","Sema4f","sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain","1"
"Hk2","15277","Hk2","hexokinase 2","1"
"Myo18a","360013","Myo18a","myosin XVIIIA","1"
"Sez6","20370","Sez6","seizure related gene 6","1"
"Haao","107766","Haao","3-hydroxyanthranilate 3,4-dioxygenase","1"
"Cd52","23833","Cd52","CD52 antigen","1"
"Abhd15","67477","Abhd15","abhydrolase domain containing 15","1"
"Hoxb6","15414","Hoxb6","homeobox B6","1"
"Loxl3","16950","Loxl3","lysyl oxidase-like 3","1"
"Tcl1b5","27382","Tcl1b5","T cell leukemia/lymphoma 1B, 5","1"
"Btn1a1","12231","Btn1a1","butyrophilin, subfamily 1, member A1","1"
"Kat2b","18519","Kat2b","K(lysine) acetyltransferase 2B","1"
"Rab5b","19344","Rab5b","RAB5B, member RAS oncogene family","1"
"Cryba1","12957","Cryba1","crystallin, beta A1","1"
"Dnmt3l","54427","Dnmt3l","DNA (cytosine-5-)-methyltransferase 3-like","1"
"Aire","11634","Aire","autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)","1"
"Icosl","50723","Icosl","icos ligand","1"
"Spg7","234847","Spg7","spastic paraplegia 7 homolog (human)","1"
"Sult5a1","57429","Sult5a1","sulfotransferase family 5A, member 1","1"
"Rpl13","270106","Rpl13","ribosomal protein L13","1"
"Chmp1a","234852","Chmp1a","charged multivesicular body protein 1A","1"
"Rpa1","68275","Rpa1","replication protein A1","1"
"Serpinf1","20317","Serpinf1","serine (or cysteine) peptidase inhibitor, clade F, member 1","1"
"Tubgcp3","259279","Tubgcp3","tubulin, gamma complex associated protein 3","1"
"Oprm1","18390","Oprm1","opioid receptor, mu 1","1"
"Polr3d","67065","Polr3d","polymerase (RNA) III (DNA directed) polypeptide D","1"
"Tcf7","21414","Tcf7","transcription factor 7, T cell specific","1"
"Ddx3x","13205","Ddx3x","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked","1"
"Il12rb1","16161","Il12rb1","interleukin 12 receptor, beta 1","1"
"Slc5a5","114479","Slc5a5","solute carrier family 5 (sodium iodide symporter), member 5","1"
"Kcnn3","140493","Kcnn3","potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3","1"
"Usp32","237898","Usp32","ubiquitin specific peptidase 32","1"
"Car4","12351","Car4","carbonic anhydrase 4","1"
"Txnrd3","232223","Txnrd3","thioredoxin reductase 3","1"
"Fasl","14103","Fasl","Fas ligand (TNF superfamily, member 6)","1"
"Znf512b","269401","Znf512b","zinc finger protein 512B","1"
"Dnajc5","13002","Dnajc5","DnaJ (Hsp40) homolog, subfamily C, member 5","1"
"Tpd52l2","66314","Tpd52l2","tumor protein D52-like 2","1"
"Fmr1","14265","Fmr1","fragile X mental retardation syndrome 1 homolog","1"
"Bcl11a","14025","Bcl11a","B cell CLL/lymphoma 11A (zinc finger protein)","1"
"Il4","16189","Il4","interleukin 4","1"
"Pxmp4","59038","Pxmp4","peroxisomal membrane protein 4","1"
"Dlg3","53310","Dlg3","discs, large homolog 3 (Drosophila)","1"
"Gnb1l","13972","Gnb1l","guanine nucleotide binding protein (G protein), beta polypeptide 1-like","1"
"Dbh","13166","Dbh","dopamine beta hydroxylase","1"
"Mmp11","17385","Mmp11","matrix metallopeptidase 11","1"
"Smarcb1","20587","Smarcb1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","1"
"Vpreb3","22364","Vpreb3","pre-B lymphocyte gene 3","1"
"Hip1r","29816","Hip1r","huntingtin interacting protein 1 related","1"
"Nsun5","100609","Nsun5","NOL1/NOP2/Sun domain family, member 5","1"
"Top1mt","72960","Top1mt","DNA topoisomerase 1, mitochondrial","1"
"Hoxa10","15395","Hoxa10","homeobox A10","1"
"Hoxa4","15401","Hoxa4","homeobox A4","1"
"Gm38393","NA","NA","NA","0"
"Mmp14","17387","Mmp14","matrix metallopeptidase 14 (membrane-inserted)","1"
"Slc7a7","20540","Slc7a7","solute carrier family 7 (cationic amino acid transporter, y+ system), member 7","1"
"Oxa1l","69089","Oxa1l","oxidase assembly 1-like","1"
"Heatr6","217026","Heatr6","HEAT repeat containing 6","1"
"Ccl3","20302","Ccl3","chemokine (C-C motif) ligand 3","1"
"Wfdc18","NA","NA","NA","0"
"Icam4","78369","Icam4","intercellular adhesion molecule 4, Landsteiner-Wiener blood group","1"
"Ilf2","67781","Ilf2","interleukin enhancer binding factor 2","1"
"Chtop","NA","NA","NA","0"
"Snapin","20615","Snapin","SNAP-associated protein","1"
"S100a4","20198","S100a4","S100 calcium binding protein A4","1"
"S100a3","20197","S100a3","S100 calcium binding protein A3","1"
"S100a5","20199","S100a5","S100 calcium binding protein A5","1"
"S100a6","20200","S100a6","S100 calcium binding protein A6 (calcyclin)","1"
"Scn4a","110880","Scn4a","sodium channel, voltage-gated, type IV, alpha","1"
"Icam2","15896","Icam2","intercellular adhesion molecule 2","1"
"Mapk7","23939","Mapk7","mitogen-activated protein kinase 7","1"
"Epn2","13855","Epn2","epsin 2","1"
"B9d1","27078","B9d1","B9 protein domain 1","1"
"Sec24b","99683","Sec24b","Sec24 related gene family, member B (S. cerevisiae)","1"
"N4bp3","212706","N4bp3","NEDD4 binding protein 3","1"
"Rmnd5b","66089","Rmnd5b","required for meiotic nuclear division 5 homolog B (S. cerevisiae)","1"
"Nhp2","52530","Nhp2","NHP2 ribonucleoprotein homolog (yeast)","1"
"Vps9d1","NA","NA","NA","0"
"Zfp276","57247","Zfp276","zinc finger protein (C2H2 type) 276","1"
"C1ql4","239659","C1ql4","complement component 1, q subcomponent-like 4","1"
"Mfsd10","68294","Mfsd10","major facilitator superfamily domain containing 10","1"
"Luzp1","269593","Luzp1","leucine zipper protein 1","1"
"Slc13a2","20500","Slc13a2","solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2","1"
"Kctd10","330171","Kctd10","potassium channel tetramerisation domain containing 10","1"
"Poldip2","67811","Poldip2","polymerase (DNA-directed), delta interacting protein 2","1"
"Sebox","18292","Sebox","SEBOX homeobox","1"
"Ift20","55978","Ift20","intraflagellar transport 20 homolog (Chlamydomonas)","1"
"Col6a1","12833","Col6a1","collagen, type VI, alpha 1","1"
"Pcbp3","59093","Pcbp3","poly(rC) binding protein 3","1"
"Lgals9","16859","Lgals9","lectin, galactose binding, soluble 9","1"
"Araf","11836","Araf","v-raf murine sarcoma 3611 viral oncogene homolog","1"
"Cfp","18636","Cfp","complement factor properdin","1"
"Timp1","21857","Timp1","tissue inhibitor of metalloproteinase 1","1"
"Uxt","22294","Uxt","ubiquitously expressed transcript","1"
"Cnnm3","94218","Cnnm3","cyclin M3","1"
"Lman2l","214895","Lman2l","lectin, mannose-binding 2-like","1"
"Mcm3ap","54387","Mcm3ap","minichromosome maintenance deficient 3 (S. cerevisiae) associated protein","1"
"Pcnt","18541","Pcnt","pericentrin (kendrin)","1"
"Ftcd","14317","Ftcd","formiminotransferase cyclodeaminase","1"
"Mxd1","17119","Mxd1","MAX dimerization protein 1","1"
"Gmcl1","23885","Gmcl1","germ cell-less homolog 1 (Drosophila)","1"
"Snrnp27","66618","Snrnp27","small nuclear ribonucleoprotein 27 (U4/U6.U5)","1"
"Oas1c","114643","Oas1c","2'-5' oligoadenylate synthetase 1C","1"
"Oas1h","246729","Oas1h","2'-5' oligoadenylate synthetase 1H","1"
"Ocrl","320634","Ocrl","oculocerebrorenal syndrome of Lowe","1"
"Calm1","12313","Calm1","calmodulin 1","1"
"Agpat3","28169","Agpat3","1-acylglycerol-3-phosphate O-acyltransferase 3","1"
"Slc26a3","13487","Slc26a3","solute carrier family 26, member 3","1"
"Sema6b","20359","Sema6b","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B","1"
"Uhrf1","18140","Uhrf1","ubiquitin-like, containing PHD and RING finger domains, 1","1"
"Dpp9","224897","Dpp9","dipeptidylpeptidase 9","1"
"Ramp2","54409","Ramp2","receptor (calcitonin) activity modifying protein 2","1"
"Lsr","54135","Lsr","lipolysis stimulated lipoprotein receptor","1"
"Gramd1a","52857","Gramd1a","GRAM domain containing 1A","1"
"Hpn","15451","Hpn","hepsin","1"
"Gabrg1","14405","Gabrg1","gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1","1"
"Ckb","12709","Ckb","creatine kinase, brain","1"
"Sp1","20683","Sp1","trans-acting transcription factor 1","1"
"Itgb7","16421","Itgb7","integrin beta 7","1"
"Myg1","60315","Myg1","melanocyte proliferating gene 1","1"
"Rarg","19411","Rarg","retinoic acid receptor, gamma","1"
"Pfdn5","56612","Pfdn5","prefoldin 5","1"
"Efnb2","13642","Efnb2","ephrin B2","1"
"Rrp15","67223","Rrp15","ribosomal RNA processing 15 homolog (S. cerevisiae)","1"
"Rnd2","11858","Rnd2","Rho family GTPase 2","1"
"Srr","27364","Srr","serine racemase","1"
"Sync","68828","Sync","syncoilin","1"
"Fndc5","384061","Fndc5","fibronectin type III domain containing 5","1"
"Acp5","11433","Acp5","acid phosphatase 5, tartrate resistant","1"
"Cnn1","12797","Cnn1","calponin 1","1"
"Fbxo9","71538","Fbxo9","f-box protein 9","1"
"Ccdc132","73288","Ccdc132","coiled-coil domain containing 132","1"
"Hars","15115","Hars","histidyl-tRNA synthetase","1"
"Zmat2","66492","Zmat2","zinc finger, matrin type 2","1"
"Ube2c","68612","Ube2c","ubiquitin-conjugating enzyme E2C","1"
"Smg5","229512","Smg5","Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)","1"
"Cct3","12462","Cct3","chaperonin containing Tcp1, subunit 3 (gamma)","1"
"Glmp","NA","NA","NA","0"
"Mef2d","17261","Mef2d","myocyte enhancer factor 2D","1"
"Tmem79","71913","Tmem79","transmembrane protein 79","1"
"Snd1","56463","Snd1","staphylococcal nuclease and tudor domain containing 1","1"
"Col18a1","12822","Col18a1","collagen, type XVIII, alpha 1","1"
"Slc19a1","20509","Slc19a1","solute carrier family 19 (folate transporter), member 1","1"
"Kpnb1","16211","Kpnb1","karyopherin (importin) beta 1","1"
"Npepps","19155","Npepps","aminopeptidase puromycin sensitive","1"
"Tbx21","57765","Tbx21","T-box 21","1"
"Mrpl10","107732","Mrpl10","mitochondrial ribosomal protein L10","1"
"Cyp51","13121","Cyp51","cytochrome P450, family 51","1"
"Tcf25","66855","Tcf25","transcription factor 25 (basic helix-loop-helix)","1"
"Tubb6","67951","Tubb6","tubulin, beta 6 class V","1"
"Def8","23854","Def8","differentially expressed in FDCP 8","1"
"Meox1","17285","Meox1","mesenchyme homeobox 1","1"
"Sost","74499","Sost","sclerostin","1"
"Nkx2-1","21869","Nkx2-1","NK2 homeobox 1","1"
"Pax9","18511","Pax9","paired box gene 9","1"
"Irx2","16372","Irx2","Iroquois related homeobox 2 (Drosophila)","1"
"Col1a1","12842","Col1a1","collagen, type I, alpha 1","1"
"Itga3","16400","Itga3","integrin alpha 3","1"
"Sgca","20391","Sgca","sarcoglycan, alpha (dystrophin-associated glycoprotein)","1"
"Dlx3","13393","Dlx3","distal-less homeobox 3","1"
"Foxm1","14235","Foxm1","forkhead box M1","1"
"Itfg2","101142","Itfg2","integrin alpha FG-GAP repeat containing 2","1"
"Nrip2","60345","Nrip2","nuclear receptor interacting protein 2","1"
"Tulp3","22158","Tulp3","tubby-like protein 3","1"
"Gtf2h4","14885","Gtf2h4","general transcription factor II H, polypeptide 4","1"
"Tubb5","22154","Tubb5","tubulin, beta 5 class I","1"
"Ell2","192657","Ell2","elongation factor RNA polymerase II 2","1"
"Jup","16480","Jup","junction plakoglobin","1"
"Fkbp10","14230","Fkbp10","FK506 binding protein 10","1"
"Klhl10","66720","Klhl10","kelch-like 10 (Drosophila)","1"
"Mnx1","15285","Mnx1","motor neuron and pancreas homeobox 1","1"
"Nom1","433864","Nom1","nucleolar protein with MIF4G domain 1","1"
"Ergic1","67458","Ergic1","endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1","1"
"Tnk1","83813","Tnk1","tyrosine kinase, non-receptor, 1","1"
"Acap1","216859","Acap1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","1"
"Tcea3","21401","Tcea3","transcription elongation factor A (SII), 3","1"
"Csn3","12994","Csn3","casein kappa","1"
"Ifrd1","15982","Ifrd1","interferon-related developmental regulator 1","1"
"Stk38l","232533","Stk38l","serine/threonine kinase 38 like","1"
"Brpf1","78783","Brpf1","bromodomain and PHD finger containing, 1","1"
"Akr1b3","11677","Akr1b3","aldo-keto reductase family 1, member B3 (aldose reductase)","1"
"Hoxc13","15422","Hoxc13","homeobox C13","1"
"Hoxc11","109663","Hoxc11","homeobox C11","1"
"Hoxc8","15426","Hoxc8","homeobox C8","1"
"Hoxc6","15425","Hoxc6","homeobox C6","1"
"Gstt1","14871","Gstt1","glutathione S-transferase, theta 1","1"
"Gstt3","103140","Gstt3","glutathione S-transferase, theta 3","1"
"Ddt","13202","Ddt","D-dopachrome tautomerase","1"
"Tat","234724","Tat","tyrosine aminotransferase","1"
"Marveld3","73608","Marveld3","MARVEL (membrane-associating) domain containing 3","1"
"Ddx18","66942","Ddx18","DEAD (Asp-Glu-Ala-Asp) box polypeptide 18","1"
"Ubl3","24109","Ubl3","ubiquitin-like 3","1"
"Gramd3","107022","Gramd3","GRAM domain containing 3","1"
"Eef1e1","66143","Eef1e1","eukaryotic translation elongation factor 1 epsilon 1","1"
"Akt1","11651","Akt1","thymoma viral proto-oncogene 1","1"
"Cldn15","60363","Cldn15","claudin 15","1"
"Il16","16170","Il16","interleukin 16","1"
"Tcirg1","27060","Tcirg1","T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3","1"
"Naglu","27419","Naglu","alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)","1"
"Coasy","71743","Coasy","Coenzyme A synthase","1"
"Smo","319757","Smo","smoothened homolog (Drosophila)","1"
"Tspan33","232670","Tspan33","tetraspanin 33","1"
"Crnkl1","66877","Crnkl1","Crn, crooked neck-like 1 (Drosophila)","1"
"Rin2","74030","Rin2","Ras and Rab interactor 2","1"
"Folh1","53320","Folh1","folate hydrolase","1"
"Chordc1","66917","Chordc1","cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1","1"
"Rtcb","NA","NA","NA","0"
"Pwp1","103136","Pwp1","PWP1 homolog (S. cerevisiae)","1"
"Fbxo7","69754","Fbxo7","F-box protein 7","1"
"Capns1","12336","Capns1","calpain, small subunit 1","1"
"Lrp3","435965","Lrp3","low density lipoprotein receptor-related protein 3","1"
"Dsg4","16769","Dsg4","desmoglein 4","1"
"Evx2","14029","Evx2","even skipped homeotic gene 2 homolog","1"
"Hoxd13","15433","Hoxd13","homeobox D13","1"
"Hoxd12","15432","Hoxd12","homeobox D12","1"
"Folr1","14275","Folr1","folate receptor 1 (adult)","1"
"Clpb","20480","Clpb","ClpB caseinolytic peptidase B homolog (E. coli)","1"
"7-Sep","NA","NA","NA","0"
"Zdhhc4","72881","Zdhhc4","zinc finger, DHHC domain containing 4","1"
"Rac1","19353","Rac1","RAS-related C3 botulinum substrate 1","1"
"Nup214","227720","Nup214","nucleoporin 214","1"
"Aif1l","108897","Aif1l","allograft inflammatory factor 1-like","1"
"Cpa3","12873","Cpa3","carboxypeptidase A3, mast cell","1"
"Ltbp1","268977","Ltbp1","latent transforming growth factor beta binding protein 1","1"
"Ugp2","216558","Ugp2","UDP-glucose pyrophosphorylase 2","1"
"Kcnh6","192775","Kcnh6","potassium voltage-gated channel, subfamily H (eag-related), member 6","1"
"Trmt1","212528","Trmt1","TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae)","1"
"Nacc1","66830","Nacc1","nucleus accumbens associated 1, BEN and BTB (POZ) domain containing","1"
"Nfix","18032","Nfix","nuclear factor I/X","1"
"Slc1a5","20514","Slc1a5","solute carrier family 1 (neutral amino acid transporter), member 5","1"
"Uba1","22201","Uba1","ubiquitin-like modifier activating enzyme 1","1"
"Vwf","22371","Vwf","Von Willebrand factor homolog","1"
"Siae","22619","Siae","sialic acid acetylesterase","1"
"Vsig2","57276","Vsig2","V-set and immunoglobulin domain containing 2","1"
"Esam","69524","Esam","endothelial cell-specific adhesion molecule","1"
"Spa17","20686","Spa17","sperm autoantigenic protein 17","1"
"Fam50a","108160","Fam50a","family with sequence similarity 50, member A","1"
"Emd","13726","Emd","emerin","1"
"Taco1","70207","Taco1","translational activator of mitochondrially encoded cytochrome c oxidase I","1"
"Grik3","14807","Grik3","glutamate receptor, ionotropic, kainate 3","1"
"Gria3","53623","Gria3","glutamate receptor, ionotropic, AMPA3 (alpha 3)","1"
"Npas1","18142","Npas1","neuronal PAS domain protein 1","1"
"Sipa1l2","244668","Sipa1l2","signal-induced proliferation-associated 1 like 2","1"
"Ap4e1","108011","Ap4e1","adaptor-related protein complex AP-4, epsilon 1","1"
"Blvra","109778","Blvra","biliverdin reductase A","1"
"Pdzd4","245469","Pdzd4","PDZ domain containing 4","1"
"Srpk3","56504","Srpk3","serine/arginine-rich protein specific kinase 3","1"
"Idh3g","15929","Idh3g","isocitrate dehydrogenase 3 (NAD+), gamma","1"
"Pnck","93843","Pnck","pregnancy upregulated non-ubiquitously expressed CaM kinase","1"
"Ssr4","20832","Ssr4","signal sequence receptor, delta","1"
"Bcap31","27061","Bcap31","B cell receptor associated protein 31","1"
"Fam98a","72722","Fam98a","family with sequence similarity 98, member A","1"
"Ltbp2","16997","Ltbp2","latent transforming growth factor beta binding protein 2","1"
"Kmt2a","NA","NA","NA","0"
"Ift46","76568","Ift46","intraflagellar transport 46 homolog (Chlamydomonas)","1"
"Tmem25","71687","Tmem25","transmembrane protein 25","1"
"Cd3g","12502","Cd3g","CD3 antigen, gamma polypeptide","1"
"Trappc6a","67091","Trappc6a","trafficking protein particle complex 6A","1"
"Supt6","NA","NA","NA","0"
"Spag5","54141","Spag5","sperm associated antigen 5","1"
"Foxn1","15218","Foxn1","forkhead box N1","1"
"Unc119","22248","Unc119","unc-119 homolog (C. elegans)","1"
"Rab34","19376","Rab34","RAB34, member of RAS oncogene family","1"
"Sdf2","20316","Sdf2","stromal cell derived factor 2","1"
"Ccne1","12447","Ccne1","cyclin E1","1"
"Hsf2bp","74377","Hsf2bp","heat shock transcription factor 2 binding protein","1"
"Bbc3","170770","Bbc3","BCL2 binding component 3","1"
"Mybpc3","17868","Mybpc3","myosin binding protein C, cardiac","1"
"Psmc3","19182","Psmc3","proteasome (prosome, macropain) 26S subunit, ATPase 3","1"
"Acp2","11432","Acp2","acid phosphatase 2, lysosomal","1"
"Rapsn","19400","Rapsn","receptor-associated protein of the synapse","1"
"Slc39a13","68427","Slc39a13","solute carrier family 39 (metal ion transporter), member 13","1"
"Celf2","14007","Celf2","CUGBP, Elav-like family member 2","1"
"Nr1h3","22259","Nr1h3","nuclear receptor subfamily 1, group H, member 3","1"
"Ddb2","107986","Ddb2","damage specific DNA binding protein 2","1"
"Spi1","NA","NA","NA","0"
"Sf3a1","67465","Sf3a1","splicing factor 3a, subunit 1","1"
"Stat6","20852","Stat6","signal transducer and activator of transcription 6","1"
"Clgn","12745","Clgn","calmegin","1"
"Napsa","16541","Napsa","napsin A aspartic peptidase","1"
"Vrk3","101568","Vrk3","vaccinia related kinase 3","1"
"Smg9","NA","NA","NA","0"
"Paxip1","55982","Paxip1","PAX interacting (with transcription-activation domain) protein 1","1"
"Rmnd5a","68477","Rmnd5a","required for meiotic nuclear division 5 homolog A (S. cerevisiae)","1"
"Mov10","17454","Mov10","Moloney leukemia virus 10","1"
"Ppm1j","71887","Ppm1j","protein phosphatase 1J","1"
"Rhoc","11853","Rhoc","ras homolog gene family, member C","1"
"Prr27","NA","NA","NA","0"
"Tead3","21678","Tead3","TEA domain family member 3","1"
"Ppard","19015","Ppard","peroxisome proliferator activator receptor delta","1"
"Def6","23853","Def6","differentially expressed in FDCP 6","1"
"Peg3","18616","Peg3","paternally expressed 3","1"
"Zim1","22776","Zim1","zinc finger, imprinted 1","1"
"Metrn","70083","Metrn","meteorin, glial cell differentiation regulator","1"
"Lmf1","76483","Lmf1","lipase maturation factor 1","1"
"Narfl","67563","Narfl","nuclear prelamin A recognition factor-like","1"
"Angptl4","57875","Angptl4","angiopoietin-like 4","1"
"Dbf4","27214","Dbf4","DBF4 homolog (S. cerevisiae)","1"
"Daxx","13163","Daxx","Fas death domain-associated protein","1"
"Cd320","54219","Cd320","CD320 antigen","1"
"Ipo4","75751","Ipo4","importin 4","1"
"Tm9sf1","74140","Tm9sf1","transmembrane 9 superfamily member 1","1"
"Rec8","56739","Rec8","REC8 homolog (yeast)","1"
