"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"PYRUVATE DEHYDROGENASE DEFICIENCY (E3)",4,1,45.951,14.286,0.064676,1,0.091625
"CITRULLINEMIA TYPE I",3,3,35.419,14.286,0.066178,1,0.092892
"HYPERVALINEMIA",1,1,45.43,14.286,0.066809,1,0.092925
"HISTIDINEMIA",7,4,30.941,14.286,0.068742,1,0.094753
"EXPOSURE TO TRI-BUTYL PHOSPHATE (TBP)",4,2,35.293,14.286,0.069594,1,0.09507
"MITOCHONDRIAL DISEASE",2,1,42.672,14.286,0.079011,1,0.10698
"N-ACETYLGLUTAMATE SYNTHETASE DEFICIENCY. NAGS DEFICIENCY | OROTIC ACIDURIA, HEREDITARY",1,1,40.991,14.286,0.087255,1,0.11609
"RETT SYNDROME",2,1,40.991,14.286,0.087255,1,0.11609
"CITRULLINEMIA TYPE II, ADULT-ONSET",1,1,38.947,14.286,0.098186,1,0.1295
"ARGININEMIA. HYPERARGININEMIA, ARGINASE DEFICIENCY",3,3,31.482,14.286,0.10115,1,0.13228
"FOLATE DEFICIENCY ",2,2,30.474,14.286,0.11043,1,0.14319
"DIMETHYLGLYCINURIA",1,1,36.122,14.286,0.11506,1,0.14793
"ADENYLOSUCCINASE DEFICIENCY",3,1,32.019,14.286,0.14375,1,0.17922
"FANCONI-BICKEL SYNDROME",4,1,32.019,14.286,0.14375,1,0.17922
"GOUT | NUCLEOTIDE DEPLETION SYNDROME | PHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE SUPERACTIVITY",1,1,32.019,14.286,0.14375,1,0.17922
"CIRRHOSIS ",12,5,24.037,14.286,0.1468,1,0.17922
"DIABETES MELLITUS (MODY), NON-INSULIN-DEPENDENT | DIABETES MELLITUS, INSULIN-DEPENDENT",2,1,31.522,14.286,0.1476,1,0.17922
"GLUCOSE-GALACTOSE MALABSORPTION | RENAL GLYCOSURIA",1,1,31.522,14.286,0.1476,1,0.17922
"OCULOCEREBRORENAL SYNDROME OF LOWE",2,1,31.522,14.286,0.1476,1,0.17922
"THYROID CANCER",9,2,26.484,14.286,0.1502,1,0.18095
"X-LINKED CREATINE-TRANSPORTER DEFECT",4,3,25.994,14.286,0.15168,1,0.18131
"METABOLITES AFFECTED BY GENDER",8,4,25.307,14.286,0.15662,1,0.18575
"DIHYDROPYRIMIDINASE DEFICIENCY ",5,2,25.409,14.286,0.16783,1,0.19753
"CORTICOSTERONE METHYL OXIDASE II DEFICIENCY - CMO II",4,1,26.916,14.286,0.1877,1,0.21922
"L-ARGININE:GLYCINE AMIDINOTRANSFERASE DEFICIENCY",2,2,21.878,14.286,0.22599,1,0.26194
"RIBOSE-5-PHOSPHATE ISOMERASE DEFICIENCY",6,1,22.807,14.286,0.2314,1,0.26619
"COBALAMIN MALABSORPTION | HOMOCYSTINURIA (CBLE) | HOMOCYSTINURIA-MEGALOBLASTIC ANEMIA DUE TO DEFECT IN COBALAMIN METABOLISM, CBLG COMPLEMENTATION TYPE | TRANSCOBALAMIN II DEFICIENCY | VITAMIN B(12) MALABSORPTION. ANEMIA, PERNICOUS, JUVENILE. COBALAMIN MALABSORPTION",2,1,20.258,14.286,0.26314,1,0.28964
"FEEDING: VEGANIAN [DD] | MAMEL (METHYLMALONIC ACIDURIA MITOCHONDRIAL ENCEPHELOPATHY LEIGH-LIKE) | METHYLMALONIC ACIDURIA, ATYPICAL | METHYLMALONIC ACIDURIA, ISOLATED, BENIGN (BACTERIAL OVERGROWTH?)",1,1,20.258,14.286,0.26314,1,0.28964
"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, CBLC TYPE",2,1,20.258,14.286,0.26314,1,0.28964
"METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, CBLD TYPE",3,1,20.258,14.286,0.26314,1,0.28964
"METHYLMALONIC ACIDURIA, CBLB TYPE",2,1,20.258,14.286,0.26314,1,0.28964
"MITOCHONDRIAL ENCEPHALOMYOPATHTHY WITH ELEVANTED METHYLMALONIC ACID, SUCLA2",3,1,20.258,14.286,0.26314,1,0.28964
"ADENOSINE DEAMINASE DEFICIENCY ",4,1,19.91,14.286,0.26778,1,0.29264
"BILIARY ATRESIA ",4,1,19.687,14.286,0.2708,1,0.29385
"ANOREXIA NERVOSA ",6,1,17.787,14.286,0.29799,1,0.32108
"3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY",8,1,13.974,14.286,0.36165,1,0.38248
"PEARSON SYNDROM",2,1,13.974,14.286,0.36165,1,0.38248
"CREATINE DEFICIENCY, GUANIDINOACETATE METHYLTRANSFERASE DEFICIENCY",4,3,15.112,14.286,0.36248,1,0.38248
"NEPHROTIC SYNDROME ",3,1,11.195,14.286,0.41789,1,0.43793
"PRIMARY HYPEROXALURIA I, PH1",3,1,6.6496,14.286,0.5375,1,0.55566
"PRIMARY HYPEROXALURIA II, PH2",2,1,6.6496,14.286,0.5375,1,0.55566
"FEEDING: NUTRITIONAL DEFICIENCIES RESULTING FROM MILK ALTERNATIVES  [DD] | SARCOSINEMIA",1,1,4.6882,14.286,0.60653,1,0.62281
"CARNOSINURIA, CARNOSINEMIA",1,1,3.378,14.286,0.66307,1,0.67633
"FRUCTOSE INTOLERANCE, HEREDITARY | FRUCTOSURIA",1,1,1.0328,14.286,0.81076,1,0.8215
"HYPOPHOSPHATASIA",1,1,0.14697,14.286,0.92819,1,0.93429
"CYSTINOSIS",1,1,0.11068,14.286,0.93767,1,0.93767
