"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"L-Phenylalanine,tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating)",11,2,61.372,14.286,0.011417,1,0.062622
"aldehyde dehydrogenase (phenylacetaldehyde, NAD)",2,2,61.372,14.286,0.011417,1,0.062622
"aldehyde dehydrogenase (phenylacetaldehyde, NADP)",2,2,61.372,14.286,0.011417,1,0.062622
"Hypoxanthine exchange",1,1,68.104,14.286,0.011653,1,0.062622
"Hypoxanthine transport",1,1,68.104,14.286,0.011653,1,0.062622
"ADPribose diphosphatase",8,3,53.015,14.286,0.012984,1,0.062622
"L-phenylalanine transport via diffusion (extracellular to cytosol)",1,1,66.368,14.286,0.013785,1,0.062622
"AMP exchange",1,1,66.001,14.286,0.014268,1,0.062622
"ADPribose transport",6,2,44.73,14.286,0.014744,1,0.062622
"aspartate carbamoyltransferase (reversible)",7,5,43.13,14.286,0.015871,1,0.062622
"carbamoyl-phosphate synthase (glutamine-hydrolysing)",7,5,43.13,14.286,0.015871,1,0.062622
"dihydoorotic acid dehydrogenase (quinone10)",7,5,43.13,14.286,0.015871,1,0.062622
"orotidine-5'-phosphate decarboxylase",7,5,43.13,14.286,0.015871,1,0.062622
"ubiquinol-6 cytochrome c reductase, Complex III",7,5,43.13,14.286,0.015871,1,0.062622
"O2 transport (diffusion)",6,5,43.13,14.286,0.015871,1,0.062622
"pyridoxamine 5'-phosphate oxidase",4,2,46.832,14.286,0.015963,1,0.062622
"pyridoxamine kinase",4,2,46.832,14.286,0.015963,1,0.062622
"pyridoxamine transport via diffusion",4,2,46.832,14.286,0.015963,1,0.062622
"pyridoxine 5'-phosphate oxidase",4,2,46.832,14.286,0.015963,1,0.062622
"pyridoxine kinase",4,2,46.832,14.286,0.015963,1,0.062622
"pyridoxine transport via diffusion",4,2,46.832,14.286,0.015963,1,0.062622
"R total 2 position exchange",7,1,63.981,14.286,0.017148,1,0.062622
"beta-Carotene dioxygenase",6,1,63.981,14.286,0.017148,1,0.062622
"beta-carotene transport via diffusion",6,1,63.981,14.286,0.017148,1,0.062622
"Retinol transport via faciliated diffusion",5,1,63.981,14.286,0.017148,1,0.062622
"retinyl ester hydrolase, extracellular",5,1,63.981,14.286,0.017148,1,0.062622
"fatty acid retinol efflux",1,1,63.981,14.286,0.017148,1,0.062622
"L-Phenylalanine exchange",73,11,45.021,14.286,0.018171,1,0.062622
"glyceraldehyde-3-phosphate dehydrogenase",19,11,50.314,14.286,0.018317,1,0.062622
"asparagine synthase (glutamine-hydrolysing)",1,1,62.734,14.286,0.019122,1,0.062622
"L-asparaginase (mitochondrial)",1,1,62.734,14.286,0.019122,1,0.062622
"L-Asparagine exchange",1,1,62.734,14.286,0.019122,1,0.062622
"L-asparagine transport, mitochondrial",1,1,62.734,14.286,0.019122,1,0.062622
"L-Glutamine exchange",1,1,62.621,14.286,0.019308,1,0.062622
"cytochrome c oxidase, mitochondrial Complex IV",12,6,43.955,14.286,0.019406,1,0.062622
"carboxylic acid dissociation",22,8,45.339,14.286,0.020637,1,0.062622
"R total flux",2,1,61.748,14.286,0.020791,1,0.062622
"fatty acyl-CoA synthase (n-C8:0CoA), lumped reaction",4,1,61.748,14.286,0.020791,1,0.062622
"fatty acyl-CoA synthase (n-C10:0CoA)",5,1,61.748,14.286,0.020791,1,0.062622
"fatty-acyl-CoA synthase (n-C12:0CoA)",5,1,61.748,14.286,0.020791,1,0.062622
"fatty-acyl-CoA synthase (n-C14:0CoA)",5,1,61.748,14.286,0.020791,1,0.062622
"dephospho-CoA kinase",1,1,61.748,14.286,0.020791,1,0.062622
"pantetheine-phosphate adenylyltransferase",1,1,61.748,14.286,0.020791,1,0.062622
"pantothenate kinase",1,1,61.748,14.286,0.020791,1,0.062622
"Pantothenate sodium symporter II",1,1,61.748,14.286,0.020791,1,0.062622
"phosphopantothenate-cysteine ligase",1,1,61.748,14.286,0.020791,1,0.062622
"phosphopantothenoylcysteine decarboxylase",1,1,61.748,14.286,0.020791,1,0.062622
"UMP exchange",2,2,45.521,14.286,0.021221,1,0.062622
"phosphoribosylpyrophosphate synthetase",23,16,43.912,14.286,0.021275,1,0.062622
"Trehalose exchange",100,27,42.16,14.286,0.021346,1,0.062622
"Arginine/Lysine exchanger (Arg in)",1,1,61.053,14.286,0.02203,1,0.062622
"L-arginine transport in via sodium symport",1,1,61.053,14.286,0.02203,1,0.062622
"L-arginine transport via diffusion (extracellular to cytosol)",1,1,61.053,14.286,0.02203,1,0.062622
"lipid, flip-flop intracellular transport",98,19,41.951,14.286,0.022031,1,0.062622
"NAD nucleosidase",2,1,60.967,14.286,0.022189,1,0.062622
"NAD synthase (glutamine-hydrolysing)",2,1,60.967,14.286,0.022189,1,0.062622
"Nicotinic acid uptake",2,1,60.967,14.286,0.022189,1,0.062622
"NICRNS",2,1,60.967,14.286,0.022189,1,0.062622
"nucleotide phosphatase",2,1,60.967,14.286,0.022189,1,0.062622
"Glutamate transport via Na, H symport and K antiport",21,14,45.983,14.286,0.022597,1,0.062622
"methenyltetrahydrofolate cyclohydrolase",4,3,59.03,14.286,0.022817,1,0.062622
"glycine hydroxymethyltransferase, reversible",18,10,48.157,14.286,0.022876,1,0.062622
"succinate transport, mitochondrial",1,1,60.264,14.286,0.023501,1,0.062622
"protoporphyrinogen oxidase, mitochondrial",53,14,37.794,14.286,0.023897,1,0.062622
"alpha-methylacyl-CoA racemase",44,14,37.794,14.286,0.023897,1,0.062622
"alpha-methylacyl-CoA racemase (reductase)",44,14,37.794,14.286,0.023897,1,0.062622
"Chenodeoxyglycocholate exchange",44,14,37.794,14.286,0.023897,1,0.062622
"FADH2 transporter, peroxisomal",44,14,37.794,14.286,0.023897,1,0.062622
"glycocholate exchange",44,14,37.794,14.286,0.023897,1,0.062622
"Taurocholic acid exchange",44,14,37.794,14.286,0.023897,1,0.062622
"acyl-Coenzyme A oxidase 2, branched chain",44,14,37.794,14.286,0.023897,1,0.062622
"hydroxysteroid (17-beta) dehydrogenase 4",44,14,37.794,14.286,0.023897,1,0.062622
"5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 27-hydroxylase",44,14,37.794,14.286,0.023897,1,0.062622
"C-14 sterol reductase",49,14,37.794,14.286,0.023897,1,0.062622
"C-3 sterol keto reductase (zymosterol)",49,14,37.794,14.286,0.023897,1,0.062622
"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",49,14,37.794,14.286,0.023897,1,0.062622
"cholesterol precursor intracellular transport",49,14,37.794,14.286,0.023897,1,0.062622
"cytochrome P450 lanosterol 14-alpha-demethylase",49,14,37.794,14.286,0.023897,1,0.062622
"FAD transporter, endoplasmic reticulum",49,14,37.794,14.286,0.023897,1,0.062622
"FADH2 transporter, endoplasmic reticulum",49,14,37.794,14.286,0.023897,1,0.062622
"lanosterol synthase",49,14,37.794,14.286,0.023897,1,0.062622
"Previtamin D3 formation",49,14,37.794,14.286,0.023897,1,0.062622
"Squalene epoxidase, endoplasmic reticular (NADP)",49,14,37.794,14.286,0.023897,1,0.062622
"Squalene synthase",49,14,37.794,14.286,0.023897,1,0.062622
"Vitamin D3 exchange",49,14,37.794,14.286,0.023897,1,0.062622
"Vitamin D3 formation",49,14,37.794,14.286,0.023897,1,0.062622
"dimethylallyltranstransferase",39,14,37.794,14.286,0.023897,1,0.062622
"geranyltranstransferase",39,14,37.794,14.286,0.023897,1,0.062622
"isopentenyl-diphosphate D-isomerase",39,14,37.794,14.286,0.023897,1,0.062622
"glycochenodeoxycholate exchange",41,14,37.794,14.286,0.023897,1,0.062622
"7-dehydrocholesterol reductase",50,14,37.794,14.286,0.023897,1,0.062622
"Beta oxidation of long chain fatty acid",52,14,37.794,14.286,0.023897,1,0.062622
"phosphoglycerate dehydrogenase",23,11,47.351,14.286,0.024149,1,0.062622
"phosphoserine phosphatase (L-serine)",23,11,47.351,14.286,0.024149,1,0.062622
"phosphoserine transaminase",23,11,47.351,14.286,0.024149,1,0.062622
"FAD transporter, peroxisomal",70,6,44.332,14.286,0.024968,1,0.062622
"sterol 12-alpha-hydroxylase",42,13,38.743,14.286,0.02518,1,0.062622
"sterol 12-alpha-hydroxylase (nadh)",42,13,38.743,14.286,0.02518,1,0.062622
"CO2 exchange",8,3,55.504,14.286,0.025248,1,0.062622
"Inosine exchange",1,1,59.273,14.286,0.025446,1,0.062622
"purine-nucleoside phosphorylase (Inosine)",1,1,59.273,14.286,0.025446,1,0.062622
"glutamine synthetase",34,24,42.989,14.286,0.025703,1,0.062622
"dehydroascorbate transport (uniport)",27,8,35.88,14.286,0.025744,1,0.062622
"peroxisomal thiolase 2",45,15,38.621,14.286,0.026072,1,0.062622
"bile acid intracellular transport",45,15,38.621,14.286,0.026072,1,0.062622
"carnitine O-aceyltransferase, mitochondrial",42,15,38.621,14.286,0.026072,1,0.062622
"carnitine O-aceyltransferase, peroxisomal",42,15,38.621,14.286,0.026072,1,0.062622
"carnitine-propcarnitine carrier, peroxisomal",42,15,38.621,14.286,0.026072,1,0.062622
"cytochrome P450, family 7, subfamily A, polypeptide 1",42,15,38.621,14.286,0.026072,1,0.062622
"taurine transport (sodium symport) (cytosol to peroxisome)",42,15,38.621,14.286,0.026072,1,0.062622
"taurochenodeoxycholate exchange",42,15,38.621,14.286,0.026072,1,0.062622
"transport into the mitochondria from cytosol (carnitine)",42,15,38.621,14.286,0.026072,1,0.062622
"Cytochrome P450 27",42,15,38.621,14.286,0.026072,1,0.062622
"aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)",45,15,38.621,14.286,0.026072,1,0.062622
"aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)",45,15,38.621,14.286,0.026072,1,0.062622
"Very-long-chain-fatty-acid-CoA ligase",45,15,38.621,14.286,0.026072,1,0.062622
"5-beta-cytochrome P450, family 27, subfamily A, polypeptide 1",42,15,38.621,14.286,0.026072,1,0.062622
"bile acid Coenzyme A: amino acid N-acyltransferase",45,15,38.621,14.286,0.026072,1,0.062622
"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",44,13,36.647,14.286,0.026845,1,0.062622
"C-3 sterol dehydrogenase (4-methylzymosterol)",44,13,36.647,14.286,0.026845,1,0.062622
"C-4 methyl sterol oxidase",44,13,36.647,14.286,0.026845,1,0.062622
"Carbon monoxide exchange",39,13,36.647,14.286,0.026845,1,0.062622
"CO transporter via diffusion",39,13,36.647,14.286,0.026845,1,0.062622
"coproporphyrinogen oxidase (O2 required)",39,13,36.647,14.286,0.026845,1,0.062622
"Ferrochelatase, mitochondrial",39,13,36.647,14.286,0.026845,1,0.062622
"Heme oxygenase 1",39,13,36.647,14.286,0.026845,1,0.062622
"Heme transport to cytosol",39,13,36.647,14.286,0.026845,1,0.062622
"hydroxymethylbilane synthase",39,13,36.647,14.286,0.026845,1,0.062622
"iron (II) transport",39,13,36.647,14.286,0.026845,1,0.062622
"Nad(p)h biliverdin reductase",39,13,36.647,14.286,0.026845,1,0.062622
"protoporphyrinogen IX mitochondrial transport",39,13,36.647,14.286,0.026845,1,0.062622
"uroporphyrinogen decarboxylase (uroporphyrinogen III)",39,13,36.647,14.286,0.026845,1,0.062622
"uroporphyrinogen-III synthase",39,13,36.647,14.286,0.026845,1,0.062622
"24-dehydrocholesterol reductase [Precursor]",46,13,36.647,14.286,0.026845,1,0.062622
"Lathosterol oxidase",46,13,36.647,14.286,0.026845,1,0.062622
"hydrogen peroxide transport via diffusion",35,13,36.647,14.286,0.026845,1,0.062622
"o2 transport (diffusion)",35,13,36.647,14.286,0.026845,1,0.062622
"fatty acid intracellular transport",42,13,36.647,14.286,0.026845,1,0.062622
"Vitamin D-25-hydroxylase (D3)",7,1,58.475,14.286,0.027096,1,0.062622
"sterol O-acyltransferase (acyl-Coenzyme A: cholesterol acyltransferase) 1",5,1,58.475,14.286,0.027096,1,0.062622
"25-Hydroxyvitamin D3 exchange",6,1,58.475,14.286,0.027096,1,0.062622
"cholesterol efflux (ATP depedent)",6,1,58.475,14.286,0.027096,1,0.062622
"cholesterol ester exchange",6,1,58.475,14.286,0.027096,1,0.062622
"Cholesterol exchange",6,1,58.475,14.286,0.027096,1,0.062622
"cholesterol intracellular transport",6,1,58.475,14.286,0.027096,1,0.062622
"diphosphomevalonate decarboxylase",6,1,58.475,14.286,0.027096,1,0.062622
"Hydroxymethylglutaryl CoA reductase (ir)",6,1,58.475,14.286,0.027096,1,0.062622
"Hydroxymethylglutaryl-CoA reversible peroxisomal transport",6,1,58.475,14.286,0.027096,1,0.062622
"mevalonate kinase (atp)",6,1,58.475,14.286,0.027096,1,0.062622
"phosphomevalonate kinase",6,1,58.475,14.286,0.027096,1,0.062622
"7-alpha,24(S)-Dihydroxycholesterol exchange",8,1,58.475,14.286,0.027096,1,0.062622
"7-alpha,25-Dihydroxycholesterol exchange",8,1,58.475,14.286,0.027096,1,0.062622
"7-alpha,27-Dihydroxycholesterol exchange",8,1,58.475,14.286,0.027096,1,0.062622
"cholesterol 25-hydroxylase",8,1,58.475,14.286,0.027096,1,0.062622
"cytochrome P450, family 46, subfamily A, polypeptide 1",8,1,58.475,14.286,0.027096,1,0.062622
"oxysterol 7-alpha-hydroxylase",8,1,58.475,14.286,0.027096,1,0.062622
"24 trihydroxy cholesterol transport",8,1,58.475,14.286,0.027096,1,0.062622
"25 trihydroxy cholesterol transport",8,1,58.475,14.286,0.027096,1,0.062622
"27 trihydroxy cholesterol transport",8,1,58.475,14.286,0.027096,1,0.062622
"oxysterol 7alpha-hydroxylase",8,1,58.475,14.286,0.027096,1,0.062622
"cholesterol ester (from FULLR2) exchange",2,1,58.475,14.286,0.027096,1,0.062622
"Lecithin-cholesterol acyltransferase",2,1,58.475,14.286,0.027096,1,0.062622
"lysophosphatidylcholine (homo sapiens) exchange",2,1,58.475,14.286,0.027096,1,0.062622
"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",37,14,39.527,14.286,0.027138,1,0.062622
"taurine transport (sodium symport) (2:1)",40,14,39.527,14.286,0.027138,1,0.062622
"GMP reductase",6,4,50.518,14.286,0.027725,1,0.062622
"guanine phosphoribosyltransferase",6,4,50.518,14.286,0.027725,1,0.062622
"adenosine kinase",3,2,55.209,14.286,0.027884,1,0.062622
"Phosphatidylserine synthase homo sapiens",3,2,55.209,14.286,0.027884,1,0.062622
"Phosphatidylserine decarboxylase",5,2,55.209,14.286,0.027884,1,0.062622
"phosphatidylserine flippase",6,2,55.209,14.286,0.027884,1,0.062622
"glycine passive transport to mitochondria",4,2,55.209,14.286,0.027884,1,0.062622
"triose-phosphate isomerase",6,2,55.209,14.286,0.027884,1,0.062622
"Fatty acid omega-hydroxylase",2,1,58.088,14.286,0.027922,1,0.062622
"fatty-acid--CoA ligase (tetradecanoate)",2,1,58.088,14.286,0.027922,1,0.062622
"omega hydroxy tetradecanoate (n-C14:0) exchange",2,1,58.088,14.286,0.027922,1,0.062622
"Tetradecanoate (n-C14:0) transport in via uniport",2,1,58.088,14.286,0.027922,1,0.062622
"GMP synthase",4,2,49.01,14.286,0.028246,1,0.062622
"purine-nucleoside phosphorylase (Guanosine)",3,2,49.01,14.286,0.028246,1,0.062622
"Proline dehydrogenase",34,12,37.588,14.286,0.02825,1,0.062622
"dihydroceramide desaturase",38,12,37.588,14.286,0.02825,1,0.062622
"Vitamin D3 uptake",12,2,39.605,14.286,0.028408,1,0.062622
"NADP transporter, peroxisome",9,2,39.605,14.286,0.028408,1,0.062622
"NADPH transporter, peroxisome",9,2,39.605,14.286,0.028408,1,0.062622
"Betaine transport (sodium symport) (2:1)",1,1,57.743,14.286,0.028674,1,0.062622
"betaine-aldehyde dehydrogenase, mitochondrial",1,1,57.743,14.286,0.028674,1,0.062622
"betaine-homocysteine S-methyltransferase",1,1,57.743,14.286,0.028674,1,0.062622
"choline dehydrogenase (FAD acceptor), mitochondrial",1,1,57.743,14.286,0.028674,1,0.062622
"choline transport via diffusion (cytosol to mitochondria)",1,1,57.743,14.286,0.028674,1,0.062622
"dimethylglycine dehydrogenase, mitochondrial",1,1,57.743,14.286,0.028674,1,0.062622
"dimethylglycine transport via diffusion (cytosol to mitochondria)",1,1,57.743,14.286,0.028674,1,0.062622
"formaldehyde transport via diffusion (mitochondrial)",1,1,57.743,14.286,0.028674,1,0.062622
"Glycine betaine exchange",1,1,57.743,14.286,0.028674,1,0.062622
"Glycine betaine transport via diffusion (mitochondria to cytosol)",1,1,57.743,14.286,0.028674,1,0.062622
"phosphatidylethanolamine N-methyltransferase",1,1,57.743,14.286,0.028674,1,0.062622
"S-Adenosyl-L-methionine intracellular diffusion",1,1,57.743,14.286,0.028674,1,0.062622
"phosphatidylethanolamine scramblase",2,1,57.743,14.286,0.028674,1,0.062622
"ADPribose 2'-phosphate exchange",4,2,56.968,14.286,0.029247,1,0.062622
"Nicotinamide acid uptake",2,2,56.968,14.286,0.029247,1,0.062622
"1-Methylnicotinamide exchange",3,2,56.968,14.286,0.029247,1,0.062622
"N1-Methylnicotinamide transport",3,2,56.968,14.286,0.029247,1,0.062622
"Nicotinamide N-methyltransferase",3,2,56.968,14.286,0.029247,1,0.062622
"Histidine transport (Na, H coupled)",1,1,57.306,14.286,0.029649,1,0.063227
"adenosylhomocysteinase",16,3,45.32,14.286,0.031181,1,0.064581
"methionine adenosyltransferase",16,3,45.32,14.286,0.031181,1,0.064581
"Succinate exchange",3,3,45.423,14.286,0.031724,1,0.064581
"4-Aminobutanoate exchange",1,1,56.27,14.286,0.032056,1,0.064581
"4-aminobutanoate mitochondrial transport via diffusion",1,1,56.27,14.286,0.032056,1,0.064581
"4-aminobutyrate transaminase, reversible (mitochondrial)",1,1,56.27,14.286,0.032056,1,0.064581
"Glutamate Decarboxylase",1,1,56.27,14.286,0.032056,1,0.064581
"succinate-semialdehyde dehydrogenase (NAD) reversible (mitochondrial)",1,1,56.27,14.286,0.032056,1,0.064581
"fatty-acid--CoA ligase (octanoate)",1,1,56.248,14.286,0.032109,1,0.064581
"Octanoate transport via diffusion",1,1,56.248,14.286,0.032109,1,0.064581
"glutamine phosphoribosyldiphosphate amidotransferase",14,9,40.769,14.286,0.032595,1,0.064581
"phosphoribosylaminoimidazole carboxylase",14,9,40.769,14.286,0.032595,1,0.064581
"phosphoribosylaminoimidazole synthase",14,9,40.769,14.286,0.032595,1,0.064581
"phosphoribosylaminoimidazolecarboxamide formyltransferase",14,9,40.769,14.286,0.032595,1,0.064581
"phosphoribosylaminoimidazolesuccinocarboxamide synthase",14,9,40.769,14.286,0.032595,1,0.064581
"phosphoribosylformylglycinamidine synthase",14,9,40.769,14.286,0.032595,1,0.064581
"phosphoribosylglycinamide formyltransferase",14,9,40.769,14.286,0.032595,1,0.064581
"phosphoribosylglycinamide synthase",14,9,40.769,14.286,0.032595,1,0.064581
"adenylosuccinate lyase",14,9,40.769,14.286,0.032595,1,0.064581
"ATP transporter, peroxisomal",12,3,43.413,14.286,0.033618,1,0.066115
"O2 transport, endoplasmic reticulum",13,3,43.413,14.286,0.033618,1,0.066115
"ATP synthase (four protons for one ATP)",22,13,40.684,14.286,0.034465,1,0.067214
"L-Ascorbate exchange",18,5,31.237,14.286,0.035544,1,0.067214
"R group artificial flux",14,3,48.757,14.286,0.037163,1,0.067214
"IMP dehydrogenase",5,3,43.306,14.286,0.03731,1,0.067214
"thiamin pyrophosphatase",1,1,54.069,14.286,0.037643,1,0.067214
"Thiamin exchange",2,1,54.069,14.286,0.037643,1,0.067214
"Thiamin monophosphate exchange",2,1,54.069,14.286,0.037643,1,0.067214
"thiamin phosphatase",3,1,54.069,14.286,0.037643,1,0.067214
"Thiamin triphosphate exchange",3,1,54.069,14.286,0.037643,1,0.067214
"thiamine diphosphokinase",3,1,54.069,14.286,0.037643,1,0.067214
"Thiamine monophosphate transport in via anion antiport",3,1,54.069,14.286,0.037643,1,0.067214
"Thiamine transport in via proton antiport",3,1,54.069,14.286,0.037643,1,0.067214
"Thiamine triphosphate transport in via anion antiport",3,1,54.069,14.286,0.037643,1,0.067214
"NAD nucleosidase,extracellular",4,4,42.001,14.286,0.03983,1,0.067214
"glutamate 5-kinase (m)",1,1,53.256,14.286,0.039875,1,0.067214
"glutamate-5-semialdehyde dehydrogenase (m)",1,1,53.256,14.286,0.039875,1,0.067214
"L-glutamate 5-semialdehyde dehydratase, reversible, mitochondrial",1,1,53.256,14.286,0.039875,1,0.067214
"L-Proline exchange",1,1,53.256,14.286,0.039875,1,0.067214
"L-proline transport, mitochondrial",1,1,53.256,14.286,0.039875,1,0.067214
"methionine synthase",7,3,43.113,14.286,0.039933,1,0.067214
"5,10-methylenetetrahydrofolatereductase (NADPH)",9,3,43.113,14.286,0.039933,1,0.067214
"3,4-Dihydroxy-L-phenylalanine exchange",2,1,53.144,14.286,0.040193,1,0.067214
"Tetrahydrobiopterin-4a-carbinolamine dehydratase",11,1,53.144,14.286,0.040193,1,0.067214
"Iodide:hydrogen-peroxide oxidoreductase 3",10,1,53.144,14.286,0.040193,1,0.067214
"Triiodothyronine exchange",10,1,53.144,14.286,0.040193,1,0.067214
"4-Hydroxyphenylpyruvate:oxygen oxidoreductase",1,1,53.144,14.286,0.040193,1,0.067214
"fumarylacetoacetase",1,1,53.144,14.286,0.040193,1,0.067214
"Homogentisate:oxygen 1,2-oxidoreductase (decyclizing)",1,1,53.144,14.286,0.040193,1,0.067214
"L-tyrosine transport",1,1,53.144,14.286,0.040193,1,0.067214
"maleylacetoacetate isomerase",1,1,53.144,14.286,0.040193,1,0.067214
"tyrosine 3-monooxygenase",1,1,53.144,14.286,0.040193,1,0.067214
"tyrosine transaminase",1,1,53.144,14.286,0.040193,1,0.067214
"Tyramine O-sulfate exchange",2,1,53.144,14.286,0.040193,1,0.067214
"Tyramine O-sulfate transport (diffusion)",2,1,53.144,14.286,0.040193,1,0.067214
"Tyramine Sulfotransferase",2,1,53.144,14.286,0.040193,1,0.067214
"Iodide:hydrogen-peroxide oxidoreductase",5,1,53.144,14.286,0.040193,1,0.067214
"Iodide:hydrogen-peroxide oxidoreductase 2",5,1,53.144,14.286,0.040193,1,0.067214
"4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase",2,1,53.144,14.286,0.040193,1,0.067214
"4-Hydroxyphenylacetate exchange",2,1,53.144,14.286,0.040193,1,0.067214
"hydroxyphenylacetate transport via diffusion",2,1,53.144,14.286,0.040193,1,0.067214
"Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing) (cytosol)",2,1,53.144,14.286,0.040193,1,0.067214
"L-Tyrosine carboxy-lyase",3,1,53.144,14.286,0.040193,1,0.067214
"Tyrosine:dopa oxidase",3,1,53.144,14.286,0.040193,1,0.067214
"R group artificial flux (C18:3, n-3)",1,1,52.776,14.286,0.04124,1,0.067214
"stearidonic acid exchange",1,1,52.776,14.286,0.04124,1,0.067214
"nucleoside-triphosphatase (GTP)",7,1,52.732,14.286,0.041368,1,0.067214
"5'-nucleotidase (GMP), extracellular",5,1,52.732,14.286,0.041368,1,0.067214
"nucleoside-diphosphatase (GDP), extracellular",7,1,52.732,14.286,0.041368,1,0.067214
"formimidoyltransferase cyclodeaminase",2,2,36.578,14.286,0.041575,1,0.067214
"Glutamate formimidoyltransferase",2,2,36.578,14.286,0.041575,1,0.067214
"Histamine exchange",2,2,36.578,14.286,0.041575,1,0.067214
"histidase",2,2,36.578,14.286,0.041575,1,0.067214
"imidazolonepropionase",2,2,36.578,14.286,0.041575,1,0.067214
"urocanase",2,2,36.578,14.286,0.041575,1,0.067214
