"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"ALZHEIMER'S DIESEASE ",7,7,39.187,14.286,0.035833,1,0.061743
"CEREBRAL MALARIA (CHILDREN)",3,1,53.963,14.286,0.037928,1,0.061743
"REFSUM DISEASE ",1,1,53.963,14.286,0.037928,1,0.061743
"ZELLWEGER SYNDROME",3,1,53.963,14.286,0.037928,1,0.061743
"ASEPTIC MENINGITIS",5,3,46.719,14.286,0.046606,1,0.066718
"HYPERGLYCINEMIA, NON-KETOTIC",1,1,50.902,14.286,0.046903,1,0.066718
"PYRIDOXINE DEPENDENCY WITH SEIZURES",3,3,45.119,14.286,0.046944,1,0.066718
"VASCULAR DEMENTIA ",6,1,50.875,14.286,0.046988,1,0.066718
"2-METHYL-3-HYDROXYBUTYRYL-COA DEHYDROGENASE DEFICIENCY | CYTOCHROME-C-OXIDASE DEFICIENCY | FUMARIC ACIDURIA | LEIGH`S SYNDROME, SUBACUTE NECROTIZING ENCEPHALOPATHY, SNE | MITOCHONDRIAL-ENCEPHALOPATHY-LACTIC ACIDOSIS-STROKE (MELAS)",1,1,50.301,14.286,0.048835,1,0.066718
"CERVICAL MYELOPATHY ",2,1,50.301,14.286,0.048835,1,0.066718
"PYRUVATE DEHYDROGENASE DEFICIENCY (E1)",2,1,50.301,14.286,0.048835,1,0.066718
"RETT SYNDROME",5,1,50.301,14.286,0.048835,1,0.066718
"MAPLE SYRUP URINE DISEASE ",6,3,47.373,14.286,0.05093,1,0.066718
"SPINOCEREBELLAR DEGENERATION ",3,2,43.68,14.286,0.052418,1,0.066718
"DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY ",4,3,32.467,14.286,0.053903,1,0.066718
"3-PHOSPHOGLYCERATE DEHYDROGENASE DEFICIENCY | PHOSPHOSERINE AMINOTRANSFERASE DEFICIENCY - NEW DISORDER?",2,2,45.79,14.286,0.054959,1,0.066718
"JUVENILE MYOCLONIC EPILEPSY ",3,2,45.79,14.286,0.054959,1,0.066718
"POST TRANSURETHRAL PROSTATIC RESECTION ",5,2,45.79,14.286,0.054959,1,0.066718
"MENINGOMYELOCOELE (SPINA BIFIDA) ",8,3,38.455,14.286,0.055281,1,0.066718
"PARKINSON'S DISEASE ",9,1,47.68,14.286,0.057975,1,0.068784
"EARLY-ONSET ENCEPHALOPATHY AND CORTICAL MYOCLONUS ",2,1,45.43,14.286,0.066809,1,0.077944
"GROWTH HORMONE DEFICIENCY ",2,1,34.923,14.286,0.1229,1,0.14104
"ADENYLOSUCCINASE DEFICIENCY",3,1,32.019,14.286,0.14375,1,0.1623
"GLUCOSE TRANSPORTER TYPE 1 DEFICIENCY SYNDROME ",2,1,31.522,14.286,0.1476,1,0.164
"DIHYDROPYRIMIDINASE DEFICIENCY ",5,2,25.409,14.286,0.16783,1,0.18357
"RIBOSE-5-PHOSPHATE ISOMERASE DEFICIENCY",6,1,22.807,14.286,0.2314,1,0.2492
"COBALAMIN (AND FOLATE) DEFICIENCY | METHYLMALONIC ACIDURIA (MMA)",1,1,20.258,14.286,0.26314,1,0.27908
"SEPTIC SHOCK ",2,1,19.91,14.286,0.26778,1,0.27977
"HYPERORNITHINEMIA WITH GYRATE ATROPHY (HOGA)",1,1,0.56545,14.286,0.85954,1,0.88482
"CREATINE DEFICIENCY, GUANIDINOACETATE METHYLTRANSFERASE DEFICIENCY",1,1,0.11068,14.286,0.93767,1,0.94608
"STROKE ",5,1,0.082796,14.286,0.94608,1,0.94608
