Metabolites,q-value
margarate (17:0),0.0108
10-heptadecenoate (17:1n7),0.0108
stearate (18:0),0.0117
nonadecanoate (19:0),0.0148
10-nonadecenoate (19:1n9),0.0108
arachidate (20:0),0.0142
eicosenoate (20:1),0.0108
erucate (22:1n9),0.0225
oleate/vaccenate (18:1),0.0108
stearidonate (18:4n3),0.0398
eicosapentaenoate (EPA; 20:5n3),0.0114
docosapentaenoate (n3 DPA; 22:5n3),0.0138
docosahexaenoate (DHA; 22:6n3),0.0118
linoleate (18:2n6),0.0108
linolenate [alpha or gamma; (18:3n3 or 6)],0.0254
dihomo-linolenate (20:3n3 or n6),0.0108
arachidonate (20:4n6),0.0108
adrenate (22:4n6),0.0276
docosapentaenoate (n6 DPA; 22:5n6),0.0108
docosadienoate (22:2n6),0.0131
dihomo-linoleate (20:2n6),0.0108
mead acid (20:3n9),0.0108
15-methylpalmitate,0.0114
17-methylstearate,0.0204
2-hydroxyglutarate,0.0289
2-hydroxyadipate,0.0126
azelate (nonanedioate),0.0227
sebacate (decanedioate),0.0575
tetradecanedioate,0.0144
hexadecanedioate,0.0276
oleamide,0.0108
2-aminoheptanoate,0.0108
2-aminooctanoate,0.0124
malonylcarnitine,0.0108
2-methylmalonyl carnitine,0.0398
butyrylcarnitine,0.0108
propionylcarnitine,0.0108
methylmalonate (MMA),0.0108
hexanoylglycine,0.0868
acetylcarnitine,0.0108
3-hydroxybutyrylcarnitine (1),0.0223
3-hydroxybutyrylcarnitine (2),0.0171
hexanoylcarnitine,0.0126
octanoylcarnitine,0.0802
decanoylcarnitine,0.0352
laurylcarnitine,0.0803
myristoylcarnitine,0.0367
palmitoylcarnitine,0.0130
stearoylcarnitine,0.0108
linoleoylcarnitine*,0.0121
oleoylcarnitine,0.0108
deoxycarnitine,0.0111
carnitine,0.0352
3-hydroxybutyrate (BHBA),0.0718
4-hydroxybutyrate (GHB),0.0283
2-hydroxystearate,0.0108
16-hydroxypalmitate,0.0555
"12,13-DiHOME",0.0211
"9,10-DiHOME",0.0108
12-HETE,0.0108
15-HETE,0.0108
oleoyl ethanolamide,0.0108
palmitoyl ethanolamide,0.0131
stearoyl ethanolamide,0.0415
arachidonoyl ethanolamide,0.0208
N-stearoyltaurine,0.0308
N-palmitoyltaurine,0.0288
myo-inositol,0.0124
choline,0.0108
choline phosphate,0.0108
cytidine 5'-diphosphocholine,0.0108
glycerophosphorylcholine (GPC),0.0124
phosphoethanolamine,0.0108
cytidine-5'-diphosphoethanolamine,0.0124
glycerophosphoethanolamine,0.0169
trimethylamine N-oxide,0.0108
glycerophosphoinositol*,0.0108
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),0.0108
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),0.0109
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),0.0200
"1,2-dipalmitoyl-GPC (16:0/16:0)",0.0108
1-stearoyl-2-oleoyl-GPC (18:0/18:1),0.0108
"1,2-dioleoyl-GPC (18:1/18:1)*",0.0108
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),0.0118
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,0.0108
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,0.0110
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),0.0691
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,0.0114
1-palmitoyl-2-oleoyl-GPG (16:0/18:1),0.0108
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),0.0108
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),0.0117
1-stearoyl-2-oleoyl-GPE (18:0/18:1),0.0108
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,0.0200
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),0.0169
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,0.0399
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),0.0108
"1,2-dioleoyl-GPE (18:1/18:1)",0.0063
1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*,0.0118
"1,2-dilinoleoyl-GPC (18:2/18:2)",0.0333
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,0.0651
"1,2-distearoyl-GPC (18:0/18:0)",0.0117
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4)*,0.0108
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),0.0108
1-stearoyl-2-oleoyl-GPS (18:0/18:1),0.0118
1-palmitoyl-GPC (16:0),0.0241
2-palmitoyl-GPC (16:0)*,0.0228
1-palmitoleoyl-GPC (16:1)*,0.0264
2-palmitoleoyl-GPC (16:1)*,0.0131
1-stearoyl-GPC (18:0),0.0128
1-oleoyl-GPC (18:1),0.0276
1-linoleoyl-GPC (18:2),0.0799
1-linolenoyl-GPC (18:3)*,0.0818
1-arachidonoyl-GPC (20:4)*,0.0367
1-lignoceroyl-GPC (24:0),
1-palmitoyl-GPE (16:0),0.0108
1-stearoyl-GPE (18:0),0.0108
2-stearoyl-GPE (18:0)*,0.0173
1-oleoyl-GPE (18:1),0.0108
1-linoleoyl-GPE (18:2)*,0.0493
1-arachidonoyl-GPE (20:4)*,0.0108
1-palmitoyl-GPI (16:0)*,0.0119
1-stearoyl-GPI (18:0),0.0108
1-oleoyl-GPI (18:1)*,0.0276
1-linoleoyl-GPI (18:2)*,0.0266
1-arachidonoyl-GPI (20:4)*,0.0108
1-stearoyl-GPS (18:0)*,0.0108
1-oleoyl-GPS (18:1),0.0398
1-palmitoyl-GPG (16:0)*,0.0274
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,0.0108
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,0.0439
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,0.0108
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,0.0114
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,0.0108
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,0.0114
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),0.0108
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,0.0111
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,0.0108
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,0.0108
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,0.0108
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,0.0122
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,0.0108
1-(1-enyl-oleoyl)-GPE (P-18:1)*,0.0108
1-(1-enyl-stearoyl)-GPE (P-18:0)*,0.0108
glycerol,0.0108
glycerol 3-phosphate,0.0108
glycerophosphoglycerol,0.0108
1-oleoylglycerol (18:1),0.0108
2-oleoylglycerol (18:1),0.0152
1-linoleoylglycerol (18:2),0.0117
2-linoleoylglycerol (18:2),0.0220
1-palmitoleoylglycerol (16:1)*,0.0443
1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*,0.0768
1-oleoyl-2-linoleoyl-glycerol (18:1/18:2),0.0536
1-oleoyl-3-linoleoyl-glycerol (18:1/18:2),0.0208
1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*,0.0144
1-palmitoyl-2-linoleoyl-glycerol (16:0/18:2)*,0.0207
1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2)*,0.0333
N-palmitoyl-sphinganine (d18:0/16:0),0.0108
sphinganine,0.0108
palmitoyl sphingomyelin (d18:1/16:0),0.0108
stearoyl sphingomyelin (d18:1/18:0),0.0108
"sphingomyelin (d18:1/18:1, d18:2/18:0)",0.0108
sphingosine,0.0108
N-palmitoyl-sphingosine (d18:1/16:0),0.0108
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",0.0108
"sphingomyelin (d18:2/14:0, d18:1/14:1)*",0.0278
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",0.0108
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",0.0114
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",0.0110
behenoyl sphingomyelin (d18:1/22:0)*,0.0108
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",0.0108
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",0.0108
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,0.0108
"sphingomyelin (d18:1/15:0, d16:1/17:0)*",0.0108
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",0.0108
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",0.0122
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",0.0108
tricosanoyl sphingomyelin (d18:1/23:0)*,0.0063
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",0.0108
glycosyl-N-stearoyl-sphingosine,0.0233
glycosyl-N-palmitoyl-sphingosine,0.0108
3-hydroxy-3-methylglutarate,0.0110
cholesterol,0.0489
4-cholesten-3-one,0.0108
campesterol,
7-hydroxycholesterol (alpha or beta),0.0420
corticosterone,0.0677
taurocholate,0.0676
taurochenodeoxycholate,0.0398
beta-muricholate,0.0398
tauro-beta-muricholate,0.0803
taurodeoxycholate,0.0422
tauroursodeoxycholate,0.0398
inosine 5'-monophosphate (IMP),0.0279
inosine,0.0108
hypoxanthine,0.0108
xanthine,0.0108
xanthosine,0.0108
2'-deoxyinosine,0.0288
urate,0.0108
allantoin,0.0231
adenosine 5'-monophosphate (AMP),0.0108
adenosine 3'-monophosphate (3'-AMP),0.0279
adenosine 2'-monophosphate (2'-AMP),0.0180
"adenosine 3',5'-diphosphate",0.0209
adenosine,0.0108
adenine,0.0111
N1-methyladenosine,0.0228
N6-succinyladenosine,0.0121
guanosine 5'- monophosphate (5'-GMP),0.0118
guanosine,0.0108
guanine,0.0108
7-methylguanine,0.0114
2'-deoxyguanosine,0.0143
N-carbamoylaspartate,0.0230
orotate,0.0108
orotidine,0.0108
uridine 5'-diphosphate (UDP),0.0108
uridine 5'-monophosphate (UMP),0.0108
uridine,0.0108
uracil,0.0108
pseudouridine,0.0130
2'-deoxyuridine,0.0142
3-ureidopropionate,0.0393
beta-alanine,0.0108
N-acetyl-beta-alanine,0.0241
cytidine 5'-monophosphate (5'-CMP),0.0109
cytidine 3'-monophosphate (3'-CMP),0.0288
cytidine,0.0108
cytosine,0.0441
3-methylcytidine,0.0130
2'-deoxycytidine,0.0108
thymidine,0.0131
3-aminoisobutyrate,0.0151
methylphosphate,0.0108
quinolinate,0.0131
nicotinamide,0.0108
nicotinamide riboside,0.0176
nicotinamide adenine dinucleotide (NAD+),0.0114
1-methylnicotinamide,0.0124
trigonelline (N'-methylnicotinate),0.0393
N1-Methyl-2-pyridone-5-carboxamide,0.0108
adenosine 5'-diphosphoribose (ADP-ribose),0.0677
riboflavin (Vitamin B2),0.0116
flavin adenine dinucleotide (FAD),0.0108
pantothenate,0.0330
phosphopantetheine,0.0714
ascorbate (Vitamin C),0.0714
dehydroascorbate,0.0108
threonate,0.0118
oxalate (ethanedioate),0.0108
gulonic acid*,0.0273
alpha-tocopherol,0.0527
gamma-tocopherol/beta-tocopherol,0.0794
heme,0.0121
thiamin (Vitamin B1),0.0114
thiamin monophosphate,0.0108
retinol (Vitamin A),0.0108
pyridoxamine,0.0108
pyridoxamine phosphate,0.0108
pyridoxal,0.0108
pyridoxate,0.0517
hippurate,0.0709
catechol sulfate,
4-ethylphenylsulfate,
4-vinylphenol sulfate,0.0231
gluconate,0.0263
beta-guanidinopropanoate,0.0896
equol sulfate,
ergothioneine,0.0624
homostachydrine*,0.0283
N-glycolylneuraminate,0.0108
stachydrine,0.0231
methyl glucopyranoside (alpha + beta),
tartronate (hydroxymalonate),0.0108
salicylate,0.0455
sulfate*,0.0108
O-sulfo-L-tyrosine,0.0121
1-(3-aminopropyl)-2-pyrrolidone,0.0398
dimethyl sulfone,0.0108
,
,
