Metabolites,q-value
3-methyl-2-oxobutyrate,0.3932
isobutyrylcarnitine,0.4826
isobutyrylglycine,0.4304
3-hydroxyisobutyrate,0.352
alpha-hydroxyisocaproate,0.3286
methionine,0.1642
N-acetylmethionine,0.0645
N-formylmethionine,0.3184
S-methylmethionine,
methionine sulfone,0.1237
methionine sulfoxide,0.1211
S-adenosylhomocysteine (SAH),0.3623
alpha-ketobutyrate,0.3258
2-aminobutyrate,0.37
cysteine,0.2302
cystine,0.3814
S-methylcysteine,0.3184
cysteine s-sulfate,0.3184
hypotaurine,0.1883
taurine,0.2896
N-acetyltaurine,0.1211
2-hydroxybutyrate/2-hydroxyisobutyrate,0.1064
arginine,0.1064
urea,0.3258
ornithine,0.2882
proline,0.1883
citrulline,0.3904
argininosuccinate,0.3184
homoarginine,0.1064
homocitrulline,0.1275
dimethylarginine (SDMA + ADMA),0.1214
N-acetylarginine,0.2944
N-acetylproline,0.2993
N-delta-acetylornithine,0.2108
"N2,N5-diacetylornithine",0.262
N-alpha-acetylornithine,0.0677
N-methylproline,0.3258
trans-4-hydroxyproline,0.4384
pro-hydroxy-pro,0.0538
N-monomethylarginine,0.1863
N-acetylcitrulline,0.4826
creatine,0.1686
creatinine,0.3241
creatine phosphate,0.1934
guanidinoacetate,0.2742
spermidine,0.4384
5-methylthioadenosine (MTA),0.1961
N-acetylputrescine,0.193
4-acetamidobutanoate,0.2871
1-methylguanidine,0.3258
4-guanidinobutanoate,0.4829
"glutathione, oxidized (GSSG)",0.4373
cysteine-glutathione disulfide,0.3788
S-methylglutathione,0.4778
5-oxoproline,0.1268
ophthalmate,0.3814
gamma-glutamylalanine,0.1211
gamma-glutamylglutamate,0.2871
gamma-glutamylglutamine,0.3716
gamma-glutamylglycine,0.4105
gamma-glutamylhistidine,0.0747
gamma-glutamylisoleucine*,0.3623
gamma-glutamylleucine,0.2882
gamma-glutamyl-epsilon-lysine,0.4306
gamma-glutamylmethionine,0.1728
gamma-glutamylphenylalanine,0.2197
gamma-glutamylthreonine*,0.1239
gamma-glutamyltryptophan,0.3184
gamma-glutamyltyrosine,0.3519
gamma-glutamylvaline,0.3184
carnosine,0.4075
N-acetylcarnosine,0.0747
anserine,0.1642
glycylvaline,0.0747
prolylglycine,0.4489
"1,5-anhydroglucitol (1,5-AG)",0.101
glucose,0.2636
3-phosphoglycerate,0.1642
phosphoenolpyruvate (PEP),0.1456
pyruvate,0.507
lactate,0.1961
glycerate,0.0618
ribose,0.2563
ribitol,0.0538
ribonate,0.1211
arabitol/xylitol,0.1569
arabonate/xylonate,0.1604
sucrose,0.4274
fructose,0.2672
mannitol/sorbitol,0.1226
mannose,0.1211
galactonate,0.29
glucuronate,0.3041
N-acetylneuraminate,0.3623
erythronate*,0.0538
N6-carboxymethyllysine,0.4384
citrate,0.2882
aconitate [cis or trans],0.0913
isocitrate,0.2097
alpha-ketoglutarate,0.1883
succinate,0.4252
fumarate,0.2207
malate,0.3184
tricarballylate,0.3127
2-methylcitrate/homocitrate,0.1064
phosphate,0.1647
caprylate (8:0),0.2147
caprate (10:0),0.4356
10-undecenoate (11:1n1),0.1211
laurate (12:0),0.32
5-dodecenoate (12:1n7),0.1276
myristate (14:0),0.3928
myristoleate (14:1n5),0.1642
pentadecanoate (15:0),0.4793
palmitate (16:0),0.3127
palmitoleate (16:1n7),0.1866
margarate (17:0),0.4075
10-heptadecenoate (17:1n7),0.3258
stearate (18:0),0.4295
nonadecanoate (19:0),0.1064
10-nonadecenoate (19:1n9),0.3509
arachidate (20:0),0.1904
eicosenoate (20:1),0.1642
erucate (22:1n9),0.1799
oleate/vaccenate (18:1),0.3515
stearidonate (18:4n3),0.0835
eicosapentaenoate (EPA; 20:5n3),0.0596
docosapentaenoate (n3 DPA; 22:5n3),0.0618
docosahexaenoate (DHA; 22:6n3),0.0538
docosatrienoate (22:3n3),0.3258
linoleate (18:2n6),0.2636
linolenate [alpha or gamma; (18:3n3 or 6)],0.3184
dihomo-linolenate (20:3n3 or n6),0.2723
arachidonate (20:4n6),0.2094
adrenate (22:4n6),0.105
docosapentaenoate (n6 DPA; 22:5n6),0.4306
docosadienoate (22:2n6),0.2742
dihomo-linoleate (20:2n6),0.3708
mead acid (20:3n9),0.2963
15-methylpalmitate,0.4356
17-methylstearate,0.1604
2-hydroxyglutarate,0.4521
2-hydroxyadipate,0.4826
maleate,0.1855
suberate (octanedioate),0.488
azelate (nonanedioate),0.2202
sebacate (decanedioate),0.3258
dodecanedioate,0.3568
tetradecanedioate,0.4044
hexadecanedioate,0.4778
octadecanedioate,0.4412
eicosanodioate,0.3184
2-aminoheptanoate,0.0747
2-aminooctanoate,0.0618
1-dihomo-linoleoylglycerol (20:2),0.4023
malonylcarnitine,0.1883
malonate,0.1239
2-methylmalonyl carnitine,0.507
butyrylcarnitine,0.2198
butyrylglycine,0.4306
propionylcarnitine,0.2969
propionylglycine,0.41
methylmalonate (MMA),0.2712
valerylglycine,0.32
hexanoylglycine,0.2296
heptanoyl glycine,0.507
N-octanoylglycine,0.1883
acetylcarnitine,0.1991
3-hydroxybutyrylcarnitine (1),0.0862
3-hydroxybutyrylcarnitine (2),0.1211
hexanoylcarnitine,0.3801
octanoylcarnitine,0.0812
decanoylcarnitine,0.0618
cis-4-decenoyl carnitine,0.1855
laurylcarnitine,0.0538
myristoylcarnitine,0.0747
palmitoylcarnitine,0.0618
stearoylcarnitine,0.1007
linoleoylcarnitine*,0.0677
oleoylcarnitine,0.0747
myristoleoylcarnitine*,0.0618
adipoylcarnitine,0.1642
"3,4-methyleneheptanoylcarnitine",0.1933
deoxycarnitine,0.2969
carnitine,0.1933
3-hydroxybutyrate (BHBA),0.1105
4-hydroxybutyrate (GHB),0.3184
2-hydroxyoctanoate,0.4698
2-hydroxydecanoate,0.4844
2-hydroxypalmitate,0.2197
2-hydroxystearate,0.042
3-hydroxyoctanoate,0.0618
3-hydroxydecanoate,0.1011
3-hydroxysebacate,0.4253
3-hydroxylaurate,0.1456
3-hydroxymyristate,0.1647
5-hydroxyhexanoate,0.4409
16-hydroxypalmitate,0.2843
14-HDoHE/17-HDoHE,0.1205
13-HODE + 9-HODE,0.4037
3-hydroxystearate,0.2642
"12,13-DiHOME",0.3392
"9,10-DiHOME",0.2335
thromboxane B2,0.285
12-HEPE,0.0538
12-HETE,0.1969
oleoyl ethanolamide,0.1282
palmitoyl ethanolamide,0.1785
stearoyl ethanolamide,0.0538
N-stearoyltaurine,0.3184
N-palmitoyltaurine,0.4829
myo-inositol,0.3127
choline,0.0737
choline phosphate,0.4307
glycerophosphorylcholine (GPC),0.21
phosphoethanolamine,0.507
glycerophosphoethanolamine,0.1043
trimethylamine N-oxide,0.3404
glycerophosphoinositol*,0.1211
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),0.1235
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),0.3725
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),0.5087
"1,2-dipalmitoyl-GPC (16:0/16:0)",0.0747
1-stearoyl-2-oleoyl-GPC (18:0/18:1),0.4712
"1,2-dioleoyl-GPC (18:1/18:1)*",0.2712
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),0.1904
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,0.1941
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,0.1211
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),0.5
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,0.1739
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),0.3401
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),0.507
1-stearoyl-2-oleoyl-GPE (18:0/18:1),0.2108
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,0.365
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),0.422
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,0.2642
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),0.11
"1,2-dioleoyl-GPE (18:1/18:1)",0.2441
1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*,0.2871
"1,2-dilinoleoyl-GPC (18:2/18:2)",0.2723
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,0.2207
"1,2-distearoyl-GPC (18:0/18:0)",0.1686
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4)*,0.422
1-palmitoyl-GPC (16:0),0.0877
2-palmitoyl-GPC (16:0)*,0.1519
1-palmitoleoyl-GPC (16:1)*,0.3258
2-palmitoleoyl-GPC (16:1)*,0.422
1-stearoyl-GPC (18:0),0.0658
1-oleoyl-GPC (18:1),0.4757
1-linoleoyl-GPC (18:2),0.2742
1-linolenoyl-GPC (18:3)*,0.21
1-arachidonoyl-GPC (20:4)*,0.2442
1-lignoceroyl-GPC (24:0),0.0538
1-palmitoyl-GPE (16:0),0.4306
1-stearoyl-GPE (18:0),0.1569
2-stearoyl-GPE (18:0)*,0.1215
1-oleoyl-GPE (18:1),0.269
1-linoleoyl-GPE (18:2)*,0.3272
1-arachidonoyl-GPE (20:4)*,0.2871
1-palmitoyl-GPI (16:0)*,0.3727
1-stearoyl-GPI (18:0),0.3184
1-oleoyl-GPI (18:1)*,0.0747
1-linoleoyl-GPI (18:2)*,0.1949
1-arachidonoyl-GPI (20:4)*,0.2848
1-stearoyl-GPS (18:0)*,0.2108
1-linoleoyl-GPS (18:2)*,0.1627
1-palmitoyl-GPA (16:0),0.1211
1-arachidonoyl-GPA (20:4),0.3886
1-palmitoyl-GPG (16:0)*,0.3886
1-oleoyl-GPG (18:1)*,0.507
1-linoleoyl-GPA (18:2)*,0.4432
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,0.4829
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,0.2903
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,0.2944
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,0.507
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,0.1642
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,0.0618
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),0.406
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,0.1872
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,0.1011
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,0.1642
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,0.1883
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,0.0491
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,0.1275
1-(1-enyl-oleoyl)-GPE (P-18:1)*,0.3127
1-(1-enyl-stearoyl)-GPE (P-18:0)*,0.3258
glycerol,0.4371
glycerol 3-phosphate,0.3184
glycerophosphoglycerol,0.1728
1-palmitoylglycerol (16:0),0.2147
2-palmitoylglycerol (16:0),0.3046
1-oleoylglycerol (18:1),0.3087
2-oleoylglycerol (18:1),0.3256
1-linoleoylglycerol (18:2),0.3439
2-linoleoylglycerol (18:2),0.3615
1-linolenoylglycerol (18:3),0.3184
1-arachidonylglycerol (20:4),0.3334
1-docosahexaenoylglycerol (22:6),0.3519
1-dihomo-linolenylglycerol (20:3),0.3615
1-palmitoleoylglycerol (16:1)*,0.2016
2-palmitoleoylglycerol (16:1)*,0.5087
1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*,0.422
1-oleoyl-2-linoleoyl-glycerol (18:1/18:2),0.3725
1-oleoyl-3-linoleoyl-glycerol (18:1/18:2),0.3404
1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*,0.4356
1-palmitoyl-2-linoleoyl-glycerol (16:0/18:2)*,0.4325
1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2)*,0.5087
N-palmitoyl-sphinganine (d18:0/16:0),0.1934
sphinganine,0.4511
palmitoyl sphingomyelin (d18:1/16:0),0.0848
stearoyl sphingomyelin (d18:1/18:0),0.0618
"sphingomyelin (d18:1/18:1, d18:2/18:0)",0.0538
sphingosine 1-phosphate,0.3716
sphingosine,0.4829
N-palmitoyl-sphingosine (d18:1/16:0),0.2119
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",0.0747
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",0.1918
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",0.0454
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",0.0538
behenoyl sphingomyelin (d18:1/22:0)*,0.0491
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",0.0454
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",0.0454
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,0.1211
"sphingomyelin (d18:1/15:0, d16:1/17:0)*",0.1094
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",0.0477
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",0.0658
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",0.0987
tricosanoyl sphingomyelin (d18:1/23:0)*,0.0618
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",0.1064
sphinganine-1-phosphate,0.3702
glycosyl-N-stearoyl-sphingosine,0.1079
glycosyl-N-palmitoyl-sphingosine,0.2882
lactosyl-N-palmitoyl-sphingosine,0.2742
3-hydroxy-3-methylglutarate,0.0618
mevalonate,0.4492
mevalonolactone,0.4334
cholesterol,0.4778
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),0.2882
beta-sitosterol,
campesterol,0.3904
7-hydroxycholesterol (alpha or beta),0.1728
corticosterone,0.498
cholate,0.4747
taurocholate,0.3814
taurochenodeoxycholate,0.2642
beta-muricholate,0.507
alpha-muricholate,0.2903
tauro-beta-muricholate,0.3982
deoxycholate,0.3024
taurodeoxycholate,0.3886
tauroursodeoxycholate,0.3814
taurohyodeoxycholic acid,0.1569
7-ketodeoxycholate,0.1799
palmitoylcholine,0.4771
inosine,0.3535
hypoxanthine,
xanthine,0.3166
xanthosine,0.279
urate,0.0747
allantoin,0.0538
allantoic acid,0.0538
adenosine 5'-monophosphate (AMP),0.4146
adenosine,0.3383
adenine,0.1569
N1-methyladenosine,0.0747
N6-carbamoylthreonyladenosine,0.0645
N6-succinyladenosine,0.3853
guanosine 5'- monophosphate (5'-GMP),0.2969
guanosine,0.3184
7-methylguanine,0.065
"N2,N2-dimethylguanosine",0.0538
orotate,0.1064
orotidine,0.1642
uridine,0.41
uracil,0.2765
pseudouridine,0.0538
5-methyluridine (ribothymidine),0.0538
2'-deoxyuridine,0.4511
3-ureidopropionate,0.2202
beta-alanine,0.1785
N-acetyl-beta-alanine,0.3401
cytidine 5'-monophosphate (5'-CMP),0.2713
cytidine,0.0913
cytosine,
5-methylcytidine,0.0538
2'-deoxycytidine,0.1211
5-methyl-2'-deoxycytidine,0.2882
thymidine,0.2882
thymine,0.0618
3-aminoisobutyrate,0.4356
quinolinate,0.1743
nicotinate ribonucleoside,0.0618
nicotinamide,0.4459
nicotinamide riboside,0.2441
1-methylnicotinamide,0.1904
trigonelline (N'-methylnicotinate),0.3626
N1-Methyl-2-pyridone-5-carboxamide,0.4899
riboflavin (Vitamin B2),0.1883
flavin adenine dinucleotide (FAD),0.507
pantothenate,0.3074
ascorbate (Vitamin C),0.2791
threonate,0.0477
oxalate (ethanedioate),0.1539
gulonic acid*,0.105
alpha-tocopherol,0.4105
gamma-tocopherol/beta-tocopherol,0.3689
biotin,0.1883
dihydrobiopterin,0.2108
heme,0.3418
"bilirubin (Z,Z)",0.3904
"bilirubin (E,E)*",0.3127
"bilirubin (E,Z or Z,E)*",0.3708
biliverdin,0.1991
thiamin (Vitamin B1),0.507
retinol (Vitamin A),0.1487
pyridoxal,0.0747
pyridoxate,0.0835
hippurate,0.105
2-hydroxyhippurate (salicylurate),
4-hydroxyhippurate,0.4793
catechol sulfate,0.1487
O-methylcatechol sulfate,
4-methylcatechol sulfate,0.3184
4-ethylphenylsulfate,0.1883
4-vinylphenol sulfate,0.433
2-piperidinone,0.2944
1H-quinolin-2-one,0.41
"2,3-dihydroxyisovalerate",0.2702
2-oxindole-3-acetate,
gluconate,0.0618
cinnamoylglycine,0.3708
daidzein,0.3184
equol glucuronide,
equol sulfate,0.0538
ergothioneine,0.4899
erythritol,0.1294
ferulic acid 4-sulfate,0.447
homostachydrine*,0.2243
indoleacrylate,0.2709
indolin-2-one,0.507
methyl indole-3-acetate,0.4655
N-glycolylneuraminate,0.4306
stachydrine,0.2651
tartarate,0.2335
methyl glucopyranoside (alpha + beta),0.5087
pyrraline,0.3427
daidzein sulfate (2),0.3184
N-acetylpyrraline,0.3184
4-ethylphenol glucuronide,
"3,4-methyleneheptanoate",0.4356
tartronate (hydroxymalonate),0.4641
salicylate,0.3258
sulfate*,0.2166
O-sulfo-L-tyrosine,0.1728
1-(3-aminopropyl)-2-pyrrolidone,0.1799
ethyl glucuronide,0.2882
2-aminophenol sulfate,
S-(3-hydroxypropyl)mercapturic acid (HPMA),0.0618
dimethyl sulfone,0.3127
N-methylpipecolate,0.4459
3-hydroxypyridine sulfate,0.3427
