Metabolites,q-value
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,0.018
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),0.018
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,0.018
1-palmitoyl-2-oleoyl-GPG (16:0/18:1),0.0202
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),0.018
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),0.018
1-stearoyl-2-oleoyl-GPE (18:0/18:1),0.0198
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,0.018
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),0.018
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,0.018
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),0.018
"1,2-dioleoyl-GPE (18:1/18:1)",0.0223
1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*,0.018
"1,2-dilinoleoyl-GPC (18:2/18:2)",0.018
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,0.018
"1,2-distearoyl-GPC (18:0/18:0)",0.0423
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,0.018
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),0.018
1-stearoyl-2-oleoyl-GPS (18:0/18:1),0.0769
1-palmitoyl-GPC (16:0),0.018
2-palmitoyl-GPC (16:0)*,0.018
1-palmitoleoyl-GPC (16:1)*,0.018
2-palmitoleoyl-GPC (16:1)*,0.018
1-stearoyl-GPC (18:0),0.018
1-oleoyl-GPC (18:1),0.018
1-linoleoyl-GPC (18:2),0.018
1-linolenoyl-GPC (18:3)*,0.0554
1-arachidonoyl-GPC (20:4n6)*,0.018
1-lignoceroyl-GPC (24:0),
1-palmitoyl-GPE (16:0),0.018
1-stearoyl-GPE (18:0),0.018
2-stearoyl-GPE (18:0)*,0.1306
1-oleoyl-GPE (18:1),0.023
1-linoleoyl-GPE (18:2)*,0.018
1-arachidonoyl-GPE (20:4n6)*,0.0183
1-palmitoyl-GPI (16:0)*,0.1041
1-stearoyl-GPI (18:0),0.1506
1-oleoyl-GPI (18:1)*,0.0417
1-linoleoyl-GPI (18:2)*,0.0406
1-arachidonoyl-GPI (20:4)*,0.1061
1-stearoyl-GPS (18:0)*,0.0969
1-oleoyl-GPS (18:1),0.0566
1-palmitoyl-GPG (16:0)*,0.0276
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,0.018
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,0.018
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,0.018
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,0.018
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,0.018
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,0.023
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),0.0643
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,0.018
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,0.018
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,0.0476
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,0.018
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,0.0395
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,0.018
1-(1-enyl-oleoyl)-GPE (P-18:1)*,0.1164
1-(1-enyl-stearoyl)-GPE (P-18:0)*,0.1101
glycerol,0.018
glycerol 3-phosphate,0.0184
glycerophosphoglycerol,0.018
1-oleoylglycerol (18:1),0.0214
2-oleoylglycerol (18:1),0.1277
1-linoleoylglycerol (18:2),0.018
2-linoleoylglycerol (18:2),0.02
1-palmitoleoylglycerol (16:1)*,0.1263
1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*,0.018
1-oleoyl-2-linoleoyl-glycerol (18:1/18:2),0.018
1-oleoyl-3-linoleoyl-glycerol (18:1/18:2),0.018
1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*,0.018
1-palmitoyl-2-linoleoyl-glycerol (16:0/18:2)*,0.018
1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2)*,0.018
N-palmitoyl-sphinganine (d18:0/16:0),0.0184
sphinganine,0.018
palmitoyl sphingomyelin (d18:1/16:0),0.018
stearoyl sphingomyelin (d18:1/18:0),0.018
"sphingomyelin (d18:1/18:1, d18:2/18:0)",0.018
sphingosine,0.018
N-palmitoyl-sphingosine (d18:1/16:0),0.018
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",0.018
"sphingomyelin (d18:2/14:0, d18:1/14:1)*",0.0389
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",0.018
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",0.018
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",0.018
behenoyl sphingomyelin (d18:1/22:0)*,0.018
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",0.018
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",0.018
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,0.018
"sphingomyelin (d18:1/15:0, d16:1/17:0)*",0.018
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",0.018
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",0.018
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",0.018
tricosanoyl sphingomyelin (d18:1/23:0)*,0.018
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",0.018
glycosyl-N-stearoyl-sphingosine,0.0389
glycosyl-N-palmitoyl-sphingosine,0.1117
3-hydroxy-3-methylglutarate,0.018
cholesterol,0.018
4-cholesten-3-one,0.018
campesterol,
7-hydroxycholesterol (alpha or beta),0.018
corticosterone,0.054
taurocholate,0.0184
taurochenodeoxycholate,0.0679
beta-muricholate,0.0679
tauro-beta-muricholate,0.0245
taurodeoxycholate,0.0735
tauroursodeoxycholate,0.0679
inosine 5'-monophosphate (IMP),0.023
inosine,0.018
hypoxanthine,0.0303
xanthine,0.0223
xanthosine,0.0546
2'-deoxyinosine,0.0395
urate,0.018
allantoin,0.018
adenosine 5'-monophosphate (AMP),0.018
adenosine 3'-monophosphate (3'-AMP),0.1479
adenosine 2'-monophosphate (2'-AMP),0.0946
"adenosine 3',5'-diphosphate",0.1234
adenosine,0.018
adenine,0.018
N1-methyladenosine,0.0376
N6-succinyladenosine,0.1368
guanosine 5'- monophosphate (5'-GMP),0.018
guanosine,0.02
guanine,0.026
7-methylguanine,0.0467
2'-deoxyguanosine,0.0276
N-carbamoylaspartate,0.0223
orotate,0.018
orotidine,0.0522
uridine 5'-diphosphate (UDP),0.018
uridine 5'-monophosphate (UMP),0.018
uridine,0.0214
uracil,0.018
pseudouridine,0.018
2'-deoxyuridine,0.0459
3-ureidopropionate,0.018
beta-alanine,0.0182
N-acetyl-beta-alanine,0.0373
cytidine 5'-monophosphate (5'-CMP),0.018
cytidine 3'-monophosphate (3'-CMP),0.018
cytidine,0.0187
cytosine,0.018
3-methylcytidine,0.0291
2'-deoxycytidine,0.0243
thymidine,0.018
3-aminoisobutyrate,0.0187
methylphosphate,0.018
quinolinate,0.0185
nicotinamide,0.018
nicotinamide riboside,0.0187
nicotinamide adenine dinucleotide (NAD+),0.1083
1-methylnicotinamide,0.018
trigonelline (N'-methylnicotinate),0.0233
N1-Methyl-2-pyridone-5-carboxamide,0.018
adenosine 5'-diphosphoribose (ADP-ribose),0.0182
riboflavin (Vitamin B2),0.0217
flavin adenine dinucleotide (FAD),0.0218
pantothenate,0.018
phosphopantetheine,0.018
ascorbate (Vitamin C),0.018
dehydroascorbate,0.0276
threonate,0.018
oxalate (ethanedioate),0.0208
gulonic acid*,0.018
alpha-tocopherol,0.0182
gamma-tocopherol/beta-tocopherol,0.0212
heme,0.018
thiamin (Vitamin B1),0.1132
thiamin monophosphate,0.018
retinol (Vitamin A),0.018
pyridoxamine,0.0623
pyridoxamine phosphate,0.0368
pyridoxal,0.102
pyridoxate,0.1207
hippurate,0.0851
catechol sulfate,
4-ethylphenylsulfate,0.0679
4-vinylphenol sulfate,0.0538
gluconate,0.039
beta-guanidinopropanoate,0.018
equol sulfate,0.0679
ergothioneine,0.018
homostachydrine*,0.018
N-glycolylneuraminate,0.018
stachydrine,0.0233
methyl glucopyranoside (alpha + beta),0.0679
tartronate (hydroxymalonate),0.0184
salicylate,0.018
sulfate*,0.018
O-sulfo-L-tyrosine,0.0373
1-(3-aminopropyl)-2-pyrrolidone,0.0679
dimethyl sulfone,0.0219
