,Fold Change,log2(FC)
glycerophosphorylcholine,1.3527,0.43579
beta-alanine,1.3525,0.43561
guanosine,1.3418,0.42412
aconitate,1.3183,0.39866
1-(1-enyl-palmitoyl)-GPE,1.317,0.39727
C-glycosyltryptophan,1.3144,0.39439
1-stearoyl-GPE,1.3142,0.39417
7-methylguanine,1.3137,0.39365
thiamin monophosphate,1.3064,0.38561
guanidinoacetate,1.3064,0.38558
proline,1.3057,0.38477
aspartate,1.2987,0.37708
galactonate,1.2986,0.37694
malate,1.2928,0.3705
fructose,1.2927,0.37041
histamine,1.29,0.36736
serine,1.261,0.3346
sphingosine,1.242,0.31267
1-palmitoyl-2-oleoyl-GPC,1.24,0.31033
3-hydroxy-3-methylglutarate,1.2394,0.30966
1-stearoyl-2-oleoyl-GPE,1.2165,0.28275
isoleucine,1.1878,0.24832
1-arachidonoyl-GPE,1.1834,0.24289
2-stearoyl-GPE,1.1802,0.23898
oleoylcarnitine,1.1548,0.20766
phenol sulfate,1.1528,0.20512
linoleoylcarnitine*,1.1456,0.19612
cytidine 5'-monophospho-N-acetylneuraminic acid,1.1399,0.18895
phosphate,1.1227,0.16702
creatinine,1.1192,0.1625
N-acetylglutamine,1.1167,0.15928
glucuronate,1.1107,0.15145
xanthosine,1.1085,0.14858
oxalate,1.1063,0.14574
isovalerylcarnitine,1.1006,0.13825
N-acetylhistidine,1.0992,0.13642
deoxycarnitine,1.097,0.13351
tartronate,1.0968,0.13326
mead acid,1.0868,0.12007
pro-hydroxy-pro,1.075,0.10429
"glutathione, oxidized (GSSG)",1.0724,0.10079
uracil,1.0712,0.099238
dimethyl,1.071,0.098957
choline phosphate,1.0642,0.089726
gamma-glutamylglutamine,1.0618,0.086532
"1,5-anhydroglucitol",1.0417,0.058908
palmitoyl sphingomyelin,1.0416,0.058783
"1,2-dioleoyl-GPE",1.0396,0.055974
citrulline,1.0333,0.047227
stachydrine,1.0308,0.043744
2-oleoylglycerol,1.0257,0.036656
"1,2-dipalmitoyl-GPC",1.0221,0.031598
docosahexaenoate,1.0221,0.031517
dihomo-linoleate,1.0159,0.022782
uridine 5'-diphosphate,1.013,0.018679
phosphoethanolamine,1.0051,0.0072746
thymidine,0.99372,-0.0090868
N-acetylthreonine,0.98443,-0.022646
gamma-glutamyl-epsilon-lysine,0.9826,-0.02532
arachidonate,0.9824,-0.025623
pyridoxamine,0.97057,-0.043092
isobutyrylcarnitine,0.96827,-0.046518
trans-4-hydroxyproline,0.9487,-0.075974
valylglycine,0.93831,-0.091861
nicotinamide adenine dinucleotide,0.93737,-0.09331
2-palmitoleoyl-GPC,0.93718,-0.093604
dihomo-linolenate,0.92583,-0.11118
alanine,0.918,-0.12344
1-(1-enyl-palmitoyl)-2-oleoyl-GPE,0.91636,-0.12601
10-nonadecenoate,0.90509,-0.14387
2-hydroxybutyrate/2-hydroxyisobutyrate,0.89664,-0.1574
2-hydroxystearate,0.88922,-0.16939
2-methylbutyrylcarnitine,0.88148,-0.18201
oleate/vaccenate,0.87625,-0.19058
acetylcarnitine,0.87209,-0.19745
homocitrulline,0.86774,-0.20466
1-stearoyl-GPC,0.86089,-0.2161
creatine phosphate,0.86013,-0.21738
ornithine,0.85836,-0.22035
2-aminoheptanoate,0.85374,-0.22814
4-guanidinobutanoate,0.85336,-0.22877
carnosine,0.84833,-0.2373
ribulose,0.83918,-0.25295
beta-hydroxyisovaleroylcarnitine,0.83335,-0.263
3-aminoisobutyrate,0.83229,-0.26484
N-acetylglutamate,0.8201,-0.28613
palmitoyl dihydrosphingomyelin,0.81793,-0.28994
oleoyl ethanolamide,0.81286,-0.29892
palmitoylcarnitine,0.80567,-0.31174
N1-Methyl-2-pyridone-5-carboxamide,0.80456,-0.31373
margarate,0.80174,-0.3188
N-palmitoyl-sphingosine,0.80074,-0.3206
1-linoleoyl-2-arachidonoyl-GPC,0.79898,-0.32376
anserine,0.79578,-0.32957
2-linoleoylglycerol,0.79371,-0.33331
eicosenoate,0.79063,-0.33893
1-oleoylglycerol,0.78302,-0.35288
adenosine,0.78289,-0.35312
gamma-glutamylalanine,0.77973,-0.35896
1-stearoyl-2-arachidonoyl-GPS,0.77456,-0.36854
trigonelline,0.77079,-0.37559
creatine,0.76577,-0.38502
hexanoylcarnitine,0.76274,-0.39074
N-delta-acetylornithine,0.76197,-0.3922
10-heptadecenoate,0.75629,-0.403
1-methylimidazoleacetate,0.75513,-0.4052
urea,0.75374,-0.40787
spermidine,0.75118,-0.41277
N-alpha-acetylornithine,0.74256,-0.42942
docosapentaenoate,0.73929,-0.43578
glycylleucine,0.73819,-0.43793
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE,0.73651,-0.44122
3-hydroxyisobutyrate,0.73234,-0.44942
malonylcarnitine,0.72907,-0.45587
stearoyl sphingomyelin,0.7273,-0.45938
N-acetylleucine,0.72218,-0.46956
N-palmitoyl-sphinganine,0.72176,-0.47042
behenoyl sphingomyelin,0.72111,-0.47172
isoleucylglycine,0.7189,-0.47613
glycylvaline,0.71703,-0.47989
cytidine 5'-monophosphate,0.70135,-0.5118
inosine 5'-monophosphate (IMP),0.698,-0.51869
p-cresol-glucuronide*,0.69756,-0.51962
phenylacetylglycine,0.69373,-0.52756
1-linoleoylglycerol,0.68843,-0.53863
sulfate*,0.68744,-0.5407
N-acetyltaurine,0.68518,-0.54545
gamma-glutamylisoleucine*,0.68505,-0.54571
1-palmitoleoyl-GPC,0.68267,-0.55074
1-palmitoyl-2-oleoyl-GPE,0.68187,-0.55243
gamma-tocopherol/beta-tocopherol,0.6784,-0.5598
docosadienoate,0.66868,-0.58062
gamma-glutamylleucine,0.6652,-0.58814
1-stearoyl-2-arachidonoyl-GPE,0.65762,-0.60467
15-methylpalmitate,0.65645,-0.60723
stearate,0.65106,-0.61914
glycerophosphoethanolamine,0.65001,-0.62147
cytidine-5'-diphosphoethanolamine,0.64654,-0.62918
propionylcarnitine,0.64377,-0.63538
arachidate,0.63865,-0.6469
sedoheptulose-7-phosphate,0.63841,-0.64744
1-(1-enyl-stearoyl)-2-linoleoyl-GPE,0.63565,-0.65368
glucose,0.63024,-0.66602
palmitate,0.62731,-0.67276
pseudouridine,0.62405,-0.68026
1-stearoyl-2-linoleoyl-GPC,0.62149,-0.6862
nonadecanoate,0.61903,-0.69192
succinylcarnitine,0.61895,-0.69211
linoleate,0.6181,-0.69409
isovalerylglycine,0.61723,-0.69612
urate,0.61307,-0.70588
4-imidazoleacetate,0.61148,-0.70961
nicotinamide,0.60548,-0.72384
4-cholesten-3-one,0.60463,-0.72589
tricosanoyl,0.59931,-0.73862
eicosapentaenoate,0.59189,-0.75659
leucylglycine,0.59079,-0.75929
palmitoyl ethanolamide,0.58488,-0.77379
3-indoxyl,0.58453,-0.77464
1-oleoyl-GPC,0.58424,-0.77537
UDP-galactose,0.58347,-0.77726
17-methylstearate,0.58227,-0.78025
5-dodecenoate,0.58176,-0.78151
1-palmitoyl-GPC,0.58004,-0.78578
succinate,0.57967,-0.7867
dimethylglycine,0.57087,-0.80878
p-cresol sulfate,0.56853,-0.81469
palmitoleate,0.56278,-0.82935
erucate,0.55372,-0.85277
UDP-glucuronate,0.55232,-0.85642
sphinganine,0.55083,-0.86033
2-palmitoyl-GPC,0.54869,-0.86595
N-glycolylneuraminate,0.54169,-0.88447
cytosine,0.54086,-0.88667
taurine,0.54056,-0.88747
1-palmitoyl-2-arachidonoyl-GPE,0.5397,-0.88976
gulonic acid*,0.53399,-0.90511
glycerol,0.53323,-0.90718
allantoin,0.5316,-0.91159
myristoleate,0.52655,-0.92536
1-oleoyl-2-linoleoyl-GPC,0.52563,-0.92787
"9,10-DiHOME",0.51796,-0.94909
1-arachidonoyl-GPC,0.50637,-0.98172
"12,13-DiHOME",0.5026,-0.99252
methylsuccinate,0.50178,-0.99487
adrenate,0.50001,-0.99997
linolenate,0.49818,-1.0053
2'-deoxyuridine,0.49679,-1.0093
2-methylbutyrylglycine,0.49401,-1.0174
1-palmitoleoyl-3-oleoyl-glycerol,0.49045,-1.0278
tetradecanedioate,0.48986,-1.0296
2-hydroxyglutarate,0.48947,-1.0307
1-palmitoleoyl-2-linoleoyl-GPC,0.48882,-1.0326
corticosterone,0.48541,-1.0427
N-formylmethionine,0.48182,-1.0534
1-palmitoyl-2-linoleoyl-GPC,0.47962,-1.06
trans-urocanate,0.47934,-1.0609
ascorbate,0.47883,-1.0624
1-oleoyl-3-linoleoyl-glycerol,0.47801,-1.0649
carnitine,0.47342,-1.0788
myristate,0.47236,-1.082
"1,2-dilinoleoyl-GPC",0.47204,-1.083
7-hydroxycholesterol,0.4693,-1.0914
myristoylcarnitine,0.4616,-1.1153
imidazole propionate,0.46095,-1.1173
hexadecanedioate,0.45928,-1.1225
octanoylcarnitine,0.45334,-1.1413
imidazole lactate,0.45324,-1.1416
1-palmitoyl-3-linoleoyl-glycerol,0.44856,-1.1566
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE,0.44839,-1.1572
3-ureidopropionate,0.44683,-1.1622
1-oleoyl-2-linoleoyl-GPE,0.4456,-1.1662
gamma-glutamylglutamate,0.43824,-1.1902
stearidonate,0.43614,-1.1971
1-linoleoyl-GPE,0.43558,-1.199
beta-guanidinopropanoate,0.43398,-1.2043
adenosine 5'-diphosphoribose,0.42741,-1.2263
taurocyamine,0.42462,-1.2358
1-palmitoleoyl-2-oleoyl-glycerol,0.4214,-1.2467
pyridoxate,0.419,-1.255
cholesterol,0.41734,-1.2607
alpha-ketoglutarate,0.41386,-1.2728
1-stearoyl-2-arachidonoyl-GPI,0.39968,-1.3231
alpha-tocopherol,0.39561,-1.3379
1-stearoyl-2-linoleoyl-GPE,0.39281,-1.3481
phenyllactate,0.39176,-1.3519
ergothioneine,0.39003,-1.3583
cytidine 3'-monophosphate,0.38707,-1.3693
1-oleoyl-2-linoleoyl-glycerol,0.38681,-1.3703
stearoyl ethanolamide,0.38191,-1.3887
maltose,0.37045,-1.4327
hexanoylglycine,0.36883,-1.439
phenylalanylglycine,0.36759,-1.4438
pantothenate,0.36498,-1.4541
indolelactate,0.36462,-1.4555
sebacate,0.36292,-1.4623
pyroglutamine*,0.34902,-1.5186
azelate,0.34726,-1.5259
maltotriose,0.34323,-1.5427
3-hydroxybutyrate,0.34113,-1.5516
1-palmitoyl-2-linoleoyl-GPE,0.33949,-1.5586
laurylcarnitine,0.33801,-1.5649
tryptophan,0.33542,-1.576
1-palmitoyl-2-linoleoyl-glycerol,0.33532,-1.5764
hippurate,0.3188,-1.6493
N-acetylglycine,0.31511,-1.6661
1-linolenoyl-GPC,0.30794,-1.6993
arachidonoyl ethanolamide,0.30641,-1.7065
isocitrate,0.30632,-1.7069
1-linoleoyl-GPC,0.30229,-1.726
salicylate,0.29739,-1.7496
16-hydroxypalmitate,0.2943,-1.7647
1-methylnicotinamide,0.29277,-1.7722
phosphopantetheine,0.26831,-1.8981
guanosine 5'- monophosphate,0.24658,-2.0199
decanoylcarnitine,0.24361,-2.0374
3-hydroxybutyrylcarnitine,0.23849,-2.068
retinol,0.2265,-2.1424
heme,0.21903,-2.1908
uridine 5'-monophosphate,0.19968,-2.3242
homostachydrine*,0.18837,-2.4084
sucrose,0.18511,-2.4335
adenosine 5'-monophosphate,0.15653,-2.6755
"glutathione, reduced (GSH)",0.097489,-3.3586
tauro-beta-muricholate,0.024801,-5.3334
taurocholate,0.023737,-5.3967
