Metabolites,q-value
N-acetylmethionine,0.1118
N-formylmethionine,0.1427
S-methylmethionine,0.4308
methionine sulfoxide,0.2739
N-acetylmethionine sulfoxide,0.3523
S-adenosylmethionine (SAM),0.1621
S-adenosylhomocysteine (SAH),0.0705
cystathionine,0.0797
2-aminobutyrate,0.4105
cysteine,0.2549
S-methylcysteine,0.0859
cysteine sulfinic acid,0.1778
hypotaurine,0.0407
taurine,0.0943
N-acetyltaurine,0.0794
taurocyamine,0.1689
2-hydroxybutyrate/2-hydroxyisobutyrate,0.4636
arginine,0.313
urea,0.3061
ornithine,0.4664
proline,0.4664
citrulline,0.1689
argininosuccinate,0.1118
homoarginine,0.1118
homocitrulline,0.3625
dimethylarginine (SDMA + ADMA),0.4521
N-acetylarginine,0.2943
N-delta-acetylornithine,0.2606
N-alpha-acetylornithine,0.1778
N-methylproline,0.2032
trans-4-hydroxyproline,0.3194
pro-hydroxy-pro,0.3061
N-monomethylarginine,0.363
N-acetylcitrulline,0.2072
creatine,0.0991
creatinine,0.3571
guanidinoacetate,0.3194
putrescine,0.2178
spermidine,0.3257
5-methylthioadenosine (MTA),0.2753
N-acetylputrescine,0.3154
4-guanidinobutanoate,0.4105
guanidinosuccinate,0.1721
"glutathione, reduced (GSH)",0.1288
"glutathione, oxidized (GSSG)",0.2437
cysteine-glutathione disulfide,0.1778
S-methylglutathione,0.1444
S-lactoylglutathione,0.3371
cysteinylglycine,0.0973
5-oxoproline,0.1202
ophthalmate,0.2753
4-hydroxy-nonenal-glutathione,0.0495
gamma-glutamylalanine,0.143
gamma-glutamylcysteine,0.391
gamma-glutamylglutamate,0.1213
gamma-glutamylglutamine,0.3174
gamma-glutamylglycine,0.2343
gamma-glutamylhistidine,0.1422
gamma-glutamylisoleucine*,0.1817
gamma-glutamylleucine,0.1787
gamma-glutamyl-epsilon-lysine,0.0705
gamma-glutamylmethionine,0.3064
gamma-glutamylphenylalanine,0.422
gamma-glutamylthreonine*,0.4478
gamma-glutamyltryptophan,0.2496
gamma-glutamyltyrosine,0.1249
gamma-glutamylvaline,0.2726
gamma-glutamyl-2-aminobutyrate,0.4167
carnosine,0.4119
anserine,0.4592
alanylleucine,0.3316
glycylisoleucine,0.4256
glycylleucine,0.3646
glycylvaline,0.2321
isoleucylglycine,0.2889
leucylglycine,0.2165
phenylalanylalanine,0.3953
phenylalanylglycine,0.3921
prolylglycine,0.391
valylglutamine,0.2343
valylglycine,0.3194
valylleucine,0.4028
leucylglutamine*,0.2606
"1,5-anhydroglucitol (1,5-AG)",0.4644
glucose,0.3371
glucose 6-phosphate,0.1367
fructose-6-phosphate,0.2615
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",0.3373
dihydroxyacetone phosphate (DHAP),0.2394
2-phosphoglycerate,0.2336
3-phosphoglycerate,0.1048
phosphoenolpyruvate (PEP),0.3846
pyruvate,0.1964
lactate,0.4173
glycerate,0.3316
6-phosphogluconate,0.3263
ribose 1-phosphate,0.3779
sedoheptulose-7-phosphate,0.1239
ribose,0.0947
ribitol,0.1921
ribonate,0.0705
adenosine-5'-diphosphoglucose,0.3716
arabitol/xylitol,0.2124
ribulose/xylulose,0.164
arabonate/xylonate,0.0221
maltohexaose,0.3625
maltopentaose,0.2032
maltotetraose,0.1995
maltotriose,0.2422
maltose,0.3846
fructose,0.3154
mannitol/sorbitol,0.2321
mannose,0.1921
galactonate,0.363
UDP-glucose,0.3194
UDP-galactose,0.4664
UDP-glucuronate,0.2214
UDP-N-acetylglucosamine,0.363
UDP-N-acetylgalactosamine,0.4664
glucosamine-6-phosphate,0.143
glucuronate,0.2494
N-acetylglucosamine 6-phosphate,0.2982
N-acetyl-glucosamine 1-phosphate,0.3309
N-acetylneuraminate,0.4124
N-acetylglucosaminylasparagine,0.1026
erythronate*,0.024
citrate,0.3571
isocitrate,0.2756
alpha-ketoglutarate,0.2463
succinylcarnitine,0.4592
fumarate,0.3257
malate,0.4104
tricarballylate,0.3194
2-methylcitrate/homocitrate,0.3716
acetylphosphate,0.1382
phosphate,0.0792
10-undecenoate (11:1n1),0.2831
5-dodecenoate (12:1n7),0.3779
myristate (14:0),0.3263
myristoleate (14:1n5),0.3279
palmitate (16:0),0.1964
palmitoleate (16:1n7),0.3154
margarate (17:0),0.3154
10-heptadecenoate (17:1n7),0.3174
stearate (18:0),0.3157
nonadecanoate (19:0),0.2897
10-nonadecenoate (19:1n9),0.4168
arachidate (20:0),0.3839
eicosenoate (20:1),0.3997
erucate (22:1n9),0.391
nervonate (24:1n9)*,0.1721
oleate/vaccenate (18:1),0.2889
stearidonate (18:4n3),0.0256
eicosapentaenoate (EPA; 20:5n3),0.0892
docosapentaenoate (n3 DPA; 22:5n3),0.1118
docosahexaenoate (DHA; 22:6n3),0.1943
docosatrienoate (22:3n3),0.3083
linoleate (18:2n6),0.1422
linolenate [alpha or gamma; (18:3n3 or 6)],0.1029
dihomo-linolenate (20:3n3 or n6),0.2897
arachidonate (20:4n6),0.3134
adrenate (22:4n6),0.4119
docosapentaenoate (n6 DPA; 22:5n6),0.4119
docosadienoate (22:2n6),0.4119
dihomo-linoleate (20:2n6),0.4094
15-methylpalmitate,0.4118
17-methylstearate,0.4298
2-hydroxyglutarate,0.4314
adipate,0.1121
2-hydroxyadipate,0.3625
azelate (nonanedioate),0.3157
sebacate (decanedioate),0.392
tetradecanedioate,0.4246
hexadecanedioate,0.3905
2-aminoheptanoate,0.3905
2-aminooctanoate,0.2817
malonylcarnitine,0.3405
butyrylcarnitine,0.1249
butyrylglycine,0.3154
propionyl CoA,0.3588
propionylcarnitine,0.3907
propionylglycine,0.0849
methylmalonate (MMA),0.2321
valerylglycine,0.0742
hexanoylglycine,0.3631
N-octanoylglycine,0.2615
acetylcarnitine,0.143
3-hydroxybutyrylcarnitine (1),0.1118
3-hydroxybutyrylcarnitine (2),0.1964
myristoylcarnitine,0.2
palmitoylcarnitine,0.3631
stearoylcarnitine,0.4196
linoleoylcarnitine*,0.3171
oleoylcarnitine,0.3342
pimeloylcarnitine,0.1427
adipoylcarnitine,0.3905
deoxycarnitine,0.4592
carnitine,0.3523
3-hydroxybutyrate (BHBA),0.15
2-hydroxystearate,0.2897
3-hydroxyoctanoate,0.2629
3-hydroxymyristate,0.0845
3-hydroxypalmitate,0.1202
16-hydroxypalmitate,0.3061
13-HODE + 9-HODE,0.2892
"12,13-DiHOME",0.3373
"9,10-DiHOME",0.15
oleoyl ethanolamide,0.4164
palmitoyl ethanolamide,0.1995
stearoyl ethanolamide,0.0657
N-oleoyltaurine,0.4131
N-palmitoyltaurine,0.3194
myo-inositol,0.128
inositol 1-phosphate (I1P),0.15
choline,0.0407
choline phosphate,0.0705
cytidine 5'-diphosphocholine,0.0473
glycerophosphorylcholine (GPC),0.1778
phosphoethanolamine,0.15
cytidine-5'-diphosphoethanolamine,0.0221
glycerophosphoethanolamine,0.1118
trimethylamine N-oxide,0.3903
glycerophosphoinositol*,0.0221
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),0.2336
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),0.4636
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)*,0.0942
"1,2-dipalmitoyl-GPC (16:0/16:0)",0.0792
1-stearoyl-2-oleoyl-GPC (18:0/18:1),0.4136
"1,2-dioleoyl-GPC (18:1/18:1)*",0.0943
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),0.3058
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,0.3937
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,0.2494
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),0.3061
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,0.1675
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),0.0705
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,0.2
1-palmitoyl-2-oleoyl-GPG (16:0/18:1),0.1745
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),0.1683
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),0.143
1-stearoyl-2-oleoyl-GPE (18:0/18:1),0.2615
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,0.0705
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),0.0859
1-palmitoyl-2-linoleoyl-GPG (16:0/18:2),0.0221
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,0.1778
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),0.0705
"1,2-dioleoyl-GPE (18:1/18:1)",0.3309
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,0.0947
1-palmitoyl-2-linolenoyl-GPC (16:0/18:3)*,0.3523
1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*,0.272
"1,2-dilinoleoyl-GPC (18:2/18:2)",0.2149
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,0.3157
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4)*,0.1026
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),0.4119
1-palmitoyl-GPC (16:0),0.0859
2-palmitoyl-GPC (16:0)*,0.3263
1-palmitoleoyl-GPC (16:1)*,0.128
2-palmitoleoyl-GPC (16:1)*,0.0473
1-stearoyl-GPC (18:0),0.1239
1-oleoyl-GPC (18:1),0.2197
1-linoleoyl-GPC (18:2),0.1118
1-linolenoyl-GPC (18:3)*,0.0792
1-arachidonoyl-GPC (20:4)*,0.3334
1-palmitoyl-GPE (16:0),0.0221
1-stearoyl-GPE (18:0),0.054
2-stearoyl-GPE (18:0)*,0.15
1-oleoyl-GPE (18:1),0.0518
1-linoleoyl-GPE (18:2)*,0.0221
1-arachidonoyl-GPE (20:4)*,0.1876
1-palmitoyl-GPI (16:0)*,0.0407
1-stearoyl-GPI (18:0),0.0916
1-oleoyl-GPI (18:1)*,0.4664
1-linoleoyl-GPI (18:2)*,0.0657
1-arachidonoyl-GPI (20:4)*,0.1118
1-stearoyl-GPS (18:0)*,0.3174
1-palmitoyl-GPG (16:0)*,0.0705
1-palmitoyl-GPS (16:0)*,0.3731
1-stearoyl-GPG (18:0),0.1117
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,0.1544
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,0.4162
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,0.2032
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,0.0905
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,0.0859
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,0.1123
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,0.4119
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,0.0705
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,0.2093
1-(1-enyl-stearoyl)-GPE (P-18:0)*,0.3828
glycerol,0.0647
glycerol 3-phosphate,0.4587
glycerophosphoglycerol,0.0705
1-palmitoylglycerol (16:0),0.4231
2-palmitoylglycerol (16:0),0.1249
1-oleoylglycerol (18:1),0.3265
2-oleoylglycerol (18:1),0.4343
1-linoleoylglycerol (18:2),0.2469
2-linoleoylglycerol (18:2),0.313
1-arachidonylglycerol (20:4),0.4644
2-arachidonoylglycerol (20:4),0.2222
1-docosahexaenoylglycerol (22:6),0.3782
1-dihomo-linolenylglycerol (20:3),0.4118
2-docosahexaenoylglycerol (22:6)*,0.3581
1-palmitoleoylglycerol (16:1)*,0.3309
2-palmitoleoylglycerol (16:1)*,0.3342
1-oleoyl-2-linoleoyl-glycerol (18:1/18:2),0.272
1-oleoyl-3-linoleoyl-glycerol (18:1/18:2),0.1995
1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1)*,0.3961
1-palmitoyl-2-linoleoyl-glycerol (16:0/18:2)*,0.1621
1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2)*,0.1262
N-palmitoyl-sphinganine (d18:0/16:0),0.4319
sphinganine,0.3553
palmitoyl sphingomyelin (d18:1/16:0),0.2321
stearoyl sphingomyelin (d18:1/18:0),0.4551
"sphingomyelin (d18:1/18:1, d18:2/18:0)",0.4241
sphingosine 1-phosphate,0.4119
sphingosine,0.3171
N-palmitoyl-sphingosine (d18:1/16:0),0.3061
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",0.4664
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",0.2899
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",0.4119
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",0.1654
behenoyl sphingomyelin (d18:1/22:0)*,0.0862
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",0.4664
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",0.1202
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,0.2897
"sphingomyelin (d18:1/15:0, d16:1/17:0)*",0.2793
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",0.078
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",0.1367
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",0.1789
tricosanoyl sphingomyelin (d18:1/23:0)*,0.0448
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",0.1621
glycosyl-N-stearoyl-sphingosine,0.0585
glycosyl-N-palmitoyl-sphingosine,0.1118
3-hydroxy-3-methylglutarate,0.2032
cholesterol,0.3846
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),0.4187
campesterol,0.4119
7-hydroxycholesterol (alpha or beta),0.1478
corticosterone,0.4233
cholate,0.4246
glycocholate,0.1607
taurocholate,0.3828
chenodeoxycholate,0.3723
taurochenodeoxycholate,0.272
beta-muricholate,0.3663
alpha-muricholate,0.3967
tauro-beta-muricholate,0.3349
deoxycholate,0.3779
taurodeoxycholate,0.3961
6-beta-hydroxylithocholate,0.2469
taurolithocholate,0.3309
ursodeoxycholate,0.4119
tauroursodeoxycholate,0.3721
6-oxolithocholate,0.201
hyodeoxycholate,0.1654
taurohyodeoxycholic acid,0.2469
7-ketodeoxycholate,0.391
palmitoylcholine,0.0407
AICA ribonucleotide,0.2615
inosine 5'-monophosphate (IMP),0.1943
inosine,0.3309
hypoxanthine,0.1029
xanthine,0.0794
xanthosine,0.0221
2'-deoxyinosine,0.4045
urate,0.2619
allantoin,0.0407
adenosine 5'-diphosphate (ADP),0.3625
adenosine 5'-monophosphate (AMP),0.1118
adenosine 3'-monophosphate (3'-AMP),0.3625
adenosine 2'-monophosphate (2'-AMP),0.4105
"adenosine 3',5'-cyclic monophosphate (cAMP)",0.272
"adenosine 3',5'-diphosphate",0.3367
adenylosuccinate,0.1654
adenosine,0.3174
adenine,0.0973
N1-methyladenosine,0.0221
N6-carbamoylthreonyladenosine,0.0221
2'-deoxyadenosine 5'-monophosphate,0.313
N6-succinyladenosine,0.2982
guanosine 5'- monophosphate (5'-GMP),0.1685
guanosine,0.357
guanine,0.3625
7-methylguanine,0.1301
2'-deoxyguanosine,0.1964
orotate,0.0705
orotidine,0.3326
uridine 5'-monophosphate (UMP),0.0947
uridine 3'-monophosphate (3'-UMP),0.3373
"uridine-2',3'-cyclic monophosphate",0.1427
uridine,0.4587
uracil,0.125
pseudouridine,0.054
5-methyluridine (ribothymidine),0.1251
3-ureidopropionate,0.3553
beta-alanine,0.1251
cytidine 5'-monophosphate (5'-CMP),0.4028
cytidine 3'-monophosphate (3'-CMP),0.3365
cytidine,0.0705
cytosine,0.0947
3-methylcytidine,0.0705
2'-deoxycytidine 5'-monophosphate,0.2494
2'-deoxycytidine,0.3942
5-methyl-2'-deoxycytidine,0.15
thymidine,0.2711
thymine,0.1288
3-aminoisobutyrate,0.3967
methylphosphate,0.2322
quinolinate,0.2974
nicotinamide,0.357
nicotinamide ribonucleotide (NMN),0.2982
nicotinamide adenine dinucleotide (NAD+),0.2472
1-methylnicotinamide,0.3279
trigonelline (N'-methylnicotinate),0.391
N1-Methyl-2-pyridone-5-carboxamide,0.3965
adenosine 5'-diphosphoribose (ADP-ribose),0.4119
riboflavin (Vitamin B2),0.0705
flavin adenine dinucleotide (FAD),0.1202
flavin mononucleotide (FMN),0.0925
pantothenate,0.024
phosphopantetheine,0.3781
3'-dephosphocoenzyme A,0.0585
coenzyme A,0.2974
ascorbate (Vitamin C),0.1026
dehydroascorbate,0.349
threonate,0.1777
oxalate (ethanedioate),0.1778
gulonic acid*,0.2779
alpha-tocopherol,0.0794
gamma-tocopherol/beta-tocopherol,0.0705
"7,8-dihydrofolate",0.0705
5-methyltetrahydrofolate (5MeTHF),0.0229
biopterin,0.1996
dihydrobiopterin,0.2321
pterin,0.3371
heme,0.0705
biliverdin,0.1887
thiamin (Vitamin B1),0.0925
thiamin monophosphate,0.431
thiamin diphosphate,0.0775
retinol (Vitamin A),0.0845
pyridoxamine,0.1029
pyridoxamine phosphate,0.1778
pyridoxal phosphate,0.3837
pyridoxal,0.1072
pyridoxate,0.2943
hippurate,0.3625
catechol sulfate,
4-ethylphenylsulfate,0.3064
4-vinylphenol sulfate,0.4664
genistein,
retinal,0.0495
gluconate,0.128
beta-guanidinopropanoate,0.3813
daidzein,
equol,
equol glucuronide,
equol sulfate,0.1251
ergothioneine,0.3441
erythritol,0.1689
ferulic acid 4-sulfate,
homostachydrine*,0.0764
N-glycolylneuraminate,0.3174
stachydrine,0.3061
methyl glucopyranoside (alpha + beta),0.0947
tartronate (hydroxymalonate),0.1903
salicylate,0.3263
sulfate*,0.3953
O-sulfo-L-tyrosine,0.15
1-(3-aminopropyl)-2-pyrrolidone,0.4664
S-(3-hydroxypropyl)mercapturic acid (HPMA),0.4334
dimethyl sulfone,0.1943
