
 Univariate Analysis Result for each variable/metabolite

[NOTE]
    p-value is calculated with t-test as a default.
    p-value with (W) is calculated by the Wilcoxon Mann Whitney test


"Name","Mean (SD) of 
HFD_Tx","Mean (SD) of 
HFD_Veh","p-value","q-value (FDR)","Fold Change","HFD_Tx/HFD_Veh"
"trigonelline","0.029 (0.191)","-0.029 (0.430)","0.8144 ","0.8593","1","Up"
"trimethylamine N-oxide","0.101 (0.319)","-0.101 (0.308)","0.3992 ","0.5091","1","Up"
"tryptophan","-0.263 (0.414)","0.263 (0.024)","0.0842 ","0.1733","1","Down"
"tyrosine","0.224 (0.227)","-0.224 (0.263)","0.0419 ","0.1298","1","Up"
"UDP-galactose","0.060 (0.238)","-0.060 (0.543)","0.7000 ","0.7678","1","Up"
"UDP-glucose","0.206 (0.236)","-0.206 (0.324)","0.0857 ","0.1754","1","Up"
"UDP-N-acetylgalactosamine","0.214 (0.282)","-0.214 (0.191)","0.0458 ","0.1346","1","Up"
"UDP-N-acetylglucosamine","0.217 (0.225)","-0.217 (0.246)","0.0406 ","0.1298","1","Up"
"uracil","0.102 (0.281)","-0.102 (0.383)","0.4231 ","0.5336","1","Up"
"urate","-0.182 (0.395)","0.182 (0.238)","0.1651 ","0.2618","1","Down"
"urea","-0.167 (0.471)","0.167 (0.223)","0.2462 ","0.3559","1","Down"
"uridine","0.350 (0.264)","-0.350 (0.155)","0.0286 (W)","0.1080","1","Up"
"uridine 5'-diphosphate","0.054 (0.077)","-0.054 (0.472)","0.6800 ","0.7522","1","Up"
"uridine 5'-monophosphate","-0.337 (0.404)","0.337 (0.097)","0.0407 ","0.1298","1","Down"
"valine","0.277 (0.450)","-0.277 (0.093)","0.0886 ","0.1772","1","Up"
"xanthine","0.324 (0.147)","-0.324 (0.239)","0.0286 (W)","0.1080","1","Up"
"xanthosine","0.112 (0.124)","-0.112 (0.496)","0.4373 ","0.5441","1","Up"
