"","p.value","-log10(p)","FDR","Tukey's HSD"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*",0.003525,2.4528,0.017285,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"glycerophosphoinositol*",0.0035736,2.4469,0.017315,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*",0.0036748,2.4348,0.017596,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"3-hydroxybutyrate (BHBA)",0.0037276,2.4286,0.017641,"ND_Veh-HFD_Veh"
"hypotaurine",0.0038428,2.4154,0.017977,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"2-aminobutyrate",0.0042834,2.3682,0.019593,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-oleoyl-GPE (18:1)",0.0042844,2.3681,0.019593,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",0.0044883,2.3479,0.020297,"ND_Veh-HFD_Veh"
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)",0.0048601,2.3134,0.021737,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"uridine 5'-monophosphate (UMP)",0.0053467,2.2719,0.023653,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)",0.0057997,2.2366,0.025382,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)",0.0060873,2.2156,0.026357,"ND_Veh-HFD_Tx"
"homocitrulline",0.006506,2.1867,0.027873,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"docosapentaenoate (n3 DPA; 22:5n3)",0.0070166,2.1539,0.029719,"ND_Veh-HFD_Tx"
"kynurenine",0.0071453,2.146,0.029719,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"saccharopine",0.0071558,2.1453,0.029719,"ND_Veh-HFD_Tx"
"phosphoethanolamine",0.00725,2.1397,0.029805,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"2-oleoylglycerol (18:1)",0.007423,2.1294,0.030212,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"N-acetylmethionine",0.0079849,2.0977,0.032177,"ND_Veh-HFD_Veh"
"cystathionine",0.0081709,2.0877,0.032378,"ND_Veh-HFD_Tx"
"N2-acetyllysine/N6-acetyllysine",0.0081939,2.0865,0.032378,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"ethylmalonate",0.0085071,2.0702,0.033292,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"glycerol",0.0091128,2.0403,0.035125,"HFD_Veh-HFD_Tx"
"linoleate (18:2n6)",0.0091479,2.0387,0.035125,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"guanosine 5'- monophosphate (5'-GMP)",0.0093386,2.0297,0.035486,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"inosine 5'-monophosphate (IMP)",0.0094166,2.0261,0.035486,"ND_Veh-HFD_Veh"
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",0.0096654,2.0148,0.03609,"HFD_Veh-HFD_Tx"
"1-linolenoyl-GPC (18:3)*",0.010897,1.9627,0.040321,"ND_Veh-HFD_Tx"
"myo-inositol",0.01102,1.9578,0.040408,"HFD_Veh-HFD_Tx"
"gamma-tocopherol/beta-tocopherol",0.011355,1.9448,0.041263,"ND_Veh-HFD_Tx"
"sedoheptulose-7-phosphate",0.01186,1.9259,0.042372,"ND_Veh-HFD_Tx"
"15-methylpalmitate",0.011868,1.9256,0.042372,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"6-oxopiperidine-2-carboxylic acid",0.012134,1.916,0.042797,"ND_Veh-HFD_Tx"
"guanidinosuccinate",0.012198,1.9137,0.042797,"ND_Veh-HFD_Veh"
"taurocyamine",0.012392,1.9069,0.043079,"ND_Veh-HFD_Veh"
"cysteine",0.01249,1.9034,0.043079,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"adenosine 5'-monophosphate (AMP)",0.013215,1.8789,0.045196,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",0.013576,1.8672,0.046046,"ND_Veh-HFD_Veh"
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*",0.013842,1.8588,0.04656,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"gamma-glutamylcysteine",0.013993,1.8541,0.046681,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"12,13-DiHOME",0.014292,1.8449,0.04729,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*",0.015575,1.8076,0.05112,"ND_Veh-HFD_Veh"
"nervonate (24:1n9)*",0.015981,1.7964,0.052035,"ND_Veh-HFD_Veh"
"glycosyl-N-palmitoyl-sphingosine",0.016249,1.7892,0.052487,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"N-acetylhistidine",0.016489,1.7828,0.052843,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"butyrylglycine",0.017163,1.7654,0.054571,"ND_Veh-HFD_Tx"
"glutamate",0.018652,1.7293,0.05864,"ND_Veh-HFD_Tx"
"isocitrate",0.01873,1.7275,0.05864,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"3-hydroxyisobutyrate",0.019076,1.7195,0.059267,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"N-acetylglycine",0.019461,1.7108,0.059687,"HFD_Veh-HFD_Tx"
"UDP-glucose",0.019504,1.7099,0.059687,"ND_Veh-HFD_Veh"
"stearoylcarnitine",0.02067,1.6847,0.062543,"ND_Veh-HFD_Tx"
"1-methylimidazoleacetate",0.020745,1.6831,0.062543,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"guanosine",0.021307,1.6715,0.063765,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"glucosamine-6-phosphate",0.021641,1.6647,0.06429,"ND_Veh-HFD_Tx"
"serotonin",0.022033,1.6569,0.064982,"ND_Veh-HFD_Tx"
"3-hydroxybutyrylcarnitine (1)",0.022514,1.6475,0.065702,"ND_Veh-HFD_Veh"
"xanthosine",0.0226,1.6459,0.065702,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Tx"
"allantoin",0.022998,1.6383,0.066385,"HFD_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"docosapentaenoate (n6 DPA; 22:5n6)",0.023713,1.625,0.067965,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"galactonate",0.024234,1.6156,0.068803,"ND_Veh-HFD_Tx; ND_Veh-HFD_Veh"
"leucylglutamine*",0.024343,1.6136,0.068803,"ND_Veh-HFD_Tx"
"ribonate",0.024754,1.6064,0.069482,"ND_Veh-HFD_Tx"
"hexanoylglycine",0.026835,1.5713,0.074806,"ND_Veh-HFD_Veh"
"sulfate*",0.027174,1.5659,0.075236,"ND_Veh-HFD_Tx"
"beta-hydroxyisovaleroylcarnitine",0.0284,1.5467,0.0781,"ND_Veh-HFD_Tx"
"glycerophosphoethanolamine",0.029292,1.5333,0.079551,"HFD_Veh-HFD_Tx"
"pimeloylcarnitine",0.029319,1.5329,0.079551,"ND_Veh-HFD_Tx"
"1-linoleoyl-GPC (18:2)",0.029797,1.5258,0.080229,"ND_Veh-HFD_Tx"
"glucose 6-phosphate",0.029963,1.5234,0.080229,"ND_Veh-HFD_Tx"
"glutamine",0.03074,1.5123,0.081773,"ND_Veh-HFD_Tx"
"thiamin (Vitamin B1)",0.033441,1.4757,0.08838,"ND_Veh-HFD_Tx"
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*",0.034336,1.4643,0.090159,"HFD_Veh-HFD_Tx"
"cysteinylglycine",0.035244,1.4529,0.091952,"ND_Veh-HFD_Tx"
"1-methylhistamine",0.035749,1.4467,0.092675,"ND_Veh-HFD_Tx"
"creatine",0.036145,1.442,0.093106,"HFD_Veh-HFD_Tx"
"1-stearoyl-GPE (18:0)",0.038058,1.4196,0.097152,""
"gamma-glutamyl-epsilon-lysine",0.038192,1.418,0.097152,"HFD_Veh-HFD_Tx"
"gamma-glutamylleucine",0.040885,1.3884,0.10335,"ND_Veh-HFD_Tx"
"malate",0.043395,1.3626,0.10902,"ND_Veh-HFD_Tx"
"N-methyl-4-aminobutyric acid",0.045286,1.344,0.11308,"ND_Veh-HFD_Tx"
"glutamate, gamma-methyl ester",0.046408,1.3334,0.11517,"ND_Veh-HFD_Tx"
"3-methylcytidine",0.047444,1.3238,0.11703,""
"fumarate",0.048859,1.3111,0.11916,""
"pyridoxamine phosphate",0.048892,1.3108,0.11916,""
"xanthine",0.049339,1.3068,0.11953,"ND_Veh-HFD_Veh"
"anserine",0.049749,1.3032,0.11981,"ND_Veh-HFD_Tx"
