Wrnip1	NA	Wrnip1	Werner helicase interacting protein 1	78903	ENSMUSG00000021400

Wbscr16	NA	Wbscr16	Williams-Beuren syndrome chromosome region 16 homolog (human)	94254	ENSMUSG00000061979

Rnh1	NA	Rnh1	ribonuclease/angiogenin inhibitor 1	107702	ENSMUSG00000038650

Prss54	NA	Prss54	protease, serine, 54	70993	ENSMUSG00000048400

Cox6b2	NA	Cox6b2	cytochrome c oxidase subunit VIb polypeptide 2	333182	ENSMUSG00000051811

Slc37a2	NA	Slc37a2	solute carrier family 37 (glycerol-3-phosphate transporter), member 2	56857	ENSMUSG00000032122

Hp1bp3	NA	Hp1bp3	heterochromatin protein 1, binding protein 3	15441	ENSMUSG00000028759

Ubd	NA	Ubd	ubiquitin D	24108	ENSMUSG00000035186

Cltc	NA	Cltc	clathrin, heavy polypeptide (Hc)	67300	ENSMUSG00000047126

Tnfrsf13c	NA	Tnfrsf13c	tumor necrosis factor receptor superfamily, member 13c	72049	ENSMUSG00000068105

Adam8	NA	Adam8	a disintegrin and metallopeptidase domain 8	11501	ENSMUSG00000025473

Dsg1a	NA	Dsg1a	desmoglein 1 alpha	13510	ENSMUSG00000069441

Dnajb13	NA	Dnajb13	DnaJ (Hsp40) related, subfamily B, member 13	69387	ENSMUSG00000030708

Adam5	NA	Adam5	a disintegrin and metallopeptidase domain 5	11499	ENSMUSG00000031554

Sox5	NA	Sox5	SRY-box containing gene 5	20678	ENSMUSG00000041540

B4galt1	NA	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	14595	ENSMUSG00000028413

Poln	NA	Poln	DNA polymerase N	272158	ENSMUSG00000045102

Inmt	NA	Inmt	indolethylamine N-methyltransferase	21743	ENSMUSG00000003477

Ccnb2	NA	Ccnb2	cyclin B2	12442	ENSMUSG00000032218

Mettl7a1	NA	Mettl7a1	methyltransferase like 7A1	70152	ENSMUSG00000054619

Sfrp5	NA	Sfrp5	secreted frizzled-related sequence protein 5	54612	ENSMUSG00000018822

Atp1a4	NA	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	27222	ENSMUSG00000007107

Amph	NA	Amph	amphiphysin	218038	ENSMUSG00000021314

Dna2	NA	Dna2	DNA replication helicase 2 homolog (yeast)	327762	ENSMUSG00000036875

Dusp4	NA	Dusp4	dual specificity phosphatase 4	319520	ENSMUSG00000031530

Mmp12	NA	Mmp12	matrix metallopeptidase 12	17381	ENSMUSG00000049723

Kif5a	NA	Kif5a	kinesin family member 5A	16572	ENSMUSG00000074657

Khk	NA	Khk	ketohexokinase	16548	ENSMUSG00000029162

Clk1	NA	Clk1	CDC-like kinase 1	12747	ENSMUSG00000026034

Adam33	NA	Adam33	a disintegrin and metallopeptidase domain 33	110751	ENSMUSG00000027318

Amfr	NA	Amfr	autocrine motility factor receptor	23802	ENSMUSG00000031751

Zfp57	NA	Zfp57	zinc finger protein 57	22715	ENSMUSG00000036036

Zfp652	NA	Zfp652	zinc finger protein 652	268469	ENSMUSG00000075595

Ldlr	NA	Ldlr	low density lipoprotein receptor	16835	ENSMUSG00000032193

Spred3	NA	Spred3	sprouty-related, EVH1 domain containing 3	101809	ENSMUSG00000037239

Tfpi2	NA	Tfpi2	tissue factor pathway inhibitor 2	21789	ENSMUSG00000029664

Ctla2a	NA	Ctla2a	cytotoxic T lymphocyte-associated protein 2 alpha	13024	ENSMUSG00000044258

Naa10	NA	Naa10	N(alpha)-acetyltransferase 10, NatA catalytic subunitNalpha acetyltransferase 10	56292	ENSMUSG00000031388

Crlf1	NA	Crlf1	cytokine receptor-like factor 1	12931	ENSMUSG00000007888

Thtpa	NA	Thtpa	thiamine triphosphatase	105663	ENSMUSG00000045691

Ybx2	NA	Ybx2	Y box protein 2	53422	ENSMUSG00000018554

Prkcq	NA	Prkcq	protein kinase C, theta	18761	ENSMUSG00000026778

Rrm2b	NA	Rrm2b	ribonucleotide reductase M2 B (TP53 inducible)	382985	ENSMUSG00000022292

Pde7a	NA	Pde7a	phosphodiesterase 7A	18583	ENSMUSG00000069094

Acp1	NA	Acp1	acid phosphatase 1, soluble	11431	ENSMUSG00000044573

Myl4	NA	Myl4	myosin, light polypeptide 4	17896	ENSMUSG00000061086

Hyal5	NA	Hyal5	hyaluronoglucosaminidase 5	74468	ENSMUSG00000029678

Fgf13	NA	Fgf13	fibroblast growth factor 13	14168	ENSMUSG00000031137

Chmp1a	NA	Chmp1a	charged multivesicular body protein 1A	234852	ENSMUSG00000000743

Ddx25	NA	Ddx25	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25	30959	ENSMUSG00000032101

Pde4b	NA	Pde4b	phosphodiesterase 4B, cAMP specific	18578	ENSMUSG00000028525

Ldb2	NA	Ldb2	LIM domain binding 2	16826	ENSMUSG00000039706

Tssk5	NA	Tssk5	testis-specific serine kinase 5	73542	ENSMUSG00000060794

Cela1	NA	Cela1	chymotrypsin-like elastase family, member 1	109901	ENSMUSG00000023031

Nrbp2	NA	Nrbp2	nuclear receptor binding protein 2	223649	ENSMUSG00000075590

Tmem225	NA	Tmem225	transmembrane protein 225	75667	ENSMUSG00000040541


biological process	multicellular organism reproduction	GO:0032504
C=539;O=15;E=4.00;R=3.75;rawP=1.28e-05;adjP=0.0009
Celf3	NA	Celf3	CUGBP, Elav-like family member 3	78784	ENSMUSG00000028137

Hyal5	NA	Hyal5	hyaluronoglucosaminidase 5	74468	ENSMUSG00000029678

Pdilt	NA	Pdilt	protein disulfide isomerase-like, testis expressed	71830	ENSMUSG00000030968

Spata6	NA	Spata6	spermatogenesis associated 6	67946	ENSMUSG00000034401

Ddx4	NA	Ddx4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	13206	ENSMUSG00000021758

B4galt1	NA	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	14595	ENSMUSG00000028413

Creb3l4	NA	Creb3l4	cAMP responsive element binding protein 3-like 4	78284	ENSMUSG00000027938

Ddx25	NA	Ddx25	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25	30959	ENSMUSG00000032101

Tssk5	NA	Tssk5	testis-specific serine kinase 5	73542	ENSMUSG00000060794

Sept4	NA	Sept4	septin 4	18952	ENSMUSG00000020486

Mtl5	NA	Mtl5	metallothionein-like 5, testis-specific (tesmin)	17771	ENSMUSG00000024905

Ybx2	NA	Ybx2	Y box protein 2	53422	ENSMUSG00000018554

Pdgfra	NA	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	18595	ENSMUSG00000029231

Atp1a4	NA	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	27222	ENSMUSG00000007107

Adrm1	NA	Adrm1	adhesion regulating molecule 1	56436	ENSMUSG00000039041


biological process	multicellular organismal reproductive process	GO:0048609
C=539;O=15;E=4.00;R=3.75;rawP=1.28e-05;adjP=0.0009
Celf3	NA	Celf3	CUGBP, Elav-like family member 3	78784	ENSMUSG00000028137

Hyal5	NA	Hyal5	hyaluronoglucosaminidase 5	74468	ENSMUSG00000029678

Pdilt	NA	Pdilt	protein disulfide isomerase-like, testis expressed	71830	ENSMUSG00000030968

Spata6	NA	Spata6	spermatogenesis associated 6	67946	ENSMUSG00000034401

Ddx4	NA	Ddx4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	13206	ENSMUSG00000021758

B4galt1	NA	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	14595	ENSMUSG00000028413

Creb3l4	NA	Creb3l4	cAMP responsive element binding protein 3-like 4	78284	ENSMUSG00000027938

Ddx25	NA	Ddx25	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25	30959	ENSMUSG00000032101

Tssk5	NA	Tssk5	testis-specific serine kinase 5	73542	ENSMUSG00000060794

Sept4	NA	Sept4	septin 4	18952	ENSMUSG00000020486

Mtl5	NA	Mtl5	metallothionein-like 5, testis-specific (tesmin)	17771	ENSMUSG00000024905

Ybx2	NA	Ybx2	Y box protein 2	53422	ENSMUSG00000018554

Pdgfra	NA	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	18595	ENSMUSG00000029231

Atp1a4	NA	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	27222	ENSMUSG00000007107

Adrm1	NA	Adrm1	adhesion regulating molecule 1	56436	ENSMUSG00000039041


biological process	regulation of metabolic process	GO:0019222
C=4520;O=54;E=33.53;R=1.61;rawP=0.0001;adjP=0.0034
F2r	NA	F2r	coagulation factor II (thrombin) receptor	14062	ENSMUSG00000048376

Tnfrsf13c	NA	Tnfrsf13c	tumor necrosis factor receptor superfamily, member 13c	72049	ENSMUSG00000068105

Ftmt	NA	Ftmt	ferritin mitochondrial	67634	ENSMUSG00000024510

Samd4	NA	Samd4	sterile alpha motif domain containing 4	74480	ENSMUSG00000021838

Pkig	NA	Pkig	protein kinase inhibitor, gamma	18769	ENSMUSG00000035268

Adam8	NA	Adam8	a disintegrin and metallopeptidase domain 8	11501	ENSMUSG00000025473

Dsg1a	NA	Dsg1a	desmoglein 1 alpha	13510	ENSMUSG00000069441

Sox5	NA	Sox5	SRY-box containing gene 5	20678	ENSMUSG00000041540

Nrarp	NA	Nrarp	Notch-regulated ankyrin repeat protein	67122	ENSMUSG00000078202

Set	NA	Set	SET nuclear oncogene	56086	ENSMUSG00000054766

Ccnb2	NA	Ccnb2	cyclin B2	12442	ENSMUSG00000032218

Zbtb32	NA	Zbtb32	zinc finger and BTB domain containing 32	58206	ENSMUSG00000006310

Casc5	NA	Casc5	cancer susceptibility candidate 5	76464	ENSMUSG00000027326

Sfrp5	NA	Sfrp5	secreted frizzled-related sequence protein 5	54612	ENSMUSG00000018822

Celf3	NA	Celf3	CUGBP, Elav-like family member 3	78784	ENSMUSG00000028137

Amph	NA	Amph	amphiphysin	218038	ENSMUSG00000021314

Dna2	NA	Dna2	DNA replication helicase 2 homolog (yeast)	327762	ENSMUSG00000036875

Clk1	NA	Clk1	CDC-like kinase 1	12747	ENSMUSG00000026034

Bcl11a	NA	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	14025	ENSMUSG00000000861

Adam33	NA	Adam33	a disintegrin and metallopeptidase domain 33	110751	ENSMUSG00000027318

Pln	NA	Pln	phospholamban	18821	ENSMUSG00000038583

Sept4	NA	Sept4	septin 4	18952	ENSMUSG00000020486

Zfp57	NA	Zfp57	zinc finger protein 57	22715	ENSMUSG00000036036

Zfp652	NA	Zfp652	zinc finger protein 652	268469	ENSMUSG00000075595

Pdgfra	NA	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	18595	ENSMUSG00000029231

Irf2bp1	NA	Irf2bp1	interferon regulatory factor 2 binding protein 1	272359	ENSMUSG00000044030

Adrm1	NA	Adrm1	adhesion regulating molecule 1	56436	ENSMUSG00000039041

Ensa	NA	Ensa	endosulfine alpha	56205	ENSMUSG00000038619

Il7r	NA	Il7r	interleukin 7 receptor	16197	ENSMUSG00000003882

Ldlr	NA	Ldlr	low density lipoprotein receptor	16835	ENSMUSG00000032193

Bhlhe40	NA	Bhlhe40	basic helix-loop-helix family, member e40	20893	ENSMUSG00000030103

Spry2	NA	Spry2	sprouty homolog 2 (Drosophila)	24064	ENSMUSG00000022114

Arid3b	NA	Arid3b	AT rich interactive domain 3B (BRIGHT-like)	56380	ENSMUSG00000004661

Spred3	NA	Spred3	sprouty-related, EVH1 domain containing 3	101809	ENSMUSG00000037239

Creb3l4	NA	Creb3l4	cAMP responsive element binding protein 3-like 4	78284	ENSMUSG00000027938

Tfpi2	NA	Tfpi2	tissue factor pathway inhibitor 2	21789	ENSMUSG00000029664

Ctla2a	NA	Ctla2a	cytotoxic T lymphocyte-associated protein 2 alpha	13024	ENSMUSG00000044258

Crlf1	NA	Crlf1	cytokine receptor-like factor 1	12931	ENSMUSG00000007888

Ybx2	NA	Ybx2	Y box protein 2	53422	ENSMUSG00000018554

Prkcq	NA	Prkcq	protein kinase C, theta	18761	ENSMUSG00000026778

Myl4	NA	Myl4	myosin, light polypeptide 4	17896	ENSMUSG00000061086

Gfpt1	NA	Gfpt1	glutamine fructose-6-phosphate transaminase 1	14583	ENSMUSG00000029992

Fgf13	NA	Fgf13	fibroblast growth factor 13	14168	ENSMUSG00000031137

Aurkb	NA	Aurkb	aurora kinase B	20877	ENSMUSG00000020897

Chmp1a	NA	Chmp1a	charged multivesicular body protein 1A	234852	ENSMUSG00000000743

Ddx25	NA	Ddx25	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25	30959	ENSMUSG00000032101

Wrnip1	NA	Wrnip1	Werner helicase interacting protein 1	78903	ENSMUSG00000021400

Notch2	NA	Notch2	notch 2	18129	ENSMUSG00000027878

Ldb2	NA	Ldb2	LIM domain binding 2	16826	ENSMUSG00000039706

Wbscr16	NA	Wbscr16	Williams-Beuren syndrome chromosome region 16 homolog (human)	94254	ENSMUSG00000061979

Rnh1	NA	Rnh1	ribonuclease/angiogenin inhibitor 1	107702	ENSMUSG00000038650

Cela1	NA	Cela1	chymotrypsin-like elastase family, member 1	109901	ENSMUSG00000023031

Nrbp2	NA	Nrbp2	nuclear receptor binding protein 2	223649	ENSMUSG00000075590

Tmem225	NA	Tmem225	transmembrane protein 225	75667	ENSMUSG00000040541


biological process	multicellular organismal development	GO:0007275
C=3614;O=46;E=26.81;R=1.72;rawP=0.0001;adjP=0.0034
F2r	NA	F2r	coagulation factor II (thrombin) receptor	14062	ENSMUSG00000048376

Wdr62	NA	Wdr62	WD repeat domain 62	233064	ENSMUSG00000037020

Spata6	NA	Spata6	spermatogenesis associated 6	67946	ENSMUSG00000034401

Adam8	NA	Adam8	a disintegrin and metallopeptidase domain 8	11501	ENSMUSG00000025473

B4galt1	NA	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	14595	ENSMUSG00000028413

Sox5	NA	Sox5	SRY-box containing gene 5	20678	ENSMUSG00000041540

Nrarp	NA	Nrarp	Notch-regulated ankyrin repeat protein	67122	ENSMUSG00000078202

Ccnb2	NA	Ccnb2	cyclin B2	12442	ENSMUSG00000032218

Zbtb32	NA	Zbtb32	zinc finger and BTB domain containing 32	58206	ENSMUSG00000006310

Utp3	NA	Utp3	UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)	65961	ENSMUSG00000070697

Sfrp5	NA	Sfrp5	secreted frizzled-related sequence protein 5	54612	ENSMUSG00000018822

Triml1	NA	Triml1	tripartite motif family-like 1	244448	ENSMUSG00000031651

Lgals3	NA	Lgals3	lectin, galactose binding, soluble 3	16854	ENSMUSG00000050335

Comp	NA	Comp	cartilage oligomeric matrix protein	12845	ENSMUSG00000031849

Ncl	NA	Ncl	nucleolin	17975	ENSMUSG00000026234

Maea	NA	Maea	macrophage erythroblast attacher	59003	ENSMUSG00000079562

Bcl11a	NA	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	14025	ENSMUSG00000000861

Pln	NA	Pln	phospholamban	18821	ENSMUSG00000038583

Sept4	NA	Sept4	septin 4	18952	ENSMUSG00000020486

Zfp57	NA	Zfp57	zinc finger protein 57	22715	ENSMUSG00000036036

Mtl5	NA	Mtl5	metallothionein-like 5, testis-specific (tesmin)	17771	ENSMUSG00000024905

Pdgfra	NA	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	18595	ENSMUSG00000029231

Otop1	NA	Otop1	otopetrin 1	21906	ENSMUSG00000051596

Adrm1	NA	Adrm1	adhesion regulating molecule 1	56436	ENSMUSG00000039041

Trp53bp2	NA	Trp53bp2	transformation related protein 53 binding protein 2	209456	ENSMUSG00000026510

Tub	NA	Tub	tubby candidate gene	22141	ENSMUSG00000031028

Sycp2	NA	Sycp2	synaptonemal complex protein 2	320558	ENSMUSG00000060445

Il7r	NA	Il7r	interleukin 7 receptor	16197	ENSMUSG00000003882

Arid3b	NA	Arid3b	AT rich interactive domain 3B (BRIGHT-like)	56380	ENSMUSG00000004661

Spred3	NA	Spred3	sprouty-related, EVH1 domain containing 3	101809	ENSMUSG00000037239

Spry2	NA	Spry2	sprouty homolog 2 (Drosophila)	24064	ENSMUSG00000022114

Creb3l4	NA	Creb3l4	cAMP responsive element binding protein 3-like 4	78284	ENSMUSG00000027938

Ctla2a	NA	Ctla2a	cytotoxic T lymphocyte-associated protein 2 alpha	13024	ENSMUSG00000044258

Rrm2b	NA	Rrm2b	ribonucleotide reductase M2 B (TP53 inducible)	382985	ENSMUSG00000022292

Pdilt	NA	Pdilt	protein disulfide isomerase-like, testis expressed	71830	ENSMUSG00000030968

Fgf13	NA	Fgf13	fibroblast growth factor 13	14168	ENSMUSG00000031137

Ddx4	NA	Ddx4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	13206	ENSMUSG00000021758

Ddx25	NA	Ddx25	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25	30959	ENSMUSG00000032101

Donson	NA	Donson	downstream neighbor of SON	60364	ENSMUSG00000022960

Notch2	NA	Notch2	notch 2	18129	ENSMUSG00000027878

Ldb2	NA	Ldb2	LIM domain binding 2	16826	ENSMUSG00000039706

Rnh1	NA	Rnh1	ribonuclease/angiogenin inhibitor 1	107702	ENSMUSG00000038650

Tssk5	NA	Tssk5	testis-specific serine kinase 5	73542	ENSMUSG00000060794

Cela1	NA	Cela1	chymotrypsin-like elastase family, member 1	109901	ENSMUSG00000023031

Ubd	NA	Ubd	ubiquitin D	24108	ENSMUSG00000035186

Nrbp2	NA	Nrbp2	nuclear receptor binding protein 2	223649	ENSMUSG00000075590


biological process	T cell activation	GO:0042110
C=305;O=10;E=2.26;R=4.42;rawP=9.87e-05;adjP=0.0034
Tnfrsf13c	NA	Tnfrsf13c	tumor necrosis factor receptor superfamily, member 13c	72049	ENSMUSG00000068105

Il7r	NA	Il7r	interleukin 7 receptor	16197	ENSMUSG00000003882

Adam8	NA	Adam8	a disintegrin and metallopeptidase domain 8	11501	ENSMUSG00000025473

Nrarp	NA	Nrarp	Notch-regulated ankyrin repeat protein	67122	ENSMUSG00000078202

Bcl11a	NA	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	14025	ENSMUSG00000000861

Ctla2a	NA	Ctla2a	cytotoxic T lymphocyte-associated protein 2 alpha	13024	ENSMUSG00000044258

Zbtb32	NA	Zbtb32	zinc finger and BTB domain containing 32	58206	ENSMUSG00000006310

Prkcq	NA	Prkcq	protein kinase C, theta	18761	ENSMUSG00000026778

Itgax	NA	Itgax	integrin alpha X	16411	ENSMUSG00000030789

