"","space","start","end","width","peak","feature","names","strand","start_position","end_position","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","external_gene_name","V1","V2","V3","V5","V6","V7","V8","V9"
"27","1",168600817,168601223,407,"peak122","ENSG00000229757","peak122 ENSG00000229757","-",168578653,168579439,"upstream",-21378,21378,"NearestStart","RP4-738P11.4","chr1",168600817,168601223,84,".",133.58,-1,-1
"28","1",168876280,168876769,490,"peak123","ENSG00000229612","peak123 ENSG00000229612","+",168898136,168898439,"upstream",-21856,21367,"NearestStart","SUMO1P2","chr1",168876280,168876769,176,".",280.11,-1,-1
"29","1",169078103,169078425,323,"peak124","ENSG00000203601","peak124 ENSG00000203601","-",168903905,169087005,"inside",8902,8580,"NearestStart","LINC00970","chr1",169078103,169078425,91,".",145.33,-1,-1
"30","1",169498529,169498876,348,"peak125","ENSG00000213062","peak125 ENSG00000213062","+",169486076,169486986,"downstream",12453,11543,"NearestStart","RP1-206D15.6","chr1",169498529,169498876,87,".",139.7,-1,-1
"31","1",172599976,172600210,235,"peak126","ENSG00000251943","peak126 ENSG00000251943","-",172613428,172613534,"downstream",13558,13218,"NearestStart","RNU6-693P","chr1",172599976,172600210,97,".",154.1,-1,-1
"32","1",173445988,173446301,314,"peak127","ENSG00000203739","peak127 ENSG00000203739","-",173417793,173461362,"inside",15374,15061,"NearestStart","RP11-296O14.3","chr1",173445988,173446301,65,".",103.73,-1,-1
"33","1",173837419,173837795,377,"peak128","ENSG00000120334","peak128 ENSG00000120334","-",173799550,173824720,"upstream",-12699,12699,"NearestStart","CENPL","chr1",173837419,173837795,67,".",107.82,-1,-1
"34","1",175138437,175138759,323,"peak129","ENSG00000235750","peak129 ENSG00000235750","-",175156987,175192999,"downstream",54562,18228,"NearestStart","KIAA0040","chr1",175138437,175138759,90,".",144.45,-1,-1
"35","1",16934684,16935104,421,"peak13","ENSG00000272426","peak13 ENSG00000272426","-",16904339,16904776,"upstream",-29908,29908,"NearestStart","RP11-108M9.6","chr1",16934684,16935104,77,".",122.34,-1,-1
"36","1",175156373,175156649,277,"peak130","ENSG00000235750","peak130 ENSG00000235750","-",175156987,175192999,"downstream",36626,338,"NearestStart","KIAA0040","chr1",175156373,175156649,69,".",109.98,-1,-1
"37","1",175642424,175642626,203,"peak131","ENSG00000235628","peak131 ENSG00000235628","-",175538775,175556818,"upstream",-85606,85606,"NearestStart","TNR-IT1","chr1",175642424,175642626,70,".",111.6,-1,-1
"38","1",178624757,178625237,481,"peak132","ENSG00000273384","peak132 ENSG00000273384","+",178651706,178652282,"upstream",-26949,26469,"NearestStart","RP5-1098D14.1","chr1",178624757,178625237,127,".",202.15,-1,-1
"39","1",178974729,178975039,311,"peak133","ENSG00000116199","peak133 ENSG00000116199","+",179025804,179076562,"upstream",-51075,50765,"NearestStart","FAM20B","chr1",178974729,178975039,65,".",103.82,-1,-1
"40","1",179341274,179341702,429,"peak134","ENSG00000162779","peak134 ENSG00000162779","+",179365720,179554735,"upstream",-24446,24018,"NearestStart","AXDND1","chr1",179341274,179341702,458,".",728.51,-1,-1
"41","1",179349465,179349818,354,"peak135","ENSG00000162779","peak135 ENSG00000162779","+",179365720,179554735,"upstream",-16255,15902,"NearestStart","AXDND1","chr1",179349465,179349818,70,".",112.28,-1,-1
"42","1",179362854,179363194,341,"peak136","ENSG00000162779","peak136 ENSG00000162779","+",179365720,179554735,"upstream",-2866,2526,"NearestStart","AXDND1","chr1",179362854,179363194,69,".",109.71,-1,-1
"43","1",181088441,181088798,358,"peak137","ENSG00000162783","peak137 ENSG00000162783","+",181088712,181092899,"overlapStart",-271,86,"NearestStart","IER5","chr1",181088441,181088798,105,".",166.88,-1,-1
"44","1",182070544,182070891,348,"peak138","ENSG00000224810","peak138 ENSG00000224810","-",182062677,182069253,"upstream",-1291,1291,"NearestStart","RP11-538D16.2","chr1",182070544,182070891,65,".",104.53,-1,-1
"45","1",182187147,182187326,180,"peak139","ENSG00000232096","peak139 ENSG00000232096","-",182182730,182183096,"upstream",-4051,4051,"NearestStart","YPEL5P1","chr1",182187147,182187326,77,".",122.93,-1,-1
"46","1",17847095,17847315,221,"peak14","ENSG00000117148","peak14 ENSG00000117148","+",17755313,17827063,"downstream",91782,20032,"NearestStart","ACTL8","chr1",17847095,17847315,93,".",148.18,-1,-1
"47","1",182213516,182213929,414,"peak140","ENSG00000232096","peak140 ENSG00000232096","-",182182730,182183096,"upstream",-30420,30420,"NearestStart","YPEL5P1","chr1",182213516,182213929,291,".",463.56,-1,-1
"48","1",182284328,182284843,516,"peak141","ENSG00000228918","peak141 ENSG00000228918","-",182129310,182314061,"inside",29733,29218,"NearestStart","LINC01344","chr1",182284328,182284843,147,".",234.96,-1,-1
"49","1",182602841,182603237,397,"peak142","ENSG00000143333","peak142 ENSG00000143333","-",182598623,182604408,"inside",1567,1171,"NearestStart","RGS16","chr1",182602841,182603237,69,".",109.98,-1,-1
"50","1",183191948,183192365,418,"peak143","ENSG00000058085","peak143 ENSG00000058085","+",183186238,183244900,"inside",5710,5710,"NearestStart","LAMC2","chr1",183191948,183192365,221,".",352.24,-1,-1
"51","1",183248915,183249326,412,"peak144","ENSG00000233562","peak144 ENSG00000233562","+",183266602,183267285,"upstream",-17687,17276,"NearestStart","RP11-548N1.1","chr1",183248915,183249326,143,".",228.65,-1,-1
"52","1",183250876,183251290,415,"peak145","ENSG00000233562","peak145 ENSG00000233562","+",183266602,183267285,"upstream",-15726,15312,"NearestStart","RP11-548N1.1","chr1",183250876,183251290,204,".",324.74,-1,-1
"53","1",183569341,183569689,349,"peak146","ENSG00000116701","peak146 ENSG00000116701","-",183555563,183590876,"inside",21535,13778,"NearestStart","NCF2","chr1",183569341,183569689,108,".",172.67,-1,-1
"54","1",183574300,183574699,400,"peak147","ENSG00000116701","peak147 ENSG00000116701","-",183555563,183590876,"inside",16576,16177,"NearestStart","NCF2","chr1",183574300,183574699,69,".",109.71,-1,-1
"55","1",183574988,183575396,409,"peak148","ENSG00000116701","peak148 ENSG00000116701","-",183555563,183590876,"inside",15888,15480,"NearestStart","NCF2","chr1",183574988,183575396,155,".",247.36,-1,-1
"56","1",184595780,184596152,373,"peak149","ENSG00000232036","peak149 ENSG00000232036","+",184566511,184567835,"downstream",29269,27945,"NearestStart","GS1-115G20.2","chr1",184595780,184596152,126,".",200.5,-1,-1
"57","1",17855961,17856211,251,"peak15","ENSG00000117148","peak15 ENSG00000117148","+",17755313,17827063,"downstream",100648,28898,"NearestStart","ACTL8","chr1",17855961,17856211,131,".",208.77,-1,-1
"58","1",186121733,186122523,791,"peak150","ENSG00000224691","peak150 ENSG00000224691","-",186176814,186177302,"downstream",55569,54291,"NearestStart","GS1-174L6.4","chr1",186121733,186122523,65,".",103.37,-1,-1
"59","1",186200985,186201451,467,"peak151","ENSG00000224691","peak151 ENSG00000224691","-",186176814,186177302,"upstream",-23683,23683,"NearestStart","GS1-174L6.4","chr1",186200985,186201451,336,".",534.49,-1,-1
"60","1",192069764,192070103,340,"peak152","ENSG00000150681","peak152 ENSG00000150681","+",192158457,192185815,"upstream",-88693,88354,"NearestStart","RGS18","chr1",192069764,192070103,154,".",244.9,-1,-1
"61","1",193888930,193889371,442,"peak153","ENSG00000237213","peak153 ENSG00000237213","-",193756815,193757267,"upstream",-131663,131663,"NearestStart","RPL23AP22","chr1",193888930,193889371,99,".",157.9,-1,-1
"62","1",198624714,198624939,226,"peak154","ENSG00000081237","peak154 ENSG00000081237","+",198638671,198757283,"upstream",-13957,13732,"NearestStart","PTPRC","chr1",198624714,198624939,94,".",150.47,-1,-1
"63","1",199985905,199986379,475,"peak155","ENSG00000202491","peak155 ENSG00000202491","-",200008505,200008607,"downstream",22702,22126,"NearestStart","RNU6-716P","chr1",199985905,199986379,224,".",356.11,-1,-1
"64","1",200153305,200153636,332,"peak156","ENSG00000229220","peak156 ENSG00000229220","-",200147531,200148279,"upstream",-5026,5026,"NearestStart","RP11-47A17.2","chr1",200153305,200153636,65,".",104.7,-1,-1
"65","1",200341214,200341549,336,"peak157","ENSG00000213045","peak157 ENSG00000213045","+",200329161,200329677,"downstream",12053,11537,"NearestStart","RP11-532L16.1","chr1",200341214,200341549,131,".",209.42,-1,-1
"66","1",200342002,200342289,288,"peak158","ENSG00000213045","peak158 ENSG00000213045","+",200329161,200329677,"downstream",12841,12325,"NearestStart","RP11-532L16.1","chr1",200342002,200342289,81,".",129.17,-1,-1
"67","1",200446804,200447322,519,"peak159","ENSG00000230623","peak159 ENSG00000230623","+",200473920,200478293,"upstream",-27116,26598,"NearestStart","RP11-469A15.2","chr1",200446804,200447322,69,".",110.24,-1,-1
"68","1",17886350,17886580,231,"peak16","ENSG00000117148","peak16 ENSG00000117148","+",17755313,17827063,"downstream",131037,59287,"NearestStart","ACTL8","chr1",17886350,17886580,75,".",119.88,-1,-1
"69","1",201278538,201278866,329,"peak160","ENSG00000081277","peak160 ENSG00000081277","+",201283452,201332993,"upstream",-4914,4586,"NearestStart","PKP1","chr1",201278538,201278866,121,".",192.47,-1,-1
"70","1",201987786,201988211,426,"peak161","ENSG00000176393","peak161 ENSG00000176393","+",201982372,202006147,"inside",5414,5414,"NearestStart","RNPEP","chr1",201987786,201988211,78,".",124.21,-1,-1
"71","1",202081990,202082325,336,"peak162","ENSG00000212512","peak162 ENSG00000212512","+",202070841,202070943,"downstream",11149,11047,"NearestStart","Y_RNA","chr1",202081990,202082325,158,".",251.18,-1,-1
"72","1",202101121,202101677,557,"peak163","ENSG00000227109","peak163 ENSG00000227109","+",202096759,202096978,"downstream",4362,4143,"NearestStart","CRIP1P3","chr1",202101121,202101677,100,".",158.97,-1,-1
"73","1",202101692,202101968,277,"peak164","ENSG00000227109","peak164 ENSG00000227109","+",202096759,202096978,"downstream",4933,4714,"NearestStart","CRIP1P3","chr1",202101692,202101968,71,".",113.8,-1,-1
"74","1",203058395,203058773,379,"peak165","ENSG00000122180","peak165 ENSG00000122180","-",203083132,203086036,"downstream",27641,24359,"NearestStart","MYOG","chr1",203058395,203058773,72,".",115.83,-1,-1
"75","1",203285621,203286130,510,"peak166","ENSG00000231507","peak166 ENSG00000231507","+",203287152,203288801,"upstream",-1531,1022,"NearestStart","LINC01353","chr1",203285621,203286130,130,".",206.98,-1,-1
"76","1",203883469,203883699,231,"peak167","ENSG00000236430","peak167 ENSG00000236430","-",203872574,203874187,"upstream",-9282,9282,"NearestStart","KRT8P29","chr1",203883469,203883699,67,".",107.06,-1,-1
"77","1",204110325,204110621,297,"peak168","ENSG00000261065","peak168 ENSG00000261065","+",204131062,204131966,"upstream",-20737,20441,"NearestStart","RP11-74C13.4","chr1",204110325,204110621,189,".",300.76,-1,-1
"78","1",204349533,204349991,459,"peak169","ENSG00000219133","peak169 ENSG00000219133","-",204346776,204347258,"upstream",-2275,2275,"NearestStart","RP11-203F10.6","chr1",204349533,204349991,157,".",249.84,-1,-1
"79","1",18492772,18493122,351,"peak17","ENSG00000179023","peak17 ENSG00000179023","+",18480982,18486126,"downstream",11790,6646,"NearestStart","KLHDC7A","chr1",18492772,18493122,82,".",131.72,-1,-1
"80","1",206862265,206862581,317,"peak170","ENSG00000162891","peak170 ENSG00000162891","+",206865354,206869223,"upstream",-3089,2773,"NearestStart","IL20","chr1",206862265,206862581,117,".",186.5,-1,-1
"81","1",207017031,207017419,389,"peak171","ENSG00000123843","peak171 ENSG00000123843","+",207006845,207099993,"inside",10186,10186,"NearestStart","C4BPB","chr1",207017031,207017419,169,".",269.2,-1,-1
"82","1",207077024,207077308,285,"peak172","ENSG00000180667","peak172 ENSG00000180667","-",207043849,207052980,"upstream",-24044,24044,"NearestStart","YOD1","chr1",207077024,207077308,89,".",141.82,-1,-1
"83","1",207414874,207415182,309,"peak173","ENSG00000117322","peak173 ENSG00000117322","+",207454230,207489895,"upstream",-39356,39048,"NearestStart","CR2","chr1",207414874,207415182,104,".",166.05,-1,-1
"84","1",207924363,207924547,185,"peak174","ENSG00000174059","peak174 ENSG00000174059","-",207880972,207911402,"upstream",-12961,12961,"NearestStart","CD34","chr1",207924363,207924547,83,".",132.78,-1,-1
"85","1",209548474,209548788,315,"peak175","ENSG00000224260","peak175 ENSG00000224260","-",209528455,209567673,"inside",19199,18885,"NearestStart","RP1-272L16.1","chr1",209548474,209548788,63,".",100.11,-1,-1
"86","1",209719680,209720129,450,"peak176","ENSG00000227591","peak176 ENSG00000227591","-",209661364,209724125,"inside",4445,3996,"NearestStart","RP1-28O10.1","chr1",209719680,209720129,420,".",668.12,-1,-1
"87","1",210540178,210540825,648,"peak177","ENSG00000270936","peak177 ENSG00000270936","-",210462345,210463012,"upstream",-77166,77166,"NearestStart","RP5-879K22.1","chr1",210540178,210540825,194,".",308.5,-1,-1
"88","1",210557962,210558290,329,"peak178","ENSG00000270936","peak178 ENSG00000270936","-",210462345,210463012,"upstream",-94950,94950,"NearestStart","RP5-879K22.1","chr1",210557962,210558290,67,".",107.06,-1,-1
"89","1",211242336,211242649,314,"peak179","ENSG00000117625","peak179 ENSG00000117625","+",211258377,211316385,"upstream",-16041,15728,"NearestStart","RCOR3","chr1",211242336,211242649,87,".",138.79,-1,-1
"90","1",19681012,19681373,362,"peak18","ENSG00000158748","peak18 ENSG00000158748","+",19665287,19679562,"downstream",15725,1450,"NearestStart","HTR6","chr1",19681012,19681373,95,".",151.75,-1,-1
"91","1",211286877,211287358,482,"peak180","ENSG00000117625","peak180 ENSG00000117625","+",211258377,211316385,"inside",28500,28500,"NearestStart","RCOR3","chr1",211286877,211287358,394,".",625.93,-1,-1
"92","1",211287596,211288182,587,"peak181","ENSG00000117625","peak181 ENSG00000117625","+",211258377,211316385,"inside",29219,28203,"NearestStart","RCOR3","chr1",211287596,211288182,293,".",466.92,-1,-1
"93","1",211694837,211695116,280,"peak182","ENSG00000231057","peak182 ENSG00000231057","+",211675762,211690103,"downstream",19075,4734,"NearestStart","RP11-122M14.1","chr1",211694837,211695116,65,".",104.31,-1,-1
"94","1",212320898,212321164,267,"peak183","ENSG00000234915","peak183 ENSG00000234915","-",212299495,212331713,"inside",10815,10549,"NearestStart","RP11-384C4.7","chr1",212320898,212321164,68,".",108.48,-1,-1
"95","1",212640224,212640659,436,"peak184","ENSG00000226036","peak184 ENSG00000226036","+",212647296,212647755,"upstream",-7072,6637,"NearestStart","RP11-338C15.2","chr1",212640224,212640659,155,".",246.78,-1,-1
"96","1",214390100,214390516,417,"peak185","ENSG00000228470","peak185 ENSG00000228470","-",214344172,214357615,"upstream",-32485,32485,"NearestStart","RP11-176D17.3","chr1",214390100,214390516,147,".",233.55,-1,-1
"97","1",214443503,214443832,330,"peak186","ENSG00000213036","peak186 ENSG00000213036","-",214482813,214483387,"downstream",39884,38981,"NearestStart","RP11-365D23.4","chr1",214443503,214443832,74,".",118.96,-1,-1
"98","1",214551265,214551734,470,"peak187","ENSG00000152104","peak187 ENSG00000152104","-",214348696,214552449,"inside",1184,715,"NearestStart","PTPN14","chr1",214551265,214551734,95,".",152.35,-1,-1
"99","1",214810369,214811053,685,"peak188","ENSG00000185221","peak188 ENSG00000185221","+",214870734,214871716,"upstream",-60365,59681,"NearestStart","GAPDHP24","chr1",214810369,214811053,69,".",110.18,-1,-1
"100","1",215287492,215287911,420,"peak189","ENSG00000232809","peak189 ENSG00000232809","+",215376484,215377374,"upstream",-88992,88573,"NearestStart","VDAC1P10","chr1",215287492,215287911,113,".",180.89,-1,-1
"101","1",19753676,19754006,331,"peak19","ENSG00000162542","peak19 ENSG00000162542","-",19682213,19799945,"inside",46269,45939,"NearestStart","TMCO4","chr1",19753676,19754006,131,".",209.15,-1,-1
"102","1",215319673,215320365,693,"peak190","ENSG00000232809","peak190 ENSG00000232809","+",215376484,215377374,"upstream",-56811,56119,"NearestStart","VDAC1P10","chr1",215319673,215320365,111,".",176.42,-1,-1
"103","1",215424228,215424640,413,"peak191","ENSG00000232809","peak191 ENSG00000232809","+",215376484,215377374,"downstream",47744,46854,"NearestStart","VDAC1P10","chr1",215424228,215424640,70,".",112.11,-1,-1
"104","1",215430309,215430681,373,"peak192","ENSG00000232809","peak192 ENSG00000232809","+",215376484,215377374,"downstream",53825,52935,"NearestStart","VDAC1P10","chr1",215430309,215430681,78,".",124.78,-1,-1
"105","1",215573083,215573862,780,"peak193","ENSG00000136636","peak193 ENSG00000136636","+",215567392,215621807,"inside",5691,5691,"NearestStart","KCTD3","chr1",215573083,215573862,196,".",312.71,-1,-1
"106","1",215598407,215598899,493,"peak194","ENSG00000136636","peak194 ENSG00000136636","+",215567392,215621807,"inside",31015,22908,"NearestStart","KCTD3","chr1",215598407,215598899,380,".",604.23,-1,-1
"107","1",215646120,215646563,444,"peak195","ENSG00000202498","peak195 ENSG00000202498","-",215630026,215630117,"upstream",-16003,16003,"NearestStart","SNORD116","chr1",215646120,215646563,102,".",163.11,-1,-1
"108","1",215647110,215647789,680,"peak196","ENSG00000202498","peak196 ENSG00000202498","-",215630026,215630117,"upstream",-16993,16993,"NearestStart","SNORD116","chr1",215647110,215647789,442,".",703.01,-1,-1
"109","1",215648948,215650036,1089,"peak197","ENSG00000202498","peak197 ENSG00000202498","-",215630026,215630117,"upstream",-18831,18831,"NearestStart","SNORD116","chr1",215648948,215650036,335,".",532.41,-1,-1
"110","1",215662235,215662540,306,"peak198","ENSG00000202498","peak198 ENSG00000202498","-",215630026,215630117,"upstream",-32118,32118,"NearestStart","SNORD116","chr1",215662235,215662540,89,".",142.52,-1,-1
"111","1",215663227,215663683,457,"peak199","ENSG00000202498","peak199 ENSG00000202498","-",215630026,215630117,"upstream",-33110,33110,"NearestStart","SNORD116","chr1",215663227,215663683,118,".",188.46,-1,-1
"112","1",1014825,1015122,298,"peak2","ENSG00000224969","peak2 ENSG00000224969","-",1011997,1013193,"upstream",-1632,1632,"NearestStart","RP11-54O7.11","chr1",1014825,1015122,95,".",151.75,-1,-1
"113","1",19923124,19923538,415,"peak20","ENSG00000188784","peak20 ENSG00000188784","-",19920009,19923617,"inside",493,79,"NearestStart","PLA2G2E","chr1",19923124,19923538,167,".",266.71,-1,-1
"114","1",215691919,215692316,398,"peak200","ENSG00000202498","peak200 ENSG00000202498","-",215630026,215630117,"upstream",-61802,61802,"NearestStart","SNORD116","chr1",215691919,215692316,77,".",122.99,-1,-1
"115","1",215713470,215713961,492,"peak201","ENSG00000202498","peak201 ENSG00000202498","-",215630026,215630117,"upstream",-83353,83353,"NearestStart","SNORD116","chr1",215713470,215713961,193,".",307.02,-1,-1
"116","1",218654018,218654714,697,"peak202","ENSG00000212610","peak202 ENSG00000212610","-",218541690,218541899,"upstream",-112119,112119,"NearestStart","U3","chr1",218654018,218654714,80,".",128.4,-1,-1
"117","1",218790086,218790437,352,"peak203","ENSG00000226693","peak203 ENSG00000226693","-",218881600,218882650,"downstream",92564,91163,"NearestStart","NXNP1","chr1",218790086,218790437,120,".",191.37,-1,-1
"118","1",223385988,223386283,296,"peak204","ENSG00000178395","peak204 ENSG00000178395","+",223393417,223395470,"upstream",-7429,7134,"NearestStart","CCDC185","chr1",223385988,223386283,76,".",121.49,-1,-1
"119","1",223617803,223618164,362,"peak205","ENSG00000227002","peak205 ENSG00000227002","-",223644110,223644383,"downstream",26580,25946,"NearestStart","SNRPEP10","chr1",223617803,223618164,84,".",134.11,-1,-1
"120","1",224392594,224392871,278,"peak206","ENSG00000266618","peak206 ENSG00000266618","-",224398227,224398311,"downstream",5717,5356,"NearestStart","MIR4742","chr1",224392594,224392871,177,".",282.3,-1,-1
"121","1",224626321,224626677,357,"peak207","ENSG00000233384","peak207 ENSG00000233384","-",224615296,224616220,"upstream",-10101,10101,"NearestStart","RP11-100E13.1","chr1",224626321,224626677,69,".",109.68,-1,-1
"122","1",225638223,225638528,306,"peak208","ENSG00000154380","peak208 ENSG00000154380","-",225486835,225653142,"inside",14919,14614,"NearestStart","ENAH","chr1",225638223,225638528,67,".",107.06,-1,-1
"123","1",225953962,225954407,446,"peak209","ENSG00000213032","peak209 ENSG00000213032","+",225964179,225964428,"upstream",-10217,9772,"NearestStart","NDUFA3P3","chr1",225953962,225954407,94,".",149.36,-1,-1
"124","1",21594938,21595408,471,"peak21","ENSG00000221781","peak21 ENSG00000221781","-",21592411,21592548,"upstream",-2390,2390,"NearestStart","AL359815.1","chr1",21594938,21595408,204,".",325.22,-1,-1
"125","1",226249658,226249959,302,"peak210","ENSG00000185155","peak210 ENSG00000185155","+",226223618,226227054,"downstream",26040,22604,"NearestStart","MIXL1","chr1",226249658,226249959,67,".",107.8,-1,-1
"126","1",226886900,226887217,318,"peak211","ENSG00000163050","peak211 ENSG00000163050","+",226897536,226987545,"upstream",-10636,10319,"NearestStart","ADCK3","chr1",226886900,226887217,122,".",194.76,-1,-1
"127","1",226890135,226890925,791,"peak212","ENSG00000163050","peak212 ENSG00000163050","+",226897536,226987545,"upstream",-7401,6611,"NearestStart","ADCK3","chr1",226890135,226890925,76,".",121.61,-1,-1
"128","1",226899003,226899288,286,"peak213","ENSG00000163050","peak213 ENSG00000163050","+",226897536,226987545,"inside",1467,1467,"NearestStart","ADCK3","chr1",226899003,226899288,88,".",141.2,-1,-1
"129","1",230124232,230124597,366,"peak214","ENSG00000143641","peak214 ENSG00000143641","+",230057990,230282124,"inside",66242,66242,"NearestStart","GALNT2","chr1",230124232,230124597,88,".",140.42,-1,-1
"130","1",230220381,230220630,250,"peak215","ENSG00000227006","peak215 ENSG00000227006","-",230258694,230268483,"downstream",48102,38064,"NearestStart","RP5-956O18.2","chr1",230220381,230220630,75,".",120.72,-1,-1
"131","1",233243411,233243777,367,"peak216","ENSG00000231940","peak216 ENSG00000231940","-",233288868,233289447,"downstream",46036,45091,"NearestStart","RPS7P3","chr1",233243411,233243777,181,".",288.46,-1,-1
"132","1",233248505,233249079,575,"peak217","ENSG00000231940","peak217 ENSG00000231940","-",233288868,233289447,"downstream",40942,39789,"NearestStart","RPS7P3","chr1",233248505,233249079,133,".",211.49,-1,-1
"133","1",234739604,234739883,280,"peak218","ENSG00000227630","peak218 ENSG00000227630","+",234724042,234731643,"downstream",15562,7961,"NearestStart","LINC01132","chr1",234739604,234739883,86,".",138.16,-1,-1
