"","MeanDecreaseAccuracy"
"oleoylcarnitine",0.00033333
"arachidate (20:0)",0.00031667
"urate",0.00025
"UDP-glucuronate",0.00025
"succinate",0.00025
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",0.00025
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",0.00025
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",0.00025
"sarcosine (N-Methylglycine)",0.00025
"palmitoleate (16:1n7)",0.00025
"nicotinamide",0.00025
"kynurenine",0.00025
"glycerol",0.00025
"glutamate, gamma-methyl ester",0.00025
"fumarate",0.00025
"deoxycarnitine",0.00025
"behenoyl sphingomyelin (d18:1/22:0)*",0.00025
"2-hydroxyglutarate",0.00025
"2-aminooctanoate",0.00025
"16-hydroxypalmitate",0.00025
"1-palmitoyl-GPI (16:0)*",0.00025
"1-methylnicotinamide",0.00025
"1-methylimidazoleacetate",0.00025
"1-(1-enyl-oleoyl)-GPE (P-18:1)*",0.00025
"UDP-galactose",2e-04
"tyrosylglycine",2e-04
"stearoyl ethanolamide",2e-04
"nonadecanoate (19:0)",2e-04
"leucine",2e-04
"indolelactate",2e-04
"erythronate*",2e-04
"eicosapentaenoate (EPA; 20:5n3)",2e-04
"azelate (nonanedioate)",2e-04
"adenosine 5'-monophosphate (AMP)",2e-04
"2'-deoxycytidine",2e-04
"1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*",2e-04
"tetradecanedioate",2e-04
"hexadecanedioate",0.00018571
"2-aminoadipate",0.00016667
"orotate",0.00016667
"cytidine 5'-monophosphate (5'-CMP)",0.00016667
"sedoheptulose-7-phosphate",0.00015
"taurocyamine",0.00013333
"succinylcarnitine",0.00013333
"N-acetylhistidine",0.00013333
"hypotaurine",0.00013333
"arachidonoyl ethanolamide",0.00013333
"inosine",1e-04
"stearidonate (18:4n3)",8.3333e-05
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*",6.6667e-05
"riboflavin (Vitamin B2)",5e-05
"phosphate",5e-05
"palmitate (16:0)",5e-05
"N6,N6,N6-trimethyllysine",5e-05
"7-methylguanine",5e-05
"N-alpha-acetylornithine",3.3333e-05
"valylglycine",0
"tyrosine",0
"trans-urocanate",0
"thiamin monophosphate",0
"taurodeoxycholate",0
"taurine",0
"sphingosine",0
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",0
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",0
"serine",0
"sebacate (decanedioate)",0
"S-adenosylhomocysteine (SAH)",0
"ribose",0
"ribonate",0
"pyridoxate",0
"pro-hydroxy-pro",0
"pipecolate",0
"phosphoethanolamine",0
"phenylalanylglycine",0
"phenylacetylglycine",0
"palmitoylcarnitine",0
"palmitoyl ethanolamide",0
"ornithine",0
"oleamide",0
"octanoylcarnitine",0
"nicotinamide riboside",0
"N6-succinyladenosine",0
"N1-Methyl-2-pyridone-5-carboxamide",0
"N-palmitoyl-sphinganine (d18:0/16:0)",0
"N-glycolylneuraminate",0
"N-formylmethionine",0
"N-acetylthreonine",0
"N-acetyltaurine",0
"N-acetylputrescine",0
"N-acetylphenylalanine",0
"N-acetylglutamate",0
"methionine sulfoxide",0
"maltose",0
"malonylcarnitine",0
"lactate",0
"isovalerylglycine",0
"isoleucylglycine",0
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",0
"imidazole propionate",0
"hypoxanthine",0
"histamine",0
"hexanoylglycine",0
"hexanoylcarnitine",0
"glycylvaline",0
"glycylleucine",0
"glycosyl-N-palmitoyl-sphingosine",0
"glycerophosphorylcholine (GPC)",0
"glycerophosphoglycerol",0
"glycerol 3-phosphate",0
"gamma-glutamyl-epsilon-lysine",0
"fructose",0
"eicosenoate (20:1)",0
"dimethylglycine",0
"dihomo-linolenate (20:3n3 or n6)",0
"cytidine-5'-diphosphoethanolamine",0
"cytidine 5'-monophospho-N-acetylneuraminic acid",0
"cytidine 5'-diphosphocholine",0
"cytidine 3'-monophosphate (3'-CMP)",0
"cystine",0
"creatine phosphate",0
"creatine",0
"choline phosphate",0
"carnosine",0
"carboxyethyl-GABA",0
"C-glycosyltryptophan",0
"beta-guanidinopropanoate",0
"argininosuccinate",0
"arabonate/xylonate",0
"alpha-hydroxyisovalerate",0
"adenine",0
"acetylcarnitine",0
"9,10-DiHOME",0
"7-hydroxycholesterol (alpha or beta)",0
"5-methylthioadenosine (MTA)",0
"3-methylcytidine",0
"3-indoxyl sulfate",0
"3-hydroxy-3-methylglutarate",0
"2-palmitoyl-GPC (16:0)*",0
"2-aminoheptanoate",0
"2'-deoxyuridine",0
"10-nonadecenoate (19:1n9)",0
"1-stearoyl-GPI (18:0)",0
"1-stearoyl-GPC (18:0)",0
"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*",0
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)",0
"1-palmitoyl-GPC (16:0)",0
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)",0
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)",0
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)",0
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)",0
"1-palmitoleoylglycerol (16:1)*",0
"1-palmitoleoyl-GPC (16:1)*",0
"1-oleoyl-GPC (18:1)",0
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*",0
"1-arachidonoyl-GPC (20:4)*",0
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*",0
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*",0
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*",0
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*",0
"1,2-distearoyl-GPC (18:0/18:0)",0
"4-imidazoleacetate",-5.5511e-20
"N-acetylglycine",-5e-05
"5-dodecenoate (12:1n7)",-5e-05
"xanthosine",-8.3333e-05
"uridine 5'-monophosphate (UMP)",-8.3333e-05
"2-stearoyl-GPE (18:0)*",-8.3333e-05
"2-oleoylglycerol (18:1)",-1e-04
"creatinine",-0.00010714
"valine",-0.00015
"glycerophosphoethanolamine",-0.00015476
"palmitoyl sphingomyelin (d18:1/16:0)",-0.00016667
"maltotriose",-0.00016667
"isoleucine",-0.00016667
"glutarylcarnitine (C5)",-0.00016667
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*",-0.00016667
"1,2-dipalmitoyl-GPC (16:0/16:0)",-0.00016667
"N-acetylasparagine",-0.00016667
"2-methylbutyrylglycine",-0.00016667
"uracil",-2e-04
"thymidine",-2e-04
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",-2e-04
"p-cresol-glucuronide*",-2e-04
"myo-inositol",-2e-04
"linolenate [alpha or gamma; (18:3n3 or 6)]",-2e-04
"glucuronate",-2e-04
"gamma-glutamylglutamine",-2e-04
"gamma-carboxyglutamate",-2e-04
"dihydroxyacetone phosphate (DHAP)",-2e-04
"corticosterone",-2e-04
"3-ureidopropionate",-2e-04
"2-palmitoleoyl-GPC (16:1)*",-2e-04
"2-methylbutyrylcarnitine (C5)",-2e-04
"1-stearoyl-2-oleoyl-GPE (18:0/18:1)",-2e-04
"1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2)*",-2e-04
"1-oleoyl-3-linoleoyl-glycerol (18:1/18:2)",-2e-04
"1-arachidonoyl-GPI (20:4)*",-2e-04
"uridine 5'-diphosphate (UDP)",-0.00025
"tryptophan",-0.00025
"threonate",-0.00025
"stearoylcarnitine",-0.00025
"S-adenosylmethionine (SAM)",-0.00025
"prolylglycine",-0.00025
"palmitoyl dihydrosphingomyelin (d18:0/16:0)*",-0.00025
"N-acetylleucine",-0.00025
"docosapentaenoate (n6 DPA; 22:5n6)",-0.00025
"docosadienoate (22:2n6)",-0.00025
"ascorbate (Vitamin C)",-0.00025
"adenosine 3',5'-diphosphate",-0.00025
"adenosine 2'-monophosphate (2'-AMP)",-0.00025
"adenosine",-0.00025
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",-0.00028571
"gamma-glutamylglutamate",-0.00028571
"citrulline",-0.00028571
"p-cresol sulfate",-3e-04
"gamma-glutamylalanine",-0.00030952
"tartronate (hydroxymalonate)",-0.00033333
"pyridoxamine",-0.00033333
"oxalate (ethanedioate)",-0.00033333
"guanidinoacetate",-0.00033333
"glutamate",-0.00033333
"glucose",-0.00033333
"erucate (22:1n9)",-0.00033333
"cytosine",-0.00033333
"choline",-0.00033333
"5-aminovalerate",-0.00033333
"2-linoleoylglycerol (18:2)",-0.00033333
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)",-0.00033333
"1-arachidonoyl-GPE (20:4)*",-0.00033333
"4-cholesten-3-one",-0.00036667
"3-hydroxybutyrylcarnitine (2)",-0.00036667
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*",-0.00036667
"isobutyrylcarnitine",-4e-04
"N-acetylglutamine",-4e-04
"methylmalonate (MMA)",-4e-04
"homocitrulline",-4e-04
"gamma-glutamylleucine",-4e-04
"dimethyl sulfone",-4e-04
"aconitate [cis or trans]",-4e-04
"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4)*",-4e-04
"glycerate",-0.00041667
"2'-deoxyguanosine",-0.00045
"trans-4-hydroxyproline",-5e-04
"nicotinamide adenine dinucleotide (NAD+)",-5e-04
"anserine",-5e-04
"17-methylstearate",-5e-04
"1,5-anhydroglucitol (1,5-AG)",-5e-04
"adenosine 3'-monophosphate (3'-AMP)",-0.00055
"UDP-N-acetylglucosamine",-0.00056667
"docosapentaenoate (n3 DPA; 22:5n3)",-0.00058333
"alpha-hydroxyisocaproate",-0.00059286
"N-monomethylarginine",-0.00066667
"methylsuccinate",-0.00066667
"sucrose",-0.00066667
"sulfate*",-7e-04
"N-palmitoyl-sphingosine (d18:1/16:0)",-0.00075
"isovalerylcarnitine",-0.00075
"galactonate",-0.00081667
"mead acid (20:3n9)",-0.00083333
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",-0.00088333
"ribitol",-0.00091667
