"","d.value","stdev","rawp","q.value"
"dihydoxyphenylalanine (L-DOPA)",2.8086,0.031126,0.0017352,0.0016239
"citrate",2.8009,0.062811,0.0018037,0.0016458
"xanthine",2.7781,0.027322,0.002032,0.0018027
"sebacate (decanedioate)",2.7542,0.031188,0.0021461,0.0018027
"uridine",2.7423,0.033444,0.0022146,0.0018027
"urate",2.7368,0.045532,0.0022603,0.0018027
"1-methylnicotinamide",2.7291,0.064109,0.0022603,0.0018027
"N-acetylarginine",2.7137,0.060877,0.0023288,0.0018027
"myristate (14:0)",2.7099,0.040466,0.0023516,0.0018027
"1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1)*",2.7087,0.034493,0.0023744,0.0018027
"5-oxoproline",2.6783,0.068532,0.0024201,0.0018027
"dimethylarginine (SDMA + ADMA)",2.6757,0.047862,0.0025114,0.0018333
"glycine",2.6448,0.074475,0.0027169,0.0019444
"stearoyl ethanolamide",2.6038,0.044082,0.0030822,0.002154
"carnitine",2.5926,0.060598,0.0031279,0.002154
"ergothioneine",2.5901,0.019711,0.0032192,0.0021759
"glycerate",2.5684,0.064194,0.0034018,0.0022457
"N-glycolylneuraminate",2.5605,0.056376,0.0034475,0.0022457
"2-methylcitrate/homocitrate",2.5477,0.029034,0.0035388,0.0022457
"stearate (18:0)",2.5327,0.04439,0.0036301,0.0022457
"cysteine sulfinic acid",2.5324,0.043871,0.0036301,0.0022457
"hexadecanedioate",2.5157,0.034315,0.0037671,0.0022916
"myristoleate (14:1n5)",2.49,0.033317,0.0040868,0.0023941
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)",2.479,0.028364,0.0041324,0.0023941
"glutarate (pentanedioate)",2.476,0.050761,0.0041324,0.0023941
"phosphopantetheine",2.4502,0.040193,0.0043836,0.0024999
"N-acetylalanine",2.3845,0.042573,0.0050913,0.0028431
"azelate (nonanedioate)",2.3687,0.069211,0.0052283,0.0028431
"16-hydroxypalmitate",2.3675,0.031044,0.0052283,0.0028431
"salicylate",2.3577,0.041603,0.0052968,0.0028431
"taurine",2.3318,0.079518,0.0055251,0.0028809
"flavin adenine dinucleotide (FAD)",2.3303,0.038111,0.0055251,0.0028809
"15-methylpalmitate",2.3197,0.039049,0.0056164,0.0028872
"taurocyamine",2.2962,0.070349,0.0058219,0.0029513
"N-acetylphenylalanine",2.2876,0.074231,0.0060274,0.0030136
"glutamine",2.2544,0.048826,0.0063242,0.003081
"lysine",2.2495,0.036377,0.006347,0.003081
"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*",2.244,0.063212,0.0064155,0.003081
"pipecolate",2.2261,0.097359,0.0066895,0.0031041
"S-adenosylhomocysteine (SAH)",2.2237,0.039198,0.0067352,0.0031041
"arachidonate (20:4n6)",2.2205,0.032558,0.006758,0.0031041
"2'-deoxyinosine",2.2188,0.043727,0.0068037,0.0031041
"tetradecanedioate",2.2142,0.031087,0.0069178,0.0031172
"alpha-ketoglutarate",2.2005,0.060746,0.0071918,0.0032011
