
 Univariate Analysis Result for each variable/metabolite

[NOTE]
    p-value is calculated with t-test as a default.
    p-value with (W) is calculated by the Wilcoxon Mann Whitney test


"Name","Mean (SD) of 
HFD_Tx","Mean (SD) of 
HFD_Veh","p-value","q-value (FDR)","Fold Change","HFD_Tx/HFD_Veh"
"sphinganine","-0.258 (0.372)","0.258 (0.124)","0.0386 ","0.1216","1","Down"
"sphingomyelin (d18:1/14:0, d16:1/16:0)*","0.317 (0.470)","-0.317 (0.060)","0.0727 ","0.1684","1","Up"
"sphingomyelin (d18:1/15:0, d16:1/17:0)*","-0.030 (0.457)","0.030 (0.140)","0.8081 ","0.8511","1","Down"
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)","0.172 (0.282)","-0.172 (0.312)","0.1533 ","0.2390","1","Up"
"sphingomyelin (d18:1/18:1, d18:2/18:0)","-0.275 (0.288)","0.275 (0.098)","0.0286 (W)","0.1143","1","Down"
"sphingomyelin (d18:1/20:0, d16:1/22:0)*","-0.235 (0.390)","0.235 (0.205)","0.0767 ","0.1697","1","Down"
"sphingomyelin (d18:1/20:1, d18:2/20:0)*","-0.315 (0.309)","0.315 (0.090)","0.0286 (W)","0.1143","1","Down"
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*","-0.266 (0.441)","0.266 (0.050)","0.0937 ","0.1792","1","Down"
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*","-0.326 (0.316)","0.326 (0.067)","0.0286 (W)","0.1143","1","Down"
"sphingomyelin (d18:1/24:1, d18:2/24:0)*","-0.230 (0.420)","0.230 (0.125)","0.0808 ","0.1728","1","Down"
"sphingomyelin (d18:2/16:0, d18:1/16:1)*","0.141 (0.451)","-0.141 (0.108)","0.3018 ","0.3931","1","Up"
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*","-0.321 (0.387)","0.321 (0.047)","0.0286 (W)","0.1143","1","Down"
"sphingomyelin (d18:2/24:1, d18:1/24:2)*","-0.259 (0.315)","0.259 (0.094)","0.0286 (W)","0.1143","1","Down"
"sphingosine","0.133 (0.419)","-0.133 (0.125)","0.2690 ","0.3587","1","Up"
"stachydrine","0.034 (0.374)","-0.034 (0.408)","0.8145 ","0.8555","1","Up"
"stearate (18:0)","-0.247 (0.439)","0.247 (0.140)","0.0761 ","0.1697","1","Down"
"stearidonate (18:4n3)","-0.278 (0.240)","0.278 (0.275)","0.0224 ","0.1143","1","Down"
"stearoyl ethanolamide","-0.296 (0.320)","0.296 (0.112)","0.0130 ","0.1143","1","Down"
"stearoyl sphingomyelin (d18:1/18:0)","-0.223 (0.392)","0.223 (0.131)","0.0745 ","0.1685","1","Down"
"stearoylcarnitine","0.297 (0.448)","-0.297 (0.130)","0.0436 ","0.1260","1","Up"
"succinate","-0.255 (0.259)","0.255 (0.162)","0.0286 (W)","0.1143","1","Down"
"succinylcarnitine","-0.229 (0.423)","0.229 (0.083)","0.1178 ","0.2016","1","Down"
"sucrose","-0.217 (0.185)","0.217 (0.399)","0.0960 ","0.1820","1","Down"
"sulfate*","-0.281 (0.298)","0.281 (0.302)","0.0378 ","0.1216","1","Down"
"tartronate (hydroxymalonate)","0.047 (0.488)","-0.047 (0.209)","0.7348 ","0.7907","1","Up"
"taurine","-0.274 (0.434)","0.274 (0.095)","0.0828 ","0.1728","1","Down"
"tauro-beta-muricholate","-0.100 (0.142)","0.100 (0.410)","0.3940 ","0.4953","1","Down"
"taurocholate","-0.125 (0.126)","0.125 (0.393)","0.2702 ","0.3591","1","Down"
"taurocyamine","-0.277 (0.434)","0.277 (0.063)","0.0823 ","0.1728","1","Down"
"tetradecanedioate","-0.230 (0.280)","0.230 (0.195)","0.0358 ","0.1216","1","Down"
"thiamin monophosphate","0.251 (0.199)","-0.251 (0.438)","0.0817 ","0.1728","1","Up"
"threonate","0.160 (0.430)","-0.160 (0.144)","0.2068 ","0.2978","1","Up"
"threonine","0.317 (0.346)","-0.317 (0.075)","0.0286 (W)","0.1143","1","Up"
"thymidine","-0.033 (0.415)","0.033 (0.190)","0.7852 ","0.8358","1","Down"
"trans-4-hydroxyproline","-0.067 (0.423)","0.067 (0.194)","0.5867 ","0.6677","1","Down"
"trans-urocanate","-0.217 (0.416)","0.217 (0.241)","0.1212 ","0.2034","1","Down"
"tricosanoyl sphingomyelin (d18:1/23:0)*","-0.255 (0.429)","0.255 (0.073)","0.0957 ","0.1820","1","Down"
"trigonelline (N'-methylnicotinate)","0.018 (0.171)","-0.018 (0.439)","0.8836 ","0.9136","1","Up"
"trimethylamine N-oxide","0.095 (0.353)","-0.095 (0.290)","0.4383 ","0.5343","1","Up"
"tryptophan","-0.264 (0.396)","0.264 (0.038)","0.0751 ","0.1690","1","Down"
"tyrosine","0.225 (0.278)","-0.225 (0.212)","0.0423 ","0.1260","1","Up"
"UDP-galactose","0.056 (0.249)","-0.056 (0.559)","0.7289 ","0.7886","1","Up"
"UDP-glucose","0.189 (0.244)","-0.189 (0.381)","0.1452 ","0.2300","1","Up"
"UDP-glucuronate","-0.255 (0.346)","0.255 (0.358)","0.0868 ","0.1737","1","Down"
"UDP-N-acetylgalactosamine","0.202 (0.284)","-0.202 (0.198)","0.0584 ","0.1444","1","Up"
"UDP-N-acetylglucosamine","0.237 (0.285)","-0.237 (0.218)","0.0384 ","0.1216","1","Up"
"uracil","0.045 (0.295)","-0.045 (0.410)","0.7321 ","0.7900","1","Up"
"urate","-0.195 (0.390)","0.195 (0.186)","0.1202 ","0.2026","1","Down"
"urea","-0.199 (0.475)","0.199 (0.174)","0.1666 ","0.2538","1","Down"
"uridine","0.320 (0.273)","-0.320 (0.209)","0.0099 ","0.1143","1","Up"
"uridine 5'-diphosphate (UDP)","0.004 (0.050)","-0.004 (0.485)","0.9730 ","0.9829","1","Up"
"uridine 5'-monophosphate (UMP)","-0.347 (0.403)","0.347 (0.075)","0.0387 ","0.1216","1","Down"
"valine","0.249 (0.459)","-0.249 (0.107)","0.1163 ","0.2002","1","Up"
"valylglycine","-0.051 (0.437)","0.051 (0.287)","0.7121 ","0.7776","1","Down"
"xanthine","0.305 (0.174)","-0.305 (0.293)","0.0116 ","0.1143","1","Up"
"xanthosine","0.090 (0.118)","-0.090 (0.473)","0.5103 ","0.6068","1","Up"
