"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"17-methylstearate",1.1023,0.93095,0.92924,0.92908
"2'-deoxycytidine",0.84997,0.98532,0.98353,0.98341
"2'-deoxyuridine",0.72127,0.79262,0.79258,0.79257
"2-aminoadipate",1.4448,1.2205,1.2182,1.2179
"2-aminoheptanoate",0.43729,0.54281,0.55745,0.55758
"2-hydroxybutyrate/2-hydroxyisobutyrate",0.53831,1.0973,1.0948,1.0946
"2-hydroxyglutarate",0.97353,0.81375,0.8142,0.81423
"2-hydroxystearate",0.45076,0.48598,0.50229,0.50234
"2-linoleoylglycerol (18:2)",0.60049,0.54248,0.55536,0.56031
"2-methylbutyrylcarnitine (C5)",0.11177,0.09663,0.13388,0.14676
"2-methylbutyrylglycine",1.2714,1.0807,1.0824,1.0824
"2-oleoylglycerol (18:1)",0.13274,1.0147,1.02,1.0197
"2-palmitoleoyl-GPC (16:1)*",0.29159,0.71644,0.71762,0.71744
"2-palmitoyl-GPC (16:0)*",0.8906,0.74959,0.75162,0.75142
"2-stearoyl-GPE (18:0)*",0.012126,1.0777,1.0749,1.0747
"3-(4-hydroxyphenyl)lactate",1.0462,0.96806,0.96926,0.96943
"3-aminoisobutyrate",0.74567,1.1284,1.1259,1.1257
"3-hydroxy-3-methylglutarate",0.47468,0.64197,0.65364,0.65405
"3-hydroxybutyrate (BHBA)",1.0489,1.0642,1.0615,1.0619
"3-hydroxybutyrylcarnitine (1)",1.5819,1.5957,1.5919,1.5916
"3-hydroxybutyrylcarnitine (2)",1.2238,1.1909,1.19,1.1903
"3-hydroxyisobutyrate",0.95479,1.4799,1.4811,1.4807
"3-indoxyl sulfate",0.66461,0.61436,0.6272,0.62703
"3-methylhistidine",1.0917,0.9322,0.94441,0.94444
"3-phosphoglycerate",1.2155,1.0197,1.0172,1.0169
"3-ureidopropionate",0.94178,0.79086,0.78908,0.78914
"4-cholesten-3-one",0.94863,0.80765,0.80739,0.80726
"4-guanidinobutanoate",0.42426,0.44021,0.44665,0.44713
"4-hydroxy-nonenal-glutathione",0.72367,0.60623,0.60474,0.60527
"4-imidazoleacetate",0.97023,1.0004,0.99862,0.99836
"5-dodecenoate (12:1n7)",0.49273,0.50063,0.50768,0.50951
"5-methylthioadenosine (MTA)",1.2628,1.0804,1.0782,1.0779
"5-oxoproline",1.5625,1.3044,1.3012,1.3008
"7-hydroxycholesterol (alpha or beta)",1.0306,0.86179,0.86321,0.86298
"7-methylguanine",0.53681,1.0182,1.0229,1.0228
"9,10-DiHOME",1.1473,0.98931,0.9869,0.98666
"acetylcarnitine",0.86733,0.74224,0.75324,0.75305
"acetylphosphate",0.63402,0.56976,0.56841,0.56846
"aconitate [cis or trans]",0.20202,0.84844,0.85335,0.85391
"adenine",1.0156,0.94532,0.94329,0.94329
"adenosine",0.76497,0.7953,0.79517,0.79516
"adenosine 5'-diphosphoribose (ADP-ribose)",0.85605,0.74557,0.74485,0.74493
"adenosine 5'-monophosphate (AMP)",1.4128,1.1789,1.176,1.1757
"adrenate (22:4n6)",0.61835,0.51622,0.54421,0.54437
"alanine",0.92449,1.402,1.4078,1.4076
"allantoin",0.88255,0.85327,0.85199,0.85263
"alpha-hydroxyisovalerate",1.1964,1.1473,1.1486,1.1484
"alpha-ketoglutarate",1.4843,1.8673,1.8625,1.8621
"alpha-tocopherol",0.86941,0.74789,0.74986,0.75018
"anserine",0.41161,0.94332,0.95011,0.95081
"arachidate (20:0)",1.1466,0.95994,0.95927,0.95926
"arachidonate (20:4n6)",0.22663,0.20378,0.20412,0.22117
"arachidonoyl ethanolamide",1.3356,1.1164,1.1137,1.1134
"arginine",1.1135,0.97565,0.97717,0.97704
"argininosuccinate",1.0715,1.091,1.0907,1.0904
"ascorbate (Vitamin C)",1.0789,1.4903,1.4922,1.4919
"asparagine",1.2695,1.0643,1.0616,1.0614
"aspartate",0.86291,1.0818,1.0807,1.0804
"azelate (nonanedioate)",1.4953,1.2477,1.2451,1.2448
"behenoyl sphingomyelin (d18:1/22:0)*",1.2326,1.0886,1.0867,1.0864
"beta-alanine",1.1415,1.0969,1.0996,1.1
"beta-guanidinopropanoate",1.293,1.079,1.0765,1.0762
"beta-hydroxyisovaleroylcarnitine",0.76654,0.64057,0.64023,0.64023
"betaine",1.3811,1.1681,1.1652,1.1651
"betaine aldehyde",1.3155,1.1093,1.1074,1.1071
"butyrylcarnitine",0.97498,0.81868,0.82193,0.8238
"C-glycosyltryptophan",0.89611,1.5224,1.5185,1.5183
"carnitine",1.2477,1.051,1.0489,1.0486
"carnosine",0.32763,0.93002,0.94266,0.94272
"cholesterol",1.0194,0.86853,0.86854,0.86908
"choline",0.96143,0.80243,0.80127,0.80112
"choline phosphate",0.17591,0.65869,0.66015,0.66064
"citrate",1.1691,1,0.99969,1.0002
"citrulline",0.061312,0.93333,0.93146,0.93137
"corticosterone",0.77724,0.71058,0.71446,0.71454
"creatine",0.72031,0.73465,0.73309,0.73319
"creatine phosphate",0.33828,0.34695,0.35613,0.35938
"creatinine",0.0090657,0.372,0.37381,0.37373
"cysteine",0.98987,1.0496,1.0474,1.0474
"cysteine sulfinic acid",1.6309,1.6109,1.6074,1.607
"cytidine",1.4492,1.2134,1.2103,1.21
"cytidine 3'-monophosphate (3'-CMP)",1.1313,1.0859,1.1003,1.1
"cytidine 5'-diphosphocholine",0.75519,0.72988,0.74172,0.74155
"cytidine 5'-monophosphate (5'-CMP)",0.86555,0.7303,0.73298,0.73288
"cytidine 5'-monophospho-N-acetylneuraminic acid",0.27571,0.96707,0.96498,0.96472
"cytidine-5'-diphosphoethanolamine",0.91512,0.94178,0.93937,0.93919
"cytosine",0.89948,0.75119,0.75067,0.75143
"decanoylcarnitine",1.345,1.2794,1.2764,1.2761
"dehydroascorbate",1.4966,1.2959,1.2927,1.2925
"deoxycarnitine",0.39244,1.103,1.1029,1.103
"dihomo-linoleate (20:2n6)",0.033599,0.97219,0.97055,0.97034
"dihomo-linolenate (20:3n3 or n6)",0.39854,0.79991,0.79825,0.79908
"dihydroxyacetone phosphate (DHAP)",1.0216,0.86792,0.86757,0.86789
"dimethyl sulfone",0.14881,0.94785,0.94603,0.94652
"dimethylarginine (SDMA + ADMA)",1.3845,1.1669,1.1662,1.1659
"dimethylglycine",0.91241,0.76687,0.76655,0.76688
"docosadienoate (22:2n6)",0.78767,0.68506,0.68349,0.68331
"docosahexaenoate (DHA; 22:6n3)",0.094536,0.46468,0.46602,0.47168
"docosapentaenoate (n3 DPA; 22:5n3)",0.93847,0.79029,0.78881,0.79039
"docosapentaenoate (n6 DPA; 22:5n6)",0.77577,0.84753,0.85117,0.85158
"eicosapentaenoate (EPA; 20:5n3)",1.2236,1.0222,1.0197,1.0203
"eicosenoate (20:1)",0.63382,0.80979,0.8084,0.80819
"ergothioneine",1.2959,1.3622,1.3589,1.3586
"erucate (22:1n9)",1.1727,0.97878,0.97628,0.97625
"erythronate*",1.1716,1.121,1.1185,1.1182
"flavin adenine dinucleotide (FAD)",1.4687,1.3802,1.3835,1.3831
"fructose",0.11591,0.91798,0.92618,0.92646
"fumarate",1.1107,1.0654,1.0629,1.0626
"galactonate",0.4035,0.44866,0.47178,0.47198
"gamma-aminobutyrate (GABA)",1.0289,0.89167,0.89552,0.89561
"gamma-carboxyglutamate",1.5765,1.3725,1.3705,1.3701
"gamma-glutamyl-epsilon-lysine",0.0099141,0.69784,0.69967,0.69964
"gamma-glutamylalanine",0.19565,0.20552,0.23646,0.23866
"gamma-glutamylglutamate",0.99939,0.90108,0.90238,0.90224
"gamma-glutamylglutamine",0.43265,0.41026,0.41246,0.41349
"gamma-glutamylisoleucine*",0.83267,1.7293,1.7265,1.7261
"gamma-glutamylleucine",0.60993,0.5171,0.5182,0.51954
"gamma-glutamylvaline",0.84337,0.70477,0.70619,0.7061
"gamma-tocopherol/beta-tocopherol",0.97634,0.95043,0.94846,0.94821
"glucose",0.72701,0.64706,0.64547,0.64551
"glucuronate",0.23904,0.83741,0.84394,0.84736
"glutamate",0.83221,1.0928,1.09,1.0899
"glutamate, gamma-methyl ester",0.85658,0.95074,0.9492,0.94904
"glutamine",1.2268,1.0275,1.0249,1.025
"glutarate (pentanedioate)",1.4447,1.2105,1.2082,1.2079
"glutarylcarnitine (C5)",0.32813,1.1256,1.1228,1.1225
"glutathione, oxidized (GSSG)",0.63018,1.3711,1.3676,1.3673
"glutathione, reduced (GSH)",1.4835,1.5086,1.5051,1.5051
"glycerate",1.4476,1.2536,1.2507,1.2504
"glycerol",1.1406,0.97276,0.97383,0.9736
"glycerol 3-phosphate",0.7458,0.62691,0.62572,0.62582
"glycerophosphoethanolamine",1.3883,1.6438,1.6406,1.6403
"glycerophosphoglycerol",0.85044,0.73778,0.73979,0.73986
"glycerophosphoinositol*",1.6653,1.3903,1.3869,1.3865
"glycerophosphorylcholine (GPC)",0.56748,1.118,1.1166,1.1163
"glycine",1.3331,1.2259,1.2228,1.2225
"glycosyl-N-palmitoyl-sphingosine",1.1395,0.95575,0.95578,0.95607
"glycylleucine",0.83898,0.70189,0.70195,0.7027
"glycylvaline",0.81107,0.68038,0.7102,0.71002
"guanidinoacetate",0.62078,0.72585,0.73076,0.73056
"guanine",1.1896,1.1561,1.1534,1.1537
"guanosine",0.71203,0.76625,0.7644,0.76495
"guanosine 5'- monophosphate (5'-GMP)",1.5498,1.31,1.3067,1.3064
"gulonic acid*",0.40505,0.55109,0.55379,0.55475
"heme",1.1969,1.0078,1.006,1.0059
"hexadecanedioate",1.1455,0.97085,0.96914,0.96888
"hexanoylcarnitine",1.0031,1.2935,1.2971,1.2968
"hexanoylglycine",1.0939,0.91279,0.91813,0.91788
"hippurate",1.4422,1.2409,1.2384,1.2381
"histamine",0.50186,0.86603,0.86453,0.8643
"histidine",1.3124,1.1386,1.1357,1.1354
"homocitrulline",0.17964,1.0892,1.0951,1.095
"homostachydrine*",1.0542,0.88874,0.88678,0.88671
"hypotaurine",1.4129,1.1858,1.184,1.1837
"hypoxanthine",1.438,1.2044,1.2014,1.2013
"imidazole lactate",1.4836,1.2409,1.238,1.2377
"imidazole propionate",1.0823,0.93901,0.93666,0.93694
"indolelactate",1.2559,1.1473,1.1445,1.1449
"inosine",1.3464,1.1242,1.1218,1.1217
"inosine 5'-monophosphate (IMP)",0.60185,0.50226,0.50176,0.50178
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",0.84494,0.94094,0.93914,0.94015
"isobutyrylcarnitine",0.13426,1.2058,1.2127,1.213
"isocitrate",1.3167,1.169,1.1674,1.1673
"isoleucine",0.38731,1.0828,1.0818,1.0815
"isoleucylglycine",0.91117,0.85561,0.86015,0.85992
"isovalerylcarnitine",0.24509,1.1836,1.1961,1.1965
"isovalerylglycine",0.80442,0.85026,0.85519,0.85526
"kynurenine",1.4545,1.2356,1.2326,1.2323
"lactate",1.0409,0.87782,0.87701,0.87697
"laurylcarnitine",1.2007,1.0454,1.044,1.0438
"leucine",0.78888,0.95817,0.95718,0.95698
"leucylglycine",1.016,1.0447,1.0421,1.0418
"linoleate (18:2n6)",1.1109,1.0148,1.0123,1.0127
"linolenate [alpha or gamma; (18:3n3 or 6)]",1.2044,1.0164,1.0141,1.0145
"linoleoylcarnitine*",0.30505,1.0014,1.0018,1.0017
"lysine",1.4571,1.2262,1.2231,1.2229
"malate",0.62411,1.1201,1.1174,1.1172
"malonylcarnitine",0.85533,0.9594,0.95721,0.95701
"maltose",0.65108,0.63018,0.63668,0.63726
"maltotriose",1.0268,0.89238,0.89391,0.89398
"mannose",0.85073,0.7938,0.80178,0.80175
"margarate (17:0)",0.70416,0.82846,0.82788,0.82804
"mead acid (20:3n9)",0.020019,1.0451,1.0428,1.0425
"methionine",1.1906,0.99384,0.99131,0.99129
"methionine sulfoxide",1.324,1.1103,1.1076,1.1073
"methylmalonate (MMA)",0.59684,0.59104,0.60522,0.60643
"methylphosphate",0.99015,0.82622,0.82431,0.82485
"methylsuccinate",1.2966,1.0824,1.08,1.0798
"myo-inositol",0.74395,1.0609,1.0601,1.0602
"myristate (14:0)",1.2789,1.0687,1.066,1.0661
"myristoleate (14:1n5)",1.0517,0.87863,0.87684,0.877
"myristoylcarnitine",1.0937,0.99628,0.99634,0.99608
"N-acetylalanine",1.3126,1.1129,1.1109,1.1107
"N-acetylasparagine",0.97387,0.93415,0.93703,0.93708
"N-acetylaspartate (NAA)",0.86386,0.72271,0.72099,0.72096
"N-acetylglutamate",0.52443,0.83529,0.83548,0.83542
"N-acetylglutamine",0.35598,0.61843,0.61736,0.61824
"N-acetylglycine",1.5219,1.6173,1.6133,1.6129
"N-acetylhistidine",0.2798,0.2585,0.2866,0.28675
"N-acetylleucine",0.60345,1.0232,1.0408,1.0407
"N-acetylmethionine",1.5548,1.3038,1.3006,1.3003
"N-acetylneuraminate",1.4331,1.2232,1.2201,1.2198
"N-acetylserine",1.4033,1.1727,1.1703,1.1701
"N-acetyltaurine",1.1025,1.1052,1.1041,1.1038
"N-acetylthreonine",0.23144,1.0257,1.0231,1.0232
"N-alpha-acetylornithine",0.75603,1.7932,1.7895,1.789
"N-delta-acetylornithine",0.22401,0.20655,0.25731,0.26237
"N-formylmethionine",0.84604,0.89922,0.89902,0.89918
"N-glycolylneuraminate",1.258,1.05,1.0478,1.0475
"N-palmitoyl-sphinganine (d18:0/16:0)",0.82979,0.94513,0.94281,0.94255
"N-palmitoyl-sphingosine (d18:1/16:0)",0.82109,0.70596,0.70561,0.70564
"N1-Methyl-2-pyridone-5-carboxamide",0.61137,0.58687,0.60623,0.60606
"N2-acetyllysine/N6-acetyllysine",0.37757,1.2376,1.2425,1.2427
"N6,N6,N6-trimethyllysine",1.1529,1.0093,1.0079,1.0078
"N6-succinyladenosine",0.46791,1.1475,1.1531,1.1528
"nicotinamide",1.3552,1.1667,1.1638,1.1636
"nicotinamide adenine dinucleotide (NAD+)",0.27463,1.1764,1.1765,1.1767
"nonadecanoate (19:0)",1.2083,1.0353,1.0337,1.0336
"octanoylcarnitine",1.1134,0.99655,0.99424,0.99438
"oleamide",0.35589,1.1593,1.1588,1.1591
"oleate/vaccenate (18:1)",0.5172,1.0265,1.0241,1.0238
"oleoyl ethanolamide",0.31938,0.59362,0.59228,0.59343
"oleoylcarnitine",0.44338,0.71034,0.71079,0.71064
"ornithine",0.064965,0.11787,0.16098,0.16465
"orotate",1.1895,1.0147,1.0226,1.0225
"orotidine",1.5118,1.2755,1.2729,1.2726
"oxalate (ethanedioate)",0.32041,0.69949,0.71475,0.71463
"p-cresol sulfate",1.0229,0.85351,0.8516,0.85185
"p-cresol-glucuronide*",0.62252,0.67552,0.67471,0.6746
"palmitate (16:0)",1.1777,1.0602,1.0579,1.0578
"palmitoleate (16:1n7)",1.0897,0.94528,0.94332,0.94397
"palmitoyl dihydrosphingomyelin (d18:0/16:0)*",0.75847,0.73408,0.73333,0.7333
"palmitoyl ethanolamide",1.1533,0.98747,0.98499,0.98488
"palmitoyl sphingomyelin (d18:1/16:0)",0.23689,0.3173,0.32735,0.32823
"palmitoylcarnitine",0.60854,1.0261,1.0282,1.028
"pantothenate",1.2664,1.0569,1.0546,1.0545
"phenol sulfate",0.037976,0.97715,0.98329,0.98307
"phenylacetylglycine",0.78184,0.86891,0.86691,0.86677
"phenylalanine",1.3407,1.1237,1.1209,1.1207
"phenylalanylglycine",1.085,0.91457,0.91224,0.912
"phenyllactate (PLA)",1.1307,1.7407,1.7369,1.7366
"phosphate",0.81391,0.82426,0.82242,0.8222
"phosphoenolpyruvate (PEP)",1.116,0.96639,0.96393,0.96378
"phosphoethanolamine",0.12166,0.30333,0.34869,0.34914
"phosphopantetheine",1.1133,0.93771,0.93608,0.9364
"pipecolate",1.3643,1.2118,1.2088,1.2084
"pro-hydroxy-pro",0.053386,1.2793,1.2767,1.2763
"proline",1.0094,0.92905,0.92957,0.93028
"prolylglycine",0.36885,1.1167,1.1146,1.1143
"propionylcarnitine",1.1934,0.99674,0.99425,0.99427
"pseudouridine",1.3971,1.2871,1.2903,1.29
"putrescine",1.3344,1.1179,1.1155,1.1152
"pyridoxal",1.4954,1.2646,1.2615,1.2612
"pyridoxamine",0.021179,0.60581,0.60928,0.61027
"pyridoxamine phosphate",1.3669,1.1484,1.1455,1.1452
"pyridoxate",1.1819,0.98629,0.98611,0.98605
"pyroglutamine*",1.2417,1.0461,1.0448,1.0446
"retinol (Vitamin A)",1.2574,1.0493,1.0478,1.0475
"ribulose 5-phosphate",0.59662,0.55994,0.57057,0.57044
"S-adenosylhomocysteine (SAH)",1.4606,1.3966,1.3932,1.3928
"salicylate",1.1721,1.0679,1.0674,1.0674
"sarcosine (N-Methylglycine)",0.23595,0.20195,0.20152,0.20149
"sebacate (decanedioate)",1.32,1.1415,1.1411,1.1408
"sedoheptulose-7-phosphate",0.79607,0.66428,0.66266,0.66248
"serine",0.9043,0.94594,0.94535,0.94511
"spermidine",1.0097,1.0093,1.0068,1.0066
"sphinganine",1.1615,0.98228,0.97983,0.97969
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",1.4257,1.2477,1.2446,1.2443
"sphingomyelin (d18:1/15:0, d16:1/17:0)*",0.13626,0.95987,0.95751,0.95775
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",0.77254,0.77354,0.77695,0.7775
"sphingomyelin (d18:1/18:1, d18:2/18:0)",1.238,1.0385,1.0366,1.0363
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",1.0575,0.95004,0.95276,0.95277
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",1.4159,1.1862,1.1832,1.1829
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",1.1969,1.0819,1.0795,1.0792
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",1.4635,1.2334,1.2304,1.2301
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",1.0327,0.95298,0.95095,0.95077
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",0.63563,1.0193,1.0176,1.0175
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",1.4406,1.2043,1.2012,1.2009
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",1.166,0.98175,0.97989,0.97979
"sphingosine",0.59788,0.796,0.79423,0.79409
"stachydrine",0.15246,0.18938,0.2034,0.20821
"stearate (18:0)",1.1085,0.97159,0.97133,0.97114
"stearidonate (18:4n3)",1.2506,1.0729,1.0764,1.0766
"stearoyl ethanolamide",1.3305,1.1103,1.1074,1.1072
"stearoyl sphingomyelin (d18:1/18:0)",1.0015,0.91681,0.91618,0.91595
"stearoylcarnitine",1.3346,1.178,1.175,1.1747
"succinate",1.1473,0.9764,0.97399,0.97372
"succinylcarnitine",1.0271,0.97242,0.97206,0.97182
"sucrose",0.97456,0.84231,0.84341,0.84485
"sulfate*",1.2649,1.0564,1.0563,1.0561
"tartronate (hydroxymalonate)",0.21161,0.94394,0.94154,0.94226
"taurine",1.2316,1.1023,1.0995,1.0992
"tauro-beta-muricholate",0.44732,0.37357,0.37377,0.37481
"taurocholate",0.56282,0.49292,0.49167,0.49269
"taurocyamine",1.2436,1.0769,1.0744,1.0741
"tetradecanedioate",1.0324,0.86152,0.86337,0.86323
"thiamin monophosphate",1.1282,0.97951,0.97711,0.97843
"threonate",0.72043,0.96773,0.96658,0.96655
"threonine",1.4254,1.1946,1.1916,1.1913
"thymidine",0.14612,1.3285,1.3252,1.325
"trans-4-hydroxyproline",0.30004,0.62587,0.62449,0.62437
"trans-urocanate",0.97428,0.96124,0.95905,0.95885
"tricosanoyl sphingomyelin (d18:1/23:0)*",1.1477,1.0454,1.0432,1.0429
"trigonelline (N'-methylnicotinate)",0.080919,0.47653,0.48331,0.4855
"trimethylamine N-oxide",0.42609,0.69312,0.69572,0.69606
"tryptophan",1.1874,1.0136,1.0111,1.011
"tyrosine",1.0092,0.84217,0.84014,0.84025
"UDP-galactose",0.24977,0.61634,0.62529,0.62839
"UDP-glucose",0.85128,0.71934,0.72938,0.72953
"UDP-glucuronate",1.1443,0.97635,0.97468,0.97489
"UDP-N-acetylgalactosamine",0.90817,0.75809,0.76201,0.7618
"UDP-N-acetylglucosamine",1.0664,0.89006,0.88913,0.88919
"uracil",0.20343,0.16982,0.19952,0.20107
"urate",0.87847,0.87046,0.87133,0.87145
"urea",0.89409,1.0768,1.0741,1.0738
"uridine",1.4372,1.2199,1.2169,1.2167
"uridine 5'-diphosphate (UDP)",0.020088,0.029897,0.15062,0.15903
"uridine 5'-monophosphate (UMP)",1.5616,1.3047,1.3014,1.301
"valine",1.1186,1.0441,1.0415,1.0412
"valylglycine",0.2275,0.58548,0.59719,0.59939
"xanthine",1.3718,1.248,1.2448,1.2448
